,name,score,document_length
0,Naito & Co Ltd,0.3677531324283914,1619
1,MARUBUN CORPORATION,0.08056890665453702,2563
2,Euro Tech Holdings Co. Ltd.,0.06937282105615132,6381
3,"Kyokuto Boeki Kaisha, Ltd.",0.0574270578348125,4491
4,Yleiselektroniikka Oyj,0.04857115391253639,3585
5,TRUSCO NAKAYAMA CORPORATION,0.04831494811667565,4244
6,"NIHON DENKEI CO., LTD.",0.04557623700063443,2702
7,"Answer Technology Co., Ltd.",0.041114612849612694,4621
8,Tomen Electronics Corp,0.04101095176947493,4583
9,"TOMITA CO., LTD.",0.034073995727779784,4660
10,"TAKACHIHO KOHEKI CO., LTD.",0.027849171207245456,3537
11,SEIKA CORPORATION,0.027319499269493973,2500
12,WPG Holdings Limited,0.02671609155624746,3415
13,Chander Electronics Corp.,0.022347340612738766,2273
14,"Makus, Inc.",0.021855414561499815,4947
15,"WT Microelectronics Co., Ltd.",0.019761671962648282,2104
16,MISUMI Group Inc.,0.019687816620203982,3789
17,"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.019099435045695806,3949
18,LITE-ON JAPAN LTD.,0.013524692826360742,3150
19,"VITEC CO., LTD.",0.011435252841161522,2231
20,"Howteh Technology Co., Ltd.",0.010845238567628424,3357
21,OSAKA KOHKI CO LTD,0.006324839595626065,1878
22,"HAGIWARA ELECTRIC CO., LTD.",0.006012711629109524,2156
23,Spirox Corporation,0.005556373962331345,3178
24,ASEC International Corporation,0.0055046880869206675,3363
25,Solomon Technology Corporation,0.005240981937751463,3292
26,Electrocomponents plc,0.004820468793930853,6306
27,"Uematsu Shokai Co., Ltd.",0.0035448257841504817,4083
28,AIKO CORPORATION,0.003026353532104899,2746
29,YKT CORPORATION,0.00271012083192777,2461
30,RADA Electronic Ind. Ltd.,0.0027093076631287444,5076
31,Nichiden Corp,0.0017052004391491168,4419
32,"TESSCO Technologies, Inc.",3.66814479903656e-05,2166
33,Flowtech Fluidpower PLC,3.2066544206994926e-05,3667
34,SUN-WA TECHNOS CORPORATION,2.7568640628889575e-05,2072
35,"Trust-Search Corp.,Ltd.",2.3001524989091457e-05,4300
36,"SUGIMOTO& CO., LTD.",2.130475334230635e-05,2337
37,Leeport (Holdings) Limited,2.1281032680812868e-05,4335
38,"Toshin Group Co., Ltd.",1.3765557791039099e-05,3259
39,"ZHONGYEDA ELECTRIC CO.,LTD.",1.2893897556742341e-05,2466
40,Rexel SA,3.89170295734485e-06,2917
