,name,score,document_length
0,"Guangdong Mingzhu Group Co., Ltd.",0.03267260427214307,3489
1,E. Bon Holdings Ltd,0.03225678753922095,3615
2,"ALMETAX MANUFACTURING CO., LTD.",0.03072764710392422,4451
3,Nice S.p.A.,0.02849998177802307,4618
4,Ensor Holdings plc,0.0271576596411705,7057
5,Societe Tunisie Profiles Aluminium SA,0.02682360601398728,4289
6,Nichiden Corp,0.024590220228051105,4074
7,Safestyle UK PLC,0.023471944682914365,3861
8,Bernabe Cote D'Ivoire SA,0.02318541832052384,2591
9,"Test Rite International Co., Ltd.",0.021886950378790335,2600
10,Daiken Co Ltd,0.02170064996592027,4120
11,Metcash Limited,0.021488119643603344,3163
12,Ace Hardware Indonesia Tbk PT,0.020677203440314564,8147
13,Chuan Huat Resources Bhd,0.0191705493005969,4477
14,Lumax International Corp. Ltd.,0.01896758133062493,1091
15,"Builders FirstSource, Inc.",0.014113041544236824,3050
16,Bricorama SA,0.013645896288074572,2578
17,Saudi Company for Hardware,0.012280433420196222,4355
18,Komeri Co Ltd,0.01144538669935918,4553
19,Vogiatzoglou Systems SA,0.01107835169894867,4846
20,Clas Ohlson AB,0.010953279388117168,2955
21,LOTTE Himart Co Ltd,0.010586357622589563,3812
22,DCM Holdings Co Ltd,0.010069547406893978,3812
23,Kombassan Holding AS,0.009795623939512376,1026
24,Agta Record AG,0.00938740342454941,5352
25,Toyo Shutter Co Ltd,0.009194698309822195,3948
26,InnoTec TSS AG,0.008318797136848792,2908
27,Jilin Chengcheng Group Co Ltd,0.008103511670791267,3693
28,Installux SA,0.0075284288278242364,4709
29,Arcland Sakamoto Co Ltd,0.007129030707613576,3669
30,MERCOR SA,0.007045536902391746,2666
31,Hardware and Lumber Limited,0.0066587135630595895,4907
32,Nergeco SA,0.006512069114847521,3340
33,Fujisash Co Ltd,0.006102263584943957,3298
34,Kingfisher plc,0.0060340885709970005,2950
35,Bunka Shutter Co Ltd,0.005910584042580972,3537
36,"SUNDAY CO., LTD.",0.005219537508381781,3911
37,Yawal SA,0.00476217493696788,3163
38,"KIMURA CO., LTD.",0.004580136616717138,2594
39,Compact Metal Industries Ltd,0.003691619956601613,7780
40,"Lowe's Companies, Inc.",0.002783660227531148,17842
41,Beijing JIAYU Door Window & Curtain Wall,0.0024101353306595803,2504
42,Sanwa Holdings Corp,0.0022339272632052394,3453
43,"PGT, Inc.",0.002224967874656091,5868
44,Grace Kennedy & Co Ltd,0.002099896070832561,4727
45,"China Wire & Cable Co., Ltd.",0.002049591003098522,5026
46,LIXIL Group Corp,0.0016742532672317173,5989
47,General Commercial & Industrial S.A.,0.0013670707436671033,4176
48,Byggmax Group AB,0.0013557010993501223,3194
49,"SANGETSU CO., LTD.",0.0006308301781747857,1748
50,RONA Inc.,0.00036274803809394036,24444
