,name,score,document_length
0,"Yangzhou Yaxing Motor Coach Co.,Ltd",0.03999538200294213,5075
1,Workhorse Group Inc,0.025290951207863826,3838
2,Compagnie Plastic Omnium SA,0.023166064416643463,4659
3,RAC Electric Vehicles Inc,0.019433149736773514,2969
4,"Zhengzhou Yutong Bus Co., Ltd.",0.018649877021890242,6421
5,"Zhongtong Bus & Holding Co., Ltd",0.018323990128392937,4788
6,Ford Motor Company,0.015918286066477143,14793
7,Man SE,0.015668552346834546,6643
8,"Anhui Ankai Automobile Co., Ltd",0.015077759641918766,4615
9,Otokar Otomotiv ve Savunma Sanayi AS,0.01420797832724251,2810
10,"Xiamen King Long Motor Group Co., Ltd.",0.01327866976281687,4246
11,Hyundai Motor Co,0.012002816788019382,14624
12,Pininfarina SpA,0.010189866328518317,19026
13,Daimler AG,0.010047665914182179,15027
14,Toyota Motor Corp,0.009740668500296193,17348
15,"HINO MOTORS, LTD.",0.009368582239869899,8226
16,Kia Motors Corporation,0.00898288267374257,11665
17,"Hino Motors, Ltd. (ADR)",0.008394089805155254,5370
18,Lanka Ashok Leyland Plc,0.008329517187097336,7058
19,"Liaoning SG Automotive Group Co., Ltd.",0.007771295529878907,4425
20,Honda Motor Co Ltd,0.007740149927605231,13686
21,New Flyer Industries Inc.,0.00767717152475156,9886
22,AMO ZIL PAO,0.007594428094665484,9932
23,Tan Chong Motor Holdings Berhad,0.006080925941538727,8055
24,General Motors Company,0.00599140630532954,39235
25,Peugeot SA,0.005631631414275296,9921
26,"DAIHATSU MOTOR CO., LTD.",0.00531491679898821,8158
27,"Faw Car Co., Ltd.",0.00507493481837051,5966
28,Honda Motor Co Ltd (ADR),0.0048134198812013074,6799
29,Sazgar Engineering Works Ltd,0.004713092544105462,2308
30,Bayerische Motoren Werke AG,0.004543784977513906,16438
31,Fuji Heavy Industries Ltd,0.004083747186084347,6097
32,Marcopolo SA,0.003998060706256914,5288
33,Minth Group Limited,0.0038738189355916725,1123
34,Navistar International Corp,0.0036680089326199335,10521
35,Tata Motors Limited,0.003561144053667542,11833
36,Nilsson Special Vehicles publ AB,0.003410399570122507,4669
37,Ashok Leyland Ltd,0.0030978013228566198,9009
38,MITSUBISHI MOTORS CORPORATION,0.002963156335361097,11765
39,Pavlovskiy avtobus OAO (P),0.002959296738221194,2985
40,Anadolu Isuzu Otomotiv Sanayii v Tcrt AS,0.002886885919756169,4304
41,Hino Pak Motors Ltd.,0.002871387540123443,4857
42,Renault SA,0.002727565565782859,16895
43,Indomobil Sukses Internasional Tbk PT,0.002725705392154111,2916
44,Haima Automobile Group Co Ltd,0.0026843562966629253,2585
45,Kandi Technologies Group Inc,0.0026158726385882305,7156
46,Mazda Motor Corp,0.0025512964403633914,14966
47,Indus Motor Company Ltd,0.0025403106257337713,16138
48,Tesla Motors Inc,0.0025047128652898798,39066
49,Nissan Motor Co Ltd (ADR),0.002395313790001091,7234
50,"NISSAN SHATAI CO., LTD.",0.002345324342774032,1804
51,EXOR SpA,0.0023041685500058036,3095
52,Dewan Farooq Motors Ltd.,0.0022183517592138683,2757
53,Kian Shen Corporation,0.0021910731809236905,2168
54,Spartan Motors Inc,0.002188602903576715,4585
55,Rosenbauer International AG,0.0021412537995300395,6880
56,Zhonghang Heibao Co Ltd,0.00206098655096702,3719
57,Automobile Corp Of Goa Ltd,0.0020176697533828706,4803
58,Audi AG,0.0020104041866642434,14394
59,"Ssangyong Motor Co., Ltd.",0.0019403056434988718,14444
60,China Automobile Parts Holdings Ltd,0.0018737873536138453,4011
61,Hwashin Precision Co Ltd,0.0018515932919874094,2601
62,GAZ OAO,0.0018439893658810792,8380
63,Nissan Motor Co Ltd,0.0017782078716325424,34846
64,Pak Suzuki Motor Company Ltd,0.001703181335936811,5702
65,SAIC Motor Corporation Limited,0.0016362710503011885,8407
66,Atul Auto Ltd,0.0016151541025389282,3218
67,Jinxi Axle Company Limited,0.0015292482626306284,3383
68,Honda Atlas Cars (Pakistan) Ltd.,0.0015231916975224156,3029
69,"Dongfeng Automobile Co., Ltd",0.0014657477257436211,5633
70,Aerosun Corporation,0.0014492445202857337,3482
71,"Tianjin Faw Xiali Automobile Co., Ltd.",0.001416304810728176,4804
72,Qingling Motors Co. Ltd.,0.0013922571232771843,3914
73,Sollers PAO,0.0013745646886991307,2732
74,Chongqing Changan Automobile Company Ltd,0.0013514956105538309,9550
75,BYD Company Limited,0.0013269626533968643,3701
76,Autech Corp,0.0013107536027474258,4378
77,Guangzhou Automobile Group Co Ltd,0.0012977087483218167,4302
78,UMW Holdings Bhd,0.0012747382463541269,3872
79,"Jiangsu Yueda Investment Co., Ltd",0.001239897280304711,2956
80,"Anhui Jianghuai Automobile Co.,  Ltd.",0.001218929940581274,8242
