,name,score,document_length
0,PC Direct,0.1714828644199022,2822
1,Ban Leong Technologies  Ltd,0.13263182212894795,2176
2,Petrosetco Distribution Joint Stock Co,0.09771160609371876,2422
3,Compuage Infocom Ltd,0.05924812055685453,3761
4,Galaxy Far East Corp,0.039070953123769285,3123
5,VOXX International Corp,0.03430410930782412,4172
6,MacroWell OMG Digital Entertain Co Ltd,0.03157158840438869,3129
7,Dionic S.A.,0.03125581060216153,5265
8,ABC Data SA,0.02852670115485912,5364
9,Synnex (Thailand) Public Company Limited,0.027416254093029436,3412
10,VST Holdings Limited,0.02730382251714733,4965
11,GrandTech C.G. Systems Inc.,0.025443049461788162,2423
12,SUNNIC Technology & Merchandise Inc.,0.023515775790015674,3519
13,Koryo Electronics Co Ltd,0.02178732893654476,3640
14,Leo Systems Inc,0.018915586283659924,4050
15,Power Quotient International Co Ltd,0.018895741291243013,3268
16,"Gish International Co., Ltd.",0.01882380333523888,3323
17,Metrodata Electronics Tbk PT,0.01765914156020392,3005
18,Weikeng Industrial Co. Ltd,0.016818472544184546,2321
19,Stark Technology Inc,0.01583981501894655,2425
20,Bliss Tel PCL,0.015449313603358533,1930
21,Aeria Inc.,0.014601251389813089,3271
22,Powermatic Data Systems Ltd.,0.01418287327510105,2148
23,Softcen Co Ltd,0.013682011702009693,2893
24,KUEN CHAANG UPPERTECH CORP.,0.013438274080613061,5021
25,Unitech Computer Co Ltd,0.01341054969643229,3127
26,Siltrontech Electronics Corporation,0.012873057273308395,4500
27,IEI Integration Corp,0.011998311302838242,4968
28,Genuine C&C Inc,0.011975038102391842,3170
29,Ingram Micro Inc.,0.011785700675333414,5037
30,Ryoyo Electro Corp,0.011286599147724606,4624
31,Xander International Corp.,0.010921500508670719,3429
32,Honey Hope Honesty Enterprise Co Ltd,0.010311739255480455,5205
33,Hyper Inc,0.010051698234898775,4903
34,Indeks Bilgisayar Sistemleri Muhendislik,0.009451199567360211,3257
35,Dimerco Data System Corporation,0.008602201666936812,3437
36,"Supreme Electronics Co., Ltd.",0.008327745059118262,2436
37,Korea Information Engineering Services,0.007923297723302454,1465
38,"Gohigh Data Networks Technology Co., Ltd",0.0077244991387368294,3229
39,Z-Obee Holdings Ltd,0.007723956247848265,2790
40,Thiz Technology Group Ltd.,0.007694993451618847,2146
41,Shanghai Jiaoda Withub Info. Indust. Co,0.007657887394119427,4420
42,Edom Technology Co Ltd,0.007406349134737426,2558
43,Hacisco JSC,0.0071515199561107586,3695
44,Arena Bilgisayar Sanayi ve Ticaret AS,0.007118500034396132,2972
45,Daiwabo Holdings Co Ltd,0.006967267928104326,4371
46,S.A.S. Dragon Holdings Limited,0.006875953230112428,4342
47,SEIRYO ELECTRIC CORPORATION,0.006754090181715487,2927
48,Promate Electronic Co Ltd,0.006579288366107171,3282
49,Logicom Public Ltd,0.006104988627420519,3692
50,Datagate Bilgisayar Malzemeleri Ticrt AS,0.005671041519465154,1765
51,Automated Systems Holdings Limited,0.005644166988515409,4825
52,Sentronic International Corp,0.005574009060163585,4186
53,Action SA,0.004993006346195574,1777
54,Sesa SpA,0.004967444943159282,4883
55,JC Hyun Systems Inc,0.004941027853829764,5325
56,SiS International Holdings Limited,0.004845757646264409,4436
57,"SED International Holdings, Inc.",0.004843895343963747,8221
58,Ferrum PCL,0.0047414096739347225,2284
59,Synnex Technology International Corp,0.004395411350345039,2521
60,Bestcom Infotech Corp,0.004382026644055168,2634
61,Fortune Information Systems Corp,0.00395459832403697,3583
62,GENESIS ENERGY SA,0.0037743444180733223,2742
63,Alpha Energy Holdings Ltd,0.0036397658849790103,2492
64,Interlink Communication (Thailand) PCL,0.0034525281416693,2826
65,Tatung System Technologies Inc.,0.0033119118169457886,7684
66,PS IT Infrastructure & Services Ltd,0.003001359528245158,7365
67,SAMT Co Ltd,0.0029107331660868973,3540
68,Daouincube Inc,0.002893030499219594,3830
69,Surge Components Inc,0.0028314626737952794,2915
70,CCN TECH PCL,0.002797133696437306,2506
71,Armada Blgsyr Stmlr Sny ve Tcrt AS,0.0027029917344819593,4930
72,Disway SA,0.0026462732385235162,6003
73,Zheda Lande Scitech Limited,0.0025079481546387483,3429
74,China Netcom Technology Holdings Ltd,0.002426770460271513,4494
75,NTT System SA,0.0022623521672576787,5947
76,Tokyo Electron Device Ltd,0.002238598354959532,4754
77,SVOA PCL,0.0021654472077060664,3853
78,PCS Technology Ltd,0.0020923641247883196,5812
79,Anar Industries Ltd,0.0016164827202867073,6204
80,Simat Technologies PCL,0.0009558339346054989,4123
81,Congatec Holding AG - ADR,0.0007259296358098715,69502
82,Mobicon Group Limited,0.00034200583396611447,4635
83,Professional Computer Technology Ltd,0.00032018703962964016,2182
84,Computer Warehouse Group PLC,0.0002156552979636261,3533
85,"Applied Visual Sciences, Inc.",0.00010516647847037687,2216
86,Dicker Data Ltd,6.61506805946953e-05,2894
87,"Answer Technology Co., Ltd.",5.679623771671742e-05,3590
88,SUTL Enterprise Ltd,5.4755073452399965e-05,3038
89,Kingpak Technology Inc,5.33916203613883e-05,2363
90,"Medifron DBT Co., Ltd.",5.028767517088482e-05,3917
91,Ideiasnet SA,4.881790154499436e-05,1955
92,"Hunan Copote Science & Tech Co., Ltd.",4.8094630465714876e-05,3859
93,Premier Technology PCL,4.7273205643083e-05,3728
94,MARUBUN CORPORATION,4.572884169956246e-05,2192
95,Pearl Electronics Ltd,4.3272608315834305e-05,2040
96,Jiangsu Nandasoft Technology Co Ltd,3.803647581257291e-05,3435
97,Sterling Webnet Ltd,2.9371489448450665e-05,4995
98,TAIWAN OSTOR CORP.,2.9119410384660337e-05,2418
99,Erajaya Swasembada Tbk PT,2.5661911296433206e-05,2957
100,"Shanghai East-China Computer Co., Ltd.",2.40940703023709e-05,3084
101,Esprinet SpA,2.254068348926358e-05,4994
102,"Trust-Search Corp.,Ltd.",2.108114760536546e-05,4289
103,Digiworld Corp,2.0676693715029627e-05,3746
104,Advanced Digital Chips Inc,1.4965354751422263e-05,2978
105,"Wayside Technology Group, Inc.",1.3020825537777086e-05,3354
106,Uniquest Corporation,1.072439511569424e-05,2155
107,BEP International Holdings Ltd,1.0554335571277122e-05,4699
108,WPG Holdings Limited,1.0481901773651413e-05,1784
