,name,score,document_length
0,Vadilal Industries Ltd,1.6126251310866622,4312
1,Vadilal Enterprises Ltd,0.9703844339339422,5636
2,KRI-KRI Milk Industry S.A.,0.639083703463018,3015
3,Vietnam Dairy Products JSC,0.5376170681479527,6730
4,Fan Milk Limited,0.42122349789925434,3329
5,ABR Holdings Ltd,0.3612069648381665,3599
6,Dean Foods Co,0.35495274997616316,4867
7,China Mengniu Dairy Company Limited,0.3307094437375519,4000
8,Nestle (Malaysia) Berhad,0.32822436180222075,2874
9,"EZAKI GLICO CO., LTD.",0.2644712169218711,7300
10,Saudi Dairy & Foodstuff Company,0.2634371964853407,3655
11,Prodlacta SA,0.24812761604712003,5051
12,Dairibord Holdings Limited,0.23076010867582714,2843
13,"SEIHYO Co., Ltd.",0.22954617019439194,4514
14,Unikai Foods PJSC,0.21298516202854828,4889
15,Binggrae Co Ltd,0.15794717628014632,3317
16,Hatsun Agro Product Ltd,0.1536274446753533,5881
17,MEIJI Holdings Co Ltd,0.14650256867516612,2704
18,"Morinaga Milk Industry Co., Ltd.",0.13743442329768696,4908
19,Grupo Lala SAB De CV,0.1082929938265975,3619
20,Zhytomyrs'kyi maslozavod PAT,0.10597892391896913,4402
21,Unilever Pakistan Food Ltd.,0.09876163622303177,5251
22,Valsoia SpA,0.09222582959473144,2364
23,Kotmale Holdings Limited,0.09064563852468352,6745
24,Maiquer Group Co Ltd,0.08756824333197694,3655
25,Gloria SA,0.07581572299501896,5509
26,Lactate Natura SA,0.07212226824669303,5973
27,Fonterra Co-operative Group Limited,0.052742308674944484,8601
28,Engro Foods Ltd,0.05188949154621303,2662
29,Pieno Zvaigzdes AB,0.04648700629426624,3639
30,Kwality Ltd,0.04391627278628702,12647
31,Barbados Dairy Industries Ltd.,0.04351239141749834,3206
32,Prabhat Dairy Ltd,0.04319633795878643,3725
33,Almarai Co,0.035000409463969054,5689
34,Glac Biotech Co Ltd,0.03466849495577237,3957
35,Vigor Alimentos SA,0.0336996965006104,4906
36,Uni-President Enterprises Corp.,0.03213109509492193,2175
37,Wei Chuan Foods Corp.,0.028360372055777003,2681
38,Halakton PAT,0.026060588620245326,2979
39,Lanka Milk Foods (CWE) PLC,0.02458726032289909,5423
40,WhiteWave Foods Co,0.024507852742092308,4111
41,Bringwell publ AB,0.022746639053008843,3094
42,Dutch Lady Milk Industries Bhd,0.018086921484962215,2623
43,Schwaelbchen Molkerei Jakob Berz AG,0.017614064773001693,4421
44,Dukat dd,0.014340575759813384,5247
45,Beijing Sanyuan Foods Company Limited,0.014304096381284593,4362
46,Mezzan Holding Company KSCP,0.012008037653833471,5545
47,National Agricultural Development Co,0.010879044134457404,7112
48,Molochnyi kombinat Penzenskiy OAO,0.010546277361428408,5660
49,Jordan Dairy,0.010522738623738707,6589
50,Emmi AG,0.007533022490943234,6343
51,Belgorodskiy Khladokombinat AO (P),0.0027042212551670404,29473
