,name,score,document_length
0,Castrol India Limited,0.012355529116302354,2927
1,Nestro Petrol a.d. Banja Luka,0.005339498838243182,5019
2,Gulf Oil Lubricants India Ltd,0.0019974609429326577,4983
3,MoresCo Corp,0.0019782719006502265,6704
4,MT Gas JSC,0.0014423737091895136,1854
5,Eterna Plc,0.001135595014200109,2400
6,Southern Waterborne Transport JS Corp,0.0009238261573950587,1915
7,MJL Bangladesh Ltd,0.0008381533426041827,4661
8,"Songwon Industrial Co., Ltd.",0.0008083868730369979,2497
9,N1 Hf,0.0007503678743923834,2714
10,Fuchs Petrolub SE,0.0006873860368745007,2881
11,Additives and Petroleum Products JSC,0.0005771470369104624,2972
12,Ryazan'nefteprodukt OAO (P),0.0005749046041338207,3417
13,AP Oil International Ltd,0.0005486021885320355,1759
14,Total Petroleum Ghana,0.0005295394263509496,3754
15,Total Nigeria PLC,0.0005214190264923427,4355
16,World Fuel Services Corp,0.000492175136263659,4755
17,Parkland Fuel Corp,0.0004878841165605622,3664
18,Siam Pan Group Public Company Limited,0.0004750500610073629,1866
19,Makpetrol AD Skopje,0.00044247416045159596,3580
20,Chemtura Corp,0.0004311784856475069,4627
21,China Rerun Chemical Group Ltd,0.0004217029256775044,2733
22,Jiangsu Gaoke Petrochemical Co Ltd,0.0004111929542832925,2071
23,Tianjin Sure Energy Lubrctn Tech Co Ltd,0.00040663028779044783,2744
24,Jordan Petroleum Refinery Company Ltd.,0.00040536127396006354,3267
25,"Phoenix Petroleum Philippines, Inc.",0.0004015363351089501,4729
26,Spanjaard Limited,0.00033102641073153147,2307
27,BP Castrol KK,0.00033042910402401193,3073
28,Petrolina (Holdings) Public Ltd,0.00031821364192399527,2836
29,"Nihon Parkerizing Co., Ltd.",0.0003153172303913072,4248
30,Hanoi Fuel JSC,0.000249089130631978,4277
31,GP Petroleums Ltd,0.00024830597254967056,6008
32,Susco PCL,0.00024178025683265907,2716
33,Mobil Oil Nigeria plc,0.00023222960245976922,3386
34,Rafinerija ulja a.d. Modrica,0.00021821339970193171,8040
35,OMV Petrol Ofisi AS,0.00021645174431952392,3115
36,PBF Energy Inc,0.00020495332129342686,5925
37,Petrolimex Hanoi Trans & Trading JSC,0.00020273006729342236,5214
38,Lanka IOC Limited,0.0001987254100539567,8402
39,Conoil Plc,0.00019576222892159838,3966
40,Cosan SA Industria e Comercio,0.00018925933208196815,4535
41,Bharat Petroleum Corp Ltd,0.00018652870886749087,11146
42,Al Maha Petroleum Products Marketing Co.,0.00016610277973734514,6192
43,Caltex Australia Limited,0.00015598415865238646,5542
44,Slavneft'-Yaroslavnefteorgsintez OAO,0.0001549287428369787,3237
45,Ha Tay Petrolimex Transport & Ser,0.00015489696261972416,4613
46,"SUNAUTAS CO., LTD.",0.00015203249202956403,3463
47,Paz Oil Company Ltd,0.00014940778253088235,2914
48,Cosan Limited,0.00014637497741467947,2942
49,PTT Public Company Limited,0.00013901432664342202,5647
50,Tide Water Oil India Ltd,0.00013552668896315849,4222
51,Petrolimex Petrochemical Corporation JSC,0.000128769010115095,5478
52,Neftemaslozavod OAO (P),0.0001209373882541394,4607
53,Ultrapar Participacoes SA (ADR),0.00012070510685937228,3695
54,Grupa Lotos SA,0.00011930271773766397,3605
55,Michang Oil Ind Co Ltd,0.00010863433613114258,3022
56,Cmistone Viet Nam JSC,0.00010527074855410283,2685
57,Chevron Corporation,9.812190629807457e-05,14019
58,Shell Pakistan Limited,9.106341456180001e-05,11576
59,Petronas Dagangan Berhad,9.105696866890886e-05,8613
60,Total Kenya Limited,9.045505381987784e-05,4990
61,Esso (Thailand) PCL,8.83524077747092e-05,6301
62,Empresas Copec SA,8.776319981009125e-05,5995
63,Hascol Petroleum Ltd,8.77577042688686e-05,2948
64,The Bangchak Petroleum Public Co. Ltd.,8.72830380349046e-05,3585
65,Cosan Limited(USA),8.725564200789637e-05,3705
66,Naftopererobnyi Kompleks - Halychyna VAT,8.075394762787276e-05,7649
67,KenolKobil Ltd,7.63691824002616e-05,4070
68,Hardcastle & Waud Manufacturing Co Ltd,7.520723285369276e-05,3867
69,Shell Oman Marketing Company SAOG,7.335875814628976e-05,5034
70,Aegean Marine Petroleum Network Inc.,7.229748430489212e-05,5218
71,IRPC Public Company Limited,7.002255109619487e-05,6416
72,GOCL Corp Ltd,6.562104355524955e-05,4918
73,Ghana Oil Company Limited,6.337593582949179e-05,4912
74,Petrolimex Saigon Trans and Service JSC,6.204925642861421e-05,6006
75,SK Innovation Co Ltd,6.17562690015997e-05,8498
76,Itochu Enex Co Ltd,6.09027724307152e-05,5065
77,Qatar Fuel QSC,6.0800440275898585e-05,7071
78,Showa Shell Sekiyu KK,5.959434001012988e-05,5429
79,Saigon Fuel JSC,5.937678864477506e-05,4239
80,HollyFrontier Corp,5.6517356499503726e-05,1890
81,Neste Oyj,5.5366942628664684e-05,4457
82,"Kukdong Oil & Chemicals Co., Ltd.",4.9837182562228183e-05,2256
83,Sea Oil PCL,4.982700070409521e-05,2927
84,Antarchile SA,4.8259803696950516e-05,7622
85,ELINOIL Hellenic Petroleum Company S.A.,4.771256159824379e-05,6197
86,Vung Ang Petroleum Joint Stock Company,4.634905216785866e-05,7237
87,Materials Petroleum JSC,4.310399497260422e-05,2665
88,"Idemitsu Kosan Co., Ltd.",4.192084805728988e-05,7656
89,Aldrees Petroleum &Transport Services,4.083088573608881e-05,4425
90,Forte Oil PLC,3.753463568796519e-05,5342
91,Ina dd,3.5349692374396426e-05,3915
92,Cosmo Oil Co Ltd,3.49108898901916e-05,4766
93,Martin Midstream Partners L.P.,3.463281637708569e-05,8283
94,Kontsern Halnaftohaz PAT,3.3729507487580254e-05,3115
95,Esso Societe Anonyme Francaise,3.272221374137673e-05,3443
96,"Hankook Shell Oil Co., Ltd",2.690361956877912e-05,3869
97,Puma Energy Zambia PLC,2.6062382526631846e-05,5428
98,BROAD GATE SA,2.5989851838966083e-05,6840
99,"FUJI KOSAN COMPANY, LTD.",2.551269990181812e-05,3436
100,Motor Oil (Hellas) Corinth Refineries SA,2.2728690985407245e-05,3493
101,Neftemarket OAO,2.238716399124084e-05,3743
102,SK Networks Co Ltd,2.1120477952293392e-05,4411
103,NNK - Khabarovsknefteprodukt AO,2.086190687215482e-05,6030
104,"Calumet Specialty Products Partners, L.P",1.9510155904984263e-05,5429
105,Atlantik Petrol Urnlr Tcrt ve SAS,1.8397935602462376e-05,5437
106,Vivo Energy Cote d'Ivoire SA,1.625710369931834e-05,5311
107,S Oil Corp,1.5027064264708621e-05,5644
108,Sinopec Shandong Taishan Petrolum Co Ltd,1.4844162318303147e-05,2100
109,Valero Energy Corporation,1.3427632343985629e-05,11739
110,Total Maroc SA,1.1952491602627599e-05,4223
111,Oman Oil Marketing Company SAOG,1.1215615941546912e-05,5311
112,Revoil S.A.,9.483535785126432e-06,3736
113,Hydrodec Group plc,9.387395452151638e-06,2324
114,Terminali a.d. Doboj,7.243220630273949e-06,26169
115,Joong Ang Enervis Co Ltd,7.196870388739309e-06,3259
116,BP plc,6.9427441260724245e-06,18586
117,Meghna Petroleum Ltd,6.712412806069807e-06,3804
118,BP plc (ADR),5.4536912372743144e-06,8979
119,Compania Logistica de Hidrocarbrs CLH SA,2.1836584076771155e-06,7690
