,name,score,document_length
0,Castrol India Limited,0.012628714001444014,2929
1,Gulf Oil Lubricants India Ltd,0.002058522626877699,4945
2,MoresCo Corp,0.002028389655600692,6705
3,MT Gas JSC,0.001425185053674664,1854
4,Eterna Plc,0.0011269986252331746,2400
5,Southern Waterborne Transport JS Corp,0.0009145851143129303,1909
6,MJL Bangladesh Ltd,0.0008296179913267089,4666
7,N1 Hf,0.0007400148752761275,2714
8,Fuchs Petrolub SE,0.0006793950840351226,2882
9,Additives and Petroleum Products JSC,0.0005748673898640477,2972
10,World Fuel Services Corp,0.00048520106138427526,4755
11,Siam Pan Group Public Company Limited,0.00046868268365505287,1866
12,Jordan Petroleum Refinery Company Ltd.,0.00043313996929206325,3590
13,Jiangsu Gaoke Petrochemical Co Ltd,0.00041010575020699057,2082
14,Tianjin Sure Energy Lubrctn Tech Co Ltd,0.00040510830531386387,2744
15,"Phoenix Petroleum Philippines, Inc.",0.000397137610468381,4728
16,Total Petroleum Ghana,0.00033071644885381577,3782
17,Petrolina (Holdings) Public Ltd,0.0003150386864373489,2836
18,BP Castrol KK,0.00028448599663371713,3604
19,Rafinerija ulja a.d. Modrica,0.0002426058781803828,7414
20,Mobil Oil Nigeria plc,0.00023442259486392353,3391
21,Cmistone Viet Nam JSC,0.0002270819065776265,2711
22,China Rerun Chemical Group Ltd,0.00022694563425045946,4855
23,GP Petroleums Ltd,0.00021871276066086473,6108
24,PBF Energy Inc,0.0002009679152169124,5925
25,Petrolimex Hanoi Trans & Trading JSC,0.0001989786956186889,5218
26,Lanka IOC Limited,0.00019761600012689308,8403
27,Conoil Plc,0.00018069070028229995,4134
28,Al Maha Petroleum Products Marketing Co.,0.00016406935602795224,6197
29,Slavneft'-Yaroslavnefteorgsintez OAO,0.00015543349154059996,3237
30,Caltex Australia Limited,0.00015415585179766978,5543
31,Ha Tay Petrolimex Transport & Ser,0.0001536339308562216,4620
32,Paz Oil Company Ltd,0.000153160728867023,2906
33,Bharat Petroleum Corp Ltd,0.00015290325197188004,12829
34,PTT Public Company Limited,0.00013840559491238447,5647
35,The Bangchak Petroleum Public Co. Ltd.,0.000136415805346384,3595
36,Tide Water Oil India Ltd,0.0001360913508736764,4219
37,Neste Oyj,0.00013594486118551942,4545
38,Neftemaslozavod OAO (P),0.00012072726734619287,4607
39,Ultrapar Participacoes SA (ADR),0.00011594719024136992,3695
40,Michang Oil Ind Co Ltd,0.00011060732422123714,3028
41,Petrolimex Petrochemical Corporation JSC,0.00010403317597343778,6802
42,Chevron Corporation,9.786237106982361e-05,14020
43,Shell Pakistan Limited,9.279416616818747e-05,11273
