,name,score,document_length
0,AdEPT Telecom plc,0.3366311545764683,2931
1,Vonex Ltd,0.3264935448398095,2758
2,Cellnex Telecom SA,0.26240327396254215,3131
3,iiNet Limited,0.24613737378744044,4386
4,Jasmine International Public Company Ltd,0.2427309038157351,4402
5,Emirates Integrated Telecmnctns Com PJSC,0.23369901271232504,4064
6,Infrastrutture Wireless Italiane SpA,0.2325469520297749,2183
7,True Corporation PCL,0.22924609432027934,4486
8,Idea Cellular Ltd,0.22538233354656942,7210
9,Oman Telecommunications Co SAOG,0.22348900018484555,4329
10,Intouch Holdings PCL,0.22037232847362595,4629
11,XL Axiata Tbk PT,0.21187306918964627,2551
12,MNI SA,0.2036589269234967,6929
13,NTT Docomo Inc,0.17977404733077476,792
14,Otelco Inc,0.17505249079183952,2809
15,Maintel Holdings plc,0.1726162850702721,4012
16,Aly Energy Services Inc,0.16859493126899874,3620
17,Rai Way SpA,0.1565169674644173,2911
18,Ukrtelekom PAT,0.1465613441691871,5215
19,M2 Group Ltd,0.1315359650875511,2931
20,Telefonica Brasil SA,0.12625167063829923,3506
21,PCCW Ltd (ADR),0.12192184084403204,4158
22,Telefonica Brasil SA (ADR),0.11908354470163168,4087
23,KT Corp (ADR),0.1159366305081878,7823
24,First Media Tbk PT,0.11581767564909175,8203
25,ATM SA,0.10948992072825126,6365
26,Bahnhof AB (publ),0.10398508840136615,2335
27,Allot Communications Ltd,0.09520693433874604,4470
28,Jasmine Telecom Systems PCL,0.09018448560999269,6484
29,Kazakhtelekom AO,0.08791247945271109,4747
30,Time Dotcom Bhd,0.0828939455690914,8529
31,Asiacell Communications PJSC,0.08046609338649627,4279
32,M1 Ltd,0.07657149022659361,4180
33,Nos SGPS SA,0.07207436854667916,4723
34,Orange Egypt for Telecommunications SAE,0.07058370187651616,6500
35,Emirates Telecommunications Grop Co PJSC,0.06803957950041342,8362
36,Huge Group Ltd.,0.06381698853734204,3539
37,Telecom plus PLC,0.06310421303748387,3687
38,Internet Gold Golden Lines Ltd,0.06252651327197857,6311
39,Partner Communications Company Ltd,0.056652334084681615,4123
40,Empresa Nacional de Telecomunicaciones,0.05568689126212478,4999
41,Quadrant Televentures Ltd,0.052424445484718696,4954
42,OT Optima Telekom dd,0.04931632006137377,3477
43,Makedonski Telekom AD Skopje,0.04797208585793969,4787
44,Empresa de Telecomunicaciones de Bogota,0.047106411537702814,6300
45,Maroc Telecom SA,0.045807007035536626,8576
46,Mahanagar Telephone Nigam Ltd,0.04412712826141476,5860
47,CMC Infocomm Ltd,0.04318350567617263,6972
48,Nippon Telegraph & Telephone Corp (ADR),0.04247450945423806,4496
49,China Mobile Ltd.,0.039566546686125026,8129
50,Samart Corporation PCL,0.038248609940989664,4273
51,Hrvatski Telekom dd,0.037701851017778315,6015
52,Nippon Telegraph And Telephone Corp,0.03736022004744239,4354
53,Sudatel Telecom Group Ltd,0.035229474467205285,5894
54,AcrossAsia Ltd,0.03495430248884625,1902
55,Midas SA,0.0295537759334609,12069
56,Tsentral'nyi Telegraf PAO,0.02710098198920897,2275
57,Telekom Malaysia Berhad,0.026857379547601153,6444
58,Proximus NV,0.0256142862560006,8143
59,Jiangsu Brdcstg Cbl Infrn Ntwrk Corp Ltd,0.024507690024685874,4602
60,Infosat Telecom SA,0.024087273240286988,2948
61,Fjarskipti hf,0.023634043457330705,2912
62,Mobile Telecommunications Ltd,0.02329277339632524,3679
63,ATN International Inc,0.023111459668469312,3676
64,LG Uplus Corp,0.02304820983655097,3255
65,Telefonica del Peru S.A.A.,0.022345509268129546,3294
66,Keyyo,0.022089393374460777,3447
67,Netia SA,0.020569508301940265,1507
68,PLDT Inc,0.020038658110072556,7457
69,Externet Telekommnkcs Intrnt Szlglt Nyrt,0.020037327130700243,1590
70,Orascom Telcom Media and Tech Hold SAE,0.019994734221937132,4213
71,Kcell AO,0.01985912804343345,6254
72,Median Group Inc,0.019697217979621803,13003
73,Tattelekom PAO,0.019630885351613916,2710
74,Alaska Communications Systems Group Inc,0.01961606014429817,3094
75,"Asia Pacific Telecom Co.,Ltd.",0.019615268833920948,4372
76,NNK Group Ltd,0.019509316216569948,2095
77,Euskaltel SA,0.01910101388753015,3459
78,Symphony Communication PCL,0.018812973221255535,5071
79,Satcom Systems Ltd,0.018441243728017576,2451
80,Masmovil Ibercom SA,0.01809406939563569,2920
81,HELLENIC TELECOM. ORGANIZATION S.A.,0.01747928110003839,10820
82,NORDTELEKOM Tavkozlesi Szolgaltato Nyrt,0.0166516967454454,4739
83,Com Hem Holding AB,0.016632345398112775,5119
84,Orange Polska SA,0.016280991132802746,3381
85,Centurylink Inc,0.016186318199406018,7062
86,Taiwan Mobile Co Ltd,0.015651145145520285,4896
87,Link Net Tbk PT,0.01560528415695273,3434
