,name,score,document_length
0,C&C Group Plc,3.248421475478687,5327
1,African Distillers Ltd,0.6720834211416048,2873
2,Kook Soon Dang Co Ltd,0.20696165704378705,5342
3,Rocky Mountain Liquor Inc,0.1927807589075136,1951
4,Laurent-Perrier SA,0.19246103361945588,7844
5,Akasha Wira International Tbk PT,0.1872872302596916,3518
6,Bodegas Bilbainas SA,0.16973674139372757,7733
7,Latvijas balzams AS,0.16740217112732972,1736
8,Ceylon Beverage Holdings PLC,0.16263740766849946,4853
9,Tilaknagar Industries Ltd,0.1552930962856355,4247
10,Chapel Down Group PLC,0.1493071973636892,5005
11,Punch Taverns plc,0.13255840901842472,2451
12,Radico Khaitan Limited,0.13223483512265946,5584
13,Bodegas Riojanas SA,0.13110628194570761,4287
14,DAISYO CORPORATION,0.11949565673668582,1812
15,Moskovskiy kombinat shampan. vin OAO,0.1171235589634339,2417
16,Alkaline Water Company Inc,0.11066050021954325,4605
17,Booker Group Plc,0.10639733976501195,4109
18,Enterprise Inns plc,0.10464343960849838,4190
19,Majestic Wine PLC,0.10354148161075376,5628
20,Spritzer Bhd,0.10261410793536936,4120
21,Nuway Organic Naturals India Ltd,0.09957533151481629,5236
22,Vinedos Emiliana SA,0.0992461679737332,3972
23,Abrau-Durso PAO,0.09775266134200349,6590
24,Emperador Inc,0.09634090061798894,5034
25,Staatl Mineralbrunnen AG,0.09183912269255973,2297
26,"BJ's Restaurants, Inc.",0.09171021613719664,4110
27,"KATO SANGYO CO., LTD.",0.08850849123134359,2298
28,Buffalo Wild Wings,0.08638960398552989,2749
29,Young & Co.'s Brewery plc,0.0828040723361809,4808
30,"Fuller, Smith & Turner plc",0.08032823047890103,4122
31,Mineralbrunnen Ueberkingen-Teinach AG,0.08027833116283864,3089
32,Kona Grill Inc,0.07942539589929744,2165
33,"The Chefs Warehouse, Inc",0.0779543911302606,5815
34,Badel 1862 dd,0.07694463906533598,3184
35,Marston's PLC,0.07692476942114229,15813
36,"ROYAL HOLDINGS CO., LTD.",0.0745343688292925,4068
37,Harrisons Holdings Malaysia Bhd,0.07233770587826334,4820
38,Saigon Industrial Foodstuffs JSC,0.07197496617629216,6088
39,Top One Allot JSC,0.07063781488609126,2982
40,Ginebra San Miguel Inc,0.06998655467709138,8475
41,Voda Vrnjci ad Vrnjacka Banja,0.06976831126581133,3330
42,Eurocash SA,0.06958379417180151,3546
43,Pinar Su Sanayi ve Ticaret A.S.,0.06868449622746807,2885
44,Khanh Hoa Mineral Water JSC,0.06811934711841869,3067
45,Cantho Tourist JSC,0.0628286246166286,5886
46,Les Toques Blanches du Monde SARL,0.06274423812394436,11593
47,Liquor Stores N.A. Ltd,0.06251400053723988,5025
48,Renuka Holdings Ltd,0.05602364770024723,5599
49,13 Jul Plantaze ad Podgorica,0.055746948425845703,3456
50,Tri Banyan Tirta Tbk PT,0.05309103969171575,2657
51,Watami Co Ltd,0.052881252572650445,4522
52,Viet Nam National Generl Exp Imp JSC No1,0.05170512209464581,5098
53,Vranken-Pommery Monopole SA,0.05118118546571215,3906
54,Itochu-Shokuhin Co Ltd,0.05116434670059931,2805
55,Gulfa Mineral Water & Processing Ind Co.,0.04940553223382201,3363
56,Dongsuh,0.04893065017282633,8491
57,"Diamond Dining Co., Ltd.",0.048509125992535415,5657
58,Lamdong Foodstuffs JSC,0.04795137734132348,2684
59,Auric Pacific Group Limited,0.047503886520800294,5312
60,"YUASA FUNASHOKU CO., LTD.",0.04641547838676248,2918
61,Good Times Restaurants Inc.,0.04462425156338375,6008
62,Les Eaux Minerales d'Oulmes SA,0.04460395533490654,5171
63,"TOKYO THEATRES COMPANY, INCORPORATED",0.043958379312242654,6146
64,Vina Concha y Toro SA,0.042157093798019546,5295
65,Major Holdings Ltd,0.04185451600714134,3168
66,Lanson BCC SA,0.040869226664120746,2814
67,Ningxia Western Venture Industrial CoLtd,0.040060194312415226,4013
68,KTIMA KOSTAS LAZARIDIS S.A.,0.0393642661183168,3405
69,"UMENOHANA CO., LTD.",0.038652988309930914,1616
70,Jamnica dd,0.03745691757536103,2850
71,Vinarska Vizba Tikves AD Skopje,0.036729434852819265,4604
72,Sligro Food Group N.V.,0.036536447937332746,3771
73,JALUX Inc.,0.036002414669662496,3060
74,Metcash Limited,0.035750490027975965,3850
75,j-Group Holdings Corp,0.03462287391212807,9906
76,WASGAU Produktions & Handels AG,0.033556818473601965,4563
77,Herfy Food Services Co,0.03334486380254285,5202
78,An-Shin Food Services Co Ltd,0.033067076520622254,2747
79,"TEN ALLIED CO., LTD.",0.03304588657689306,4351
80,Greene King plc,0.0319116486994591,5428
81,MARCHE CORPORATION,0.030532625804013586,4292
82,Shake Shack Inc,0.02997215877157179,8685
83,Crystal Rock Holdings Inc,0.02973891545070002,5030
84,Dingyi Group Investment Ltd,0.02924170054661016,3418
85,Telepizza Group SA,0.02834102172893298,5602
86,J Boutaris & Son Holding S.A.,0.028217085628442832,3499
87,Refresco Group NV,0.028004155710146104,5804
88,Revolution Bars Group PLC,0.027857756372589866,3970
89,Bloomin' Brands Inc,0.025985096207505658,2958
90,Vinzavod AD,0.025719127657964472,3465
91,Sociedad Anonima Vina Santa Rita,0.025309039755011604,5230
92,Associated Alcohol and Breweries Ltd,0.02490294460894413,4852
93,Bodegas Esmeralda SA,0.02490130252633325,1851
94,Boston Pizza Royalties Income Fund,0.02462779348096055,7123
95,Baron de Ley SA,0.02343931783218104,2672
96,New Silkroad Culturaltainment Ltd,0.021905956300078664,3510
97,Yamatane Corporation,0.02176688474185058,2656
98,Bucur SA,0.02098490091831306,3701
99,IPAL  S.A.,0.019973732848468276,3545
100,"Darden Restaurants, Inc.",0.019892611611936208,9957
101,Spar Group Limited,0.019175975818973047,6939
102,"HUB CO., LTD.",0.017900744929171212,3472
103,Del Frisco's Restaurant Group Inc,0.017624343879281742,5565
104,Dave & Buster's Entertainment Inc,0.01710483172365579,11082
105,Thang Long Wine JSC,0.016537583238696727,3929
106,Bayn Europe AB,0.016131190042952,5003
107,China Foods Limited,0.01598815850624824,3698
108,Kisoji Co Ltd,0.01595818685910216,2632
109,Chimney Co Ltd,0.015658920040009135,2582
110,"Core-Mark Holding Company, Inc.",0.015192046241419233,3833
111,SpartanNash Co,0.015025832582756266,5918
112,TTFB Co Ltd,0.01498584902214575,4738
113,J Alexanders Holdings Inc,0.01495195721856012,6324
114,Brand New Vintage Limited,0.01426651154168893,3709
115,MTY Food Group Inc.,0.013857731396213784,11448
116,Ohsho Food Service Corp,0.013513805732062841,3484
117,National Mineral Water Company SAOG,0.013293765325687124,18814
118,Vina San Pedro Tarapaca SA,0.013174595701775168,3897
119,Citic Guoan Wine Co Ltd,0.012533050697025509,3266
120,China Ouhua Winery Holdings Ltd,0.012252953047066808,3240
121,RCI Hospitality Holdings Inc,0.012101274618246671,12548
122,Gansu Mogao Industrial Development Co.,0.011417849353393007,3205
123,Foodco Holding PJSC,0.011369618069325545,4184
124,Vina Concha y Toro SA (ADR),0.011369316394721175,6346
125,G Willi-Food International Ltd,0.010946279017812253,5419
126,"Anhui Golden Seed Winery Co., Ltd.",0.010152223624438248,3119
127,Rave Restaurant Group Inc,0.010053631056265765,5141
128,Zhejiang GuYueLongShan Shaoxing Wine Co.,0.010043581181861294,4225
129,Grace Kennedy & Co Ltd,0.009935250679826509,4370
130,"Tokan Co., Ltd.",0.009916643293958036,2536
131,"SAIZERIYA CO., LTD.",0.009191042038928217,3029
132,Yantai Changyu Pioneer Wine Company Ltd,0.008794528539887953,3900
133,Tung Lok Restaurants (2000) Ltd.,0.008644336865619778,4626
134,Heracles SA,0.00847755612387251,2887
135,Sonic Corporation,0.007739074625439454,47003
136,China Tontine Wines Group Limited,0.007209923774285049,3737
137,Lippo China Resources Limited,0.006975704995070944,3354
138,Schlumberger AG,0.005916660178441577,11835
139,Andrew Peller Ltd.,0.005691595966284345,3072
140,"Tonghua Grape Wine Co., Ltd",0.005656044542433776,2597
141,McDonald's Corporation,0.0049659058875185106,62064
142,Advini SA,0.004963508955518151,3377
143,Crimson Wine Group Ltd,0.004564022297046114,4646
144,Wei Long Grape Wine Co Ltd,0.004512509255159076,3588
145,SAF Magellan AD,0.004477257386882645,4555
146,Minor International Public Co. Ltd,0.003635062650814654,7945
147,Jammin Java Corp,0.002774812355432625,4486
148,Pizza Pizza Royalty Corp,0.002714301894322279,6258
149,Cosi Inc,0.0027015636217715775,6652
150,"Papa John's Int'l, Inc.",0.0018688992659304073,46296
151,Panera Bread Co,0.0017721147807217828,8171
152,Armeau Brands Inc,0.0017693451868298858,19378
