,name,score,document_length
0,Chain Chon Industrial Co Ltd,0.20521648140689802,3514
1,Real Strips Ltd,0.168899999510449,3801
2,Yongxin International Holdings Ltd.,0.1431224385693591,3626
3,"NIPPON KINZOKU CO., LTD.",0.10169584091512032,3379
4,Ryerson Holding Corp,0.06358750889278617,3886
5,YC Inox Co Ltd,0.06279930843974967,1393
6,Daiyang Metal Co Ltd,0.056354842025468366,1647
7,Froch Enterprise Co Ltd,0.048175197332212975,2123
8,Yuen Chang Stainless Steel Co Ltd,0.03450700470132123,2359
9,Prakash Steelage Limited,0.028524604264253572,3414
10,Gyscoal Alloys Limited,0.027387720057137993,5281
11,"Sinkang Industries Co., Ltd",0.02316765058746644,4014
12,Mayer Steel Pipe Corporation,0.02021060855929656,2428
13,Shah Alloys Ltd.,0.018404968867615015,3481
14,Hsin Kuang Steel Co. Ltd.,0.01749390278536934,4237
15,Hyundai Steel Co,0.01748895933510888,3740
16,MORY INDUSTRIES INC.,0.015032712374067805,3457
17,Argent Industrial Limited,0.014318541372970478,3465
18,Yieh United Steel Corp.,0.012687075449038453,2004
19,POSCO-Thainox PCL,0.009532444528533267,2389
20,Dniprospetsstal' PAT,0.008261211634148516,5508
21,Lohakit Metal PCL,0.007953818777607173,4641
22,SonHa International Corp,0.007330455124050442,2606
23,Chien Shing Stainless Steel Co Ltd,0.0069946874886197,3559
24,TAKASAGO TEKKO K.K.,0.006038799657130403,2853
25,Tatt Giap Group Berhad,0.005442011573695251,5344
26,"Sanyo Special Steel Co., Ltd.",0.0031855385753365457,3159
27,Yieh Hsing Enterprise Co Ltd,0.0024826724995774215,3858
28,Zaporiz'kyi Metalurhny Kmbnt Zpzhstl PAT,0.0023941867327973414,14270
29,Hyundai BNG Steel Co Ltd,0.002217344363332046,4042
30,AnnAik Limited,0.0021702196613564684,2076
31,Kim Vi Inox Import Export Production JSC,0.002104690267245466,5084
32,"Shanxi Taigang Stainless Steel Co., Ltd",0.0008011213983261516,3835
33,Jindal Stainless Ltd,0.0007700091544062955,2509
34,Acerinox SA,0.0005434332351123955,3440
35,Outokumpu Oyj,0.00031009282151074906,3984
36,Jindal Stainless Ltd (Parent),0.000208506849704986,3681
37,Schmolz&Bickenbach AG,5.040005419982256e-05,2347
38,Kossen Co Ltd,4.9309575477424996e-05,2262
39,Camellia Metal Co Ltd,4.612295825309801e-05,2111
40,TCJ Asia PCL,3.876217820759034e-05,2490
41,"Tachia Yung Ho Machine Industry Co., LTD",3.8019029175570945e-05,2515
42,Jenax Inc,3.4293879332830636e-05,2503
43,New Best Wire Industrial Co Ltd,3.387608262554124e-05,1946
44,Seah Steel Corp,3.2250366301774447e-05,1892
45,Mukand Limited,2.9598656454490464e-05,4284
46,Aichi Steel Corp,2.905184786708304e-05,3011
47,Asia Huu Lien JSC,2.863018879143658e-05,3244
48,BE Group AB,2.7103652068304437e-05,2248
49,Tplex Co Ltd,2.634554564180609e-05,4296
50,"Tang Eng Iron Works Co., Ltd.",2.6190819056724782e-05,2185
51,"MIE CORPORATION CO. , LTD",2.5221148456106374e-05,5633
52,Tubacex SA,2.508951635045953e-05,2858
53,Steel Pipe Industry of Indonesia Tbk PT,2.506036251608889e-05,2702
54,Synalloy Corporation,2.4809968779952045e-05,3411
55,Panchmahal Steel Ltd.,2.402203037987152e-05,1711
56,Remi Edelstahl Tubulars Ltd,2.3525555498752024e-05,5221
57,Zwahlen & Mayr SA,2.3387004603447796e-05,2942
58,Ratnamani Metals and Tubes Limited,2.3022671594673094e-05,2079
59,"Hwang-Kum Steel & Technology Co., Ltd.",2.241677773402958e-05,3491
60,"Xining Special Steel Co.,Ltd",2.0132598204428883e-05,3500
61,Allegheny Technologies Incorporated,1.9598886879934202e-05,5268
62,"Hankuk Steel Wire Co., Ltd.",1.9232074241972763e-05,2660
63,Electrotherm (India) Ltd,1.899159228582408e-05,2211
64,Daeho P&C Co Ltd,1.8447130109999416e-05,2239
65,INDIAN METALS & FERRO ALLOYS LTD,1.8145776496248864e-05,5396
66,Good Luck Steel Tube Ltd,1.738839377646962e-05,2104
67,"Fushun Special Steel Co., Ltd.",1.5644910505242075e-05,3383
68,SAL Steel Ltd.,1.4873373521278738e-05,3268
69,Empire Industries Ltd.,1.447258641935733e-05,5464
70,Sinjin SM Co Ltd,1.3062207717334547e-05,2766
71,Seah Holdings Corp,1.2745224506987722e-05,4065
72,Izhstal' OAO (P),1.2617795158400617e-05,2452
73,India Steel Works Limited,1.261540198945949e-05,5493
74,Chih Lien Industrial Co Ltd,1.181128479865815e-05,2082
75,Nisshin Steel Co Ltd,1.156683836729261e-05,3757
76,SeAH Special Steel Co Ltd,1.1494193018712528e-05,2059
77,"Nature and Environment Co., Ltd.",1.1330876944114806e-05,3499
78,"Zhejiang JIULI Hi-tech Metals Co., Ltd.",1.0690779731364964e-05,3887
79,Rathi Steel And Power Ltd,1.0580788143994025e-05,4433
80,Mechel OAO,1.0437622117998037e-05,5856
81,Facor Alloys Ltd,1.0417998897740878e-05,4843
82,Suraj Ltd,1.0291792450531754e-05,3565
