,name,score,document_length
0,Momai Apparels Ltd,0.21792245905964563,3373
1,Renown Inc,0.1472944056525738,3748
2,Codes Combine Co Ltd,0.1193691765094853,3349
3,Atsugi Co Ltd,0.1111995425285599,2285
4,"CRYMSON Co., Ltd.",0.10891579390382729,2604
5,Jiangsu Holly Corporation,0.10638953340992542,4610
6,Pan-Pacific Co Ltd,0.056046027606532045,3894
7,DAIDOH LIMITED,0.052451509170118066,2055
8,Guangdong Boxin Invstng & Holdings CoLtd,0.043315481986771105,4529
9,GSI Creos Corporation,0.03889330657258542,2626
10,In the F CO LTD,0.035301017708732736,2445
11,Yamano Holdings Corp,0.03353308518846444,2692
12,"F&F Co., Ltd",0.03296337486018208,3064
13,"YAGI & CO., LTD.",0.0324715390740804,1804
14,Sunrise Asian Ltd,0.03193063407835336,4656
15,Bombay Rayon Fashions Limited,0.028068996445114743,4358
16,Aaswa Trading And Exports Ltd,0.028038703403230513,4274
17,Textile Garment Impt Expt and Prdctn JSC,0.027352166298741588,5126
18,Prochnik SA,0.02661104733276976,4165
19,Croe Inc,0.025792191245422442,3509
20,SDIC Essence Holdings Co Ltd,0.024371655872875497,3763
21,Ashapura Intimates Fashion Ltd,0.023140025066816807,6487
22,Taroko Textile Corporation,0.020835994612377638,2586
23,"Shandong Hiking International Co., Ltd.",0.018721027373215297,2968
24,"JLM Couture, Inc.",0.01766982839298719,4578
25,"TSUKAMOTO CORPORATION CO., LTD.",0.0156094743261689,2308
26,"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.012606639569914105,2974
27,Zhejiang Busen Garments Co Ltd,0.012327456595699197,2786
28,LS Networks Corporation Limited,0.012314736956171045,3161
29,PCCS Group Berhad,0.012269719514373383,4382
30,Leeds Group plc,0.0102005974880541,2869
31,Tiemco Limited,0.010041385505247864,2808
32,"KING Co., Ltd.",0.010026180212348785,5286
33,Wolford AG,0.009856830058973002,2945
34,Cross Plus Inc,0.009575370674552497,1998
35,Quasar India Ltd,0.009306839875794498,4461
36,Tan Mai General Wood JSC,0.009059241813895348,3066
37,Mizia 96 AD,0.008887090271483378,3492
38,Kaiser China Culture Co Ltd,0.00781118879538654,3763
39,Tekstilpromet dd,0.007744634441643239,3335
40,Arman Holdings Ltd,0.007184526211033241,5778
41,China Fordoo Holdings Ltd,0.007120790313430837,3326
42,"ONWARD HOLDINGS Co., Ltd.",0.006950227854881641,5381
43,"Zhejiang Orient Holdings Co., Ltd",0.006780098515177663,5145
44,China Ting Group Holdings Limited,0.006737762108966276,6966
45,"Orient International Enterprise, Ltd.",0.0065207278960455065,2830
46,Monte Carlo Fashions Ltd,0.006268696487460191,4727
47,Anshu's Clothing Ltd,0.006237098459300334,4875
48,V-Grass Fashion Co Ltd,0.006097739187114883,3089
49,Shinwon Corp,0.006086110206214605,4253
50,"Youngor Group Co., Ltd.",0.005992139335106471,3905
51,"Ningbo Shanshan Co., Ltd",0.005640264717136334,4059
52,"MOONBAT Co., Ltd.",0.005528671945246246,2423
53,Standard Industries Limited,0.005419369283837153,5720
54,WonpungMulsan,0.005297212106031425,7078
55,Haha Generation Corp,0.005097174901403862,9254
56,Handsome Corp,0.00508065722177912,2470
57,Liaoning Shidai Wanheng Co Ltd,0.004984377603665551,5181
58,Gokaldas Exports Ltd.,0.0049795454913984065,5486
59,Ever-Glory International Group Inc,0.004956317742322092,5195
60,Zhejiang Giuseppe Garment Co Ltd,0.004824435720067315,3219
61,Hanbo Enterprises Holdings Ltd,0.004601694394917563,6181
62,"Hubei Mailyard Share Co., Ltd.",0.00457922532522442,3615
63,ISTRA dd,0.004474145889435893,5214
64,"Takihyo Co., Ltd.",0.004463924878492994,3134
65,Delta Galil Industries Ltd.,0.0043803094671418675,4547
66,Al Arafa for Investment & Consultancies,0.00430063594684735,4370
67,Risa International Ltd,0.0042412241239619414,4710
68,Varteks d.d.,0.004115352260610346,3558
69,Cravatex Ltd,0.004113100109849978,5405
70,Modern Sewing Co,0.003954649898147019,8885
71,Jackson Investments Ltd,0.0038095472804386774,8290
72,Tristate Holdings Limited,0.0037799009887140517,3119
73,Shanghai Lansheng Corporation,0.003490153180797885,3268
74,Makoteks AD Skopje,0.003447010274322255,2468
75,Divinus Fabrics Ltd,0.003376854145353751,5790
76,LANAKAM S.A.,0.003366547089024011,3646
77,Fila Korea Ltd,0.0033053736753072653,8305
78,Moryo Industries Ltd,0.003278587714218658,5081
79,Hatzioannou Holdings S.A.,0.003256211084383059,6065
80,Munsin Garment Corporation,0.003015774529550516,3224
81,China Lilang Ltd,0.0029918075827660272,4254
82,"SANKYO SEIKO CO., LTD",0.002913887002417806,3474
83,Dagi Giyim Sanayi ve Ticaret AS,0.00285167669571134,2568
84,Burberry Group plc,0.002816735154625365,5513
85,"Hansae Co., Ltd.",0.0027654652296515933,3290
86,Pergamon-Status Dis Ticaret AS,0.002731089904468628,2772
87,Adolfo Dominguez SA,0.0026710999090396193,5604
88,Indian Terrain Fashions Ltd,0.002650614809782505,7166
89,Luen Thai Holdings Ltd,0.0026194089576947487,3044
90,"Collins Co., Ltd.",0.002605392486944418,2267
91,Embry Holdings Limited,0.002406833940211543,3446
92,Thai Wacoal Public Company Limited,0.0024027329923335928,2461
93,CALIDA Holding AG,0.002397983410186,1948
94,Hugo Boss AG,0.0023488689894026805,6667
95,Sunbridge Group Ltd,0.002278596044566023,2751
96,"TOKYO SOIR CO.,LTD.",0.0022452326022727497,3371
97,Cosmo Lady China Holdings Co Ltd,0.002221879729099635,2938
98,"Sinoer Men's Wear Co., Ltd.",0.002146297116550394,2629
99,Hakers Enterprise Co Ltd,0.0021442266887364628,3961
100,"Shanghai Shenda Co., Ltd",0.0021429243465476045,3892
101,Broke Out Inc,0.002056574483406401,3838
102,Armeyski Holding AD,0.0019466786369104548,8980
103,China Dongxiang (Group) Co Ltd,0.001931226506807011,3498
104,NR 21 SA,0.00188834468288322,6440
105,Smalto SA,0.0018533336430380286,7803
106,Newcity (Bangkok) Public Company Limited,0.0017589772093191517,5632
107,Vinatex Danang JSC,0.001730402483686219,4889
108,SANYO SHOKAI LTD.,0.0016919259621137129,4010
109,Marumitsu Co Ltd,0.001656783313122047,3188
110,Runway Global Holdings Co Ltd,0.0015928535504381143,3436
111,Ralph Lauren Corp,0.001521427733935203,8440
112,Zhejiang Semir Garment Co Ltd,0.0014702977868148897,3389
113,Delta Galil Industries (ADR),0.0013660090611040672,5100
114,TOPBI International Holdings Ltd,0.0013384224654716449,2294
115,Silvano Fashion Group AS,0.0013196432961477451,1815
116,I.C.C. International Public Company Ltd.,0.001256904130372985,4175
117,Regina Miracle International Holdngs Ltd,0.0011861822821684507,3204
118,"NJ Textiles Import & Export Corp.,Ltd.",0.0011717837344476366,5546
