,name,score,document_length
0,Tennrich International Corp,0.3628708108270942,1711
1,Promaster Technology Corp.,0.19578581192982017,2815
2,"Howteh Technology Co., Ltd.",0.17852334394156388,2344
3,Atech OEM Inc,0.12785963026958044,4745
4,Tokyo Electron Device Ltd,0.12499338841740669,4751
5,Beijing Zhongxun Sifang Scnc & Tech Co,0.11651526095648682,4575
6,LITE-ON JAPAN LTD.,0.11380802753613692,4100
7,Datronix Holdings Limited,0.10964535316496347,3668
8,TAIWAN OSTOR CORP.,0.10820141679732065,2919
9,Zippy Technology Corp,0.1000795789100354,1239
10,Daito Me Holdings Co Ltd,0.09545645636645733,2493
11,Laird PLC,0.09088880351669908,10569
12,"Richardson Electronics, Ltd.",0.08876754559539403,4731
13,Vitec Holdings Co Ltd,0.08319217305796017,2362
14,Daetwyler Holding AG,0.08207446478879167,3549
15,ASEC International Corporation,0.08193484454751786,2439
16,"Trust-Search Corp.,Ltd.",0.08176220346550855,4472
17,Arita Prima Indonesia Tbk PT,0.07951589181569975,3480
18,"BULL WILL CO., LTD.",0.07721433393867122,3690
19,Wuhan P&S Information Technology Co Ltd,0.07570754039767066,2498
20,Alltek Technology Corp.,0.07136971112622863,2773
21,Chialin Precision Industrial Co Ltd,0.07078810331517871,3271
22,"Channel Well Technology Co., Ltd",0.05551531461086033,2372
23,"Universal Microelectronics Co., Ltd.",0.05034778082498652,2565
24,Nichiden Corp,0.04975544259164248,4194
25,"Tianjin Benefo Tejing Electric Co.,Ltd.",0.0458636877191147,3205
26,Dongyang E&P Inc,0.04095748383451511,2172
27,Northeast Electric Development Co Ltd,0.04081842493571949,1943
28,Amalgamated Electronic Corp.,0.04020352550288867,10889
29,TAMURA CORPORATION,0.040091090985105646,3923
30,Sakae Electronics Corporation,0.03576824883400278,3141
31,Shijiazhuang Tonhe Electrncs Techs CoLtd,0.033965606518594635,3140
32,Fuji Electric Co Ltd,0.032962618150758516,3399
33,NICHIDENBO CORPORATION,0.032950662120461466,2494
34,Sino-American Electronic Co Ltd,0.03231886472546302,2590
35,Sungho Electronics Corp,0.03199648149181792,1925
36,"Shenzhen HiFuture Electric Co.,Ltd.",0.0318126744073989,2479
37,Jiangsu Zhongling Hi-tech Co Ltd,0.031186730261275088,1480
38,Lien Chang Electronic Enterprise Co. Ltd,0.02970697782697055,2542
39,"ZHONGYEDA ELECTRIC CO.,LTD.",0.029019139322613137,2468
40,"BESTEC POWER ELECTRONICS CO., LTD",0.028710016170358215,2552
41,"Sansha Electric Manufacturing Co., Ltd.",0.028172892958043833,2743
42,Surge Components Inc,0.027608244839737277,2902
43,Ablerex Electronics Co Ltd,0.027498578101810854,1594
44,"ENG ELECTRIC CO., LTD.",0.02741171435813893,2131
45,Ahoku Electronic Co,0.027408420393275266,2721
