,name,score,document_length
0,Beijing ZXT Sftwre Scince & Tchly Co Ltd,0.510060305432063,1378
1,ifa systems AG,0.47222667720297995,3544
2,"Synopsys, Inc.",0.44497269230772246,13008
3,Hightech Payment Systems SA,0.40965399673494524,5543
4,Cecurity.com SA,0.28064946245507894,3894
5,"Techno Mathematical Co., Ltd.",0.26485616076644264,4545
6,Softing AG,0.21159651721068767,3124
7,Skkynet Cloud Systems Inc,0.18858491337868577,3529
8,Orion Health Group Ltd,0.18127499063285143,6867
9,Smart Information Technology Golbal,0.17136846396779826,13243
10,Bit Computer Co Ltd,0.15322797883707948,11990
11,Inspur Software Co Ltd,0.14804553951528965,6578
12,Digia Oyj,0.14596343990385952,4967
13,Zuken Elmic Inc,0.14104977558073484,2617
14,System Integrator Corp.,0.1383434256906065,4820
15,Tobe Soft Co Ltd,0.1349193185448979,2782
16,Chengdu Guangda Electronic Co Ltd,0.13327544494446492,4045
17,B-Scada Inc,0.1309263411364498,21088
18,Kambi Group PLC,0.13063454404834612,3749
19,Fabasoft AG,0.1258254915945356,2414
20,Omni Market Tide Ltd,0.12462731888714537,3037
21,EASY SOFTWARE AG,0.11894635765420455,10034
22,8K Miles Software Services Ltd,0.1144232766036157,1921
23,APEX Intl Financl Engg Res & Tech Co Ltd,0.11385077497002956,5857
24,CardioComm Solutions Inc,0.10972902917704802,5070
25,Insyde Software Corp.,0.10799876684862068,3674
26,Future Developer Technology Co Ltd,0.10486153811962887,6523
27,Sobal Corporation,0.10390902844013833,5428
28,Axway Software SA,0.10342317429197047,7672
29,Aplix IP Holdings Corp,0.09870732532110331,2547
30,Qwick Media Inc,0.09838079641723999,5054
31,SLYCE Inc,0.09726202745331264,5431
32,Opower Inc,0.09558195256320133,5286
33,Cadence Design Systems Inc,0.09507895388659282,20883
34,Ackroo Inc,0.08925671802762629,2821
35,Beijing Consmation Science & Tech Co Ltd,0.08811313641755546,4629
36,Lockbox Link Inc,0.08707392814581481,3092
37,GMO Pepabo Inc,0.08336705413796539,2545
38,"FueTrek Co., Ltd.",0.08007214912037898,2821
39,"FalconStor Software, Inc.",0.07915324799000706,6690
40,Jive Software Inc,0.07786864043748061,5652
41,Marin Software Inc,0.07777343445160355,7127
42,Genesis Technology Inc,0.07766790790264799,5392
43,Cyberark Software Ltd,0.07528332212132278,6777
44,Novotek AB,0.07264871761352125,3283
45,Varonis Systems Inc,0.0673935944645592,6368
46,Mobile Tornado Group Plc,0.06716775907200437,3618
47,eBizware Inc,0.06709325536393199,11176
48,Authentidate Holding Corp.,0.06609803120156105,7877
49,Moovly Media Inc,0.0640754732054342,4144
50,Hubwoo SA,0.06388293801984653,6342
51,Gopher Protocol Inc,0.061873724274318205,9284
52,Jacada Ltd.,0.05852418860138786,8365
53,"JAPAN THIRD PARTY CO., LTD.",0.0577106597935922,2019
54,Xunlei Ltd,0.057627951171528656,10017
55,Fineart Technology Co Ltd,0.05576136070555593,4391
56,Mentor Graphics Corp,0.05492215312002304,9207
57,Liberated Syndication Inc,0.054852392656319846,4607
58,Five9 Inc,0.052788259933637977,7071
59,Qt Group Oyj,0.05260036326163797,4181
60,Sinosun Technology Co Ltd,0.045896470491160864,3249
61,Splunk Inc,0.044670105929478905,9184
62,"Klever Marketing, Inc.",0.04413002405576871,2017
63,Medidata Solutions Inc,0.043923863093901866,5762
64,MiTAC Inc.,0.04377735513825885,5119
65,eServGlobal Limited,0.0430431233309746,2344
66,"BroadVision, Inc.",0.04241739293627244,3596
67,Beyondsoft Corp,0.040785828713326415,3491
68,XcelMobility Inc,0.0400132359728179,3022
69,Secunet Security Networks AG,0.03999340879870309,2652
70,Rsupport Co Ltd,0.03894785120512914,2723
71,Alten SA,0.03892745215452928,8102
72,Emis Group Plc,0.03884685031322309,2424
73,Mobile & Commerce Solutions PLC,0.03839870273189897,7093
74,Cloud Security Corp,0.03836548026585202,2766
75,SOFTBANK TECHNOLOGY CORP.,0.03727936320793654,5965
76,Tradelink Electronic Commerce Ltd,0.035886184016974916,3056
77,Findex Inc,0.03569570600649273,3734
78,QHR Corp,0.035348315090180146,3217
79,Softship AG,0.03416361701044551,3820
80,Twilio Inc,0.03340001098566984,4146
81,"International Automated Systems, Inc.",0.03313539887703617,3248
82,G-treeBNT Co Ltd,0.03273026123919526,3808
83,Wonders Information Co Ltd,0.03226228864715659,2868
84,"Initech Co., Ltd.",0.031632322483240695,2218
85,Basware Oyj,0.030874393489834007,4123
86,Jedat Inc.,0.030409854419436562,2092
87,FCS Software Solutions Limited,0.029457337283346863,4489
88,Glodon Science and Technology Co Ltd,0.029397810231413267,4396
89,M2M Group SA,0.02932510720694304,2738
90,ProntoForms Corp,0.028462322471769795,3995
91,Medical Transcription Billing Corp,0.026714572510834377,6686
92,"Quality Systems, Inc.",0.02667741244903906,7940
93,Prologue SA,0.02539160437594526,5598
94,GHL Systems Bhd,0.025315150475376323,3956
95,SKH Consortium Bhd,0.024012074427391134,2992
96,ACI Worldwide Inc,0.023961917000008753,7258
97,DGA SA,0.02218125943931066,4938
98,Beijing NJA Information Technolgy Co Ltd,0.0216381153667872,2650
99,Digimarc Corp,0.02137456093614232,5549
100,OPENLiMiT Holding AG,0.019714216215925683,7021
101,Neusoft Corporation,0.018881707730920363,4343
102,Zendesk Inc,0.017970030038622208,17796
103,"DIOTEK CO.,LTD",0.017785383795050083,4743
104,Information Analysis Incorporated,0.017665337126557715,2803
105,Birdbill Inc,0.01645566370676604,19816
106,Workday Inc,0.01634140266086863,8467
107,NXT-ID Inc,0.016250852357797295,5678
108,MDS Technology Co Ltd,0.015708733567013865,7118
109,FormPipe Software AB,0.014614286649263968,3663
110,"Cybernet Systems Co.,Ltd.,",0.01355571557088949,3660
111,Mexter Technology Berhad,0.012686007647769884,4210
112,First Data Corp,0.012641887264002961,5382
113,Censof Holdings Bhd,0.012562278192606458,5812
114,R S Software (India) Ltd,0.011182560645122377,7843
115,Clavister Holding AB,0.010567978535951561,11898
116,Rain Intelligent Suzhou Co Ltd,0.010431300706212746,4816
117,"ANSYS, Inc.",0.009814172876766595,4438
118,Zuken Inc,0.009494346937033384,6113
119,Jorudan Co. Ltd.,0.00948997174003306,967
120,Fujitsu Ltd,0.009268526090456971,18462
121,Electronic Data Processing plc,0.008935594513098203,3813
122,"VASCO Data Security International, Inc.",0.006608173928220218,5387
123,NeuLion Inc,0.006403719706411391,5295
124,Global Graphics SE,0.005682852761522414,6684
125,"HYWEB TECHNOLOGY CO., LTD.",0.005674264841522119,1822
126,"Shanghai Hi-Tech Control System Co., Ltd",0.005648005682690283,1888
127,Atos SE,0.005588241773294558,8051
128,"SYSTEMS DESIGN Co., Ltd.",0.005346752561714501,2683
129,Medical Columbus AG,0.005297343753374853,2746
130,Keyware Technologies NV,0.005264120234790233,1473
131,Softcreate Holdings Corp,0.005229564753308333,2320
132,Solekia Ltd,0.005153684484869254,2833
133,Shanghai Yanhua Smartech Group Co Ltd,0.005105876897063505,2431
134,Smartpay Holdings Ltd,0.005077332759433071,2479
135,Beijing Kingtop Technology Co Ltd,0.0050432448394438735,2262
136,TTG Fintech Ltd,0.0050304074285617995,3088
137,Korea Information Certificate Athrty Inc,0.0050124056342345305,2753
138,Clydestone (Ghana) Limited,0.00479028575230786,2281
139,INNOTECH CORPORATION,0.004762270517628652,3047
140,ND Software Co Ltd,0.004761443152006983,2394
141,Jian ePayment Systems Ltd,0.00464542902413765,2872
142,Touchcorp Ltd,0.004495383446485126,3031
143,ORT Technologies Ltd,0.004448184114446544,2615
144,"SOPHIA HOLDINGS CO., LTD.",0.004445339384416796,2525
145,Advanced Information Technology PCL,0.004436391729900138,2687
146,"Daheng New Epoch Technology, Inc.",0.0044268330049963885,2362
147,"Fujian Newland Computer Co., Ltd.",0.004369186850345792,2656
148,"YLZ Information Technology Co., Ltd",0.004349648548157087,2781
149,Nexia Health Technologies Inc,0.004345660451171117,2988
150,Direct Insite Corporation,0.0042381990364200265,3085
151,"INFOvine co., Ltd.",0.0042299915390274015,2614
152,CommerceHub Inc,0.0041918506586595475,3224
153,Allscripts Healthcare Solutions Inc,0.004134128803587484,7643
154,Netbay PCL,0.004105129473148431,2707
155,Flight Holdings Inc,0.004067830995043044,3173
156,Softmax Co Ltd,0.004018595115748538,3470
157,RIKEI CORPORATION,0.003910462581269796,2889
158,"QiMing Information Technology Co., Ltd",0.0038634673325843062,3011
159,Ubiquitous Corporation,0.0038226841799937302,2889
160,"Yunnan Nantian Electronics Info Co.,Ltd.",0.003788108147734749,2618
161,TTL Information Technology AG,0.0037795293039374076,1568
162,"Alternet Systems, Inc.",0.003772607461087721,3609
163,PUC Founder (MSC) Berhad,0.0036851406533651454,4063
164,"Xiamen 35.com Technology Co., Ltd.",0.003679232421039921,3234
165,"Fujian Rongji Software Co., Ltd.",0.003669812827158139,3545
166,Bright Oceans Inter-Telecom Co Ltd,0.0036314445534962277,2502
167,UT Group Co Ltd,0.003571840826425654,3534
168,Proactis Holdings Plc,0.003554853150617409,4325
169,Kingwaytek Technology Co Ltd,0.0035524842416672386,3863
170,Speech Modules Holdings Ltd,0.0035004781083931872,1926
171,Vogogo Inc,0.003433963862214655,2708
172,ArtSpark Holdings Inc,0.0034330219140513204,3570
173,SYSCOM COMPUTER ENGINEERING CO.,0.0034270437286219656,1897
174,KL-Net Corp,0.0034147057721927733,3616
175,Seamless Distribution AB,0.003339469400150492,3127
176,Chinasing Investment Holdings Limited,0.0033145440117096437,3054
177,"DuzonBizon Co., Ltd.",0.003304452455112441,4131
178,Founder Holdings Limited,0.0032533171078864146,3455
179,BEIJING THUNISOFT CORP LTD,0.003135456059406661,3236
180,"TSUZUKI DENKI CO., LTD.",0.003081977189931241,3898
181,Chasen Holdings Ltd,0.0030811910065568766,3096
182,Connect Group NV,0.0030575463774917683,4026
183,New Trend International Logis Tech CoLtd,0.0030182366540534382,4017
184,Tricom India Ltd.,0.0029892246668454395,3624
185,VPR Brands LP,0.002966239021816566,4215
186,Teledyne Technologies Incorporated,0.002936957222592143,5413
187,Tec Toy S.A.,0.002933138125750875,5156
188,Restore PLC,0.002930825321738758,3314
189,iFAO AG,0.002927098228351181,4046
190,Baozun Inc (ADR),0.002834414302441114,5180
191,Guangxi Future Technology Co Ltd,0.002825192404172895,4050
192,K WAY INFORMATION CORPORATION,0.0028210546099852484,5468
193,Stealth Technologies Inc,0.002818382397005149,4386
194,Green Resources PCL,0.002814464197456576,2073
195,Synthesis Electronic Technology Co Ltd,0.0027735771616800397,4322
196,CubeItg SA,0.0027523517307299398,6058
197,ARGO GRAPHICS Inc.,0.0027258114166364587,4367
198,Alphinat Inc,0.002719179889256634,5015
199,Streamline Health Solutions Inc.,0.0026931130603728027,3896
200,Eqube Gaming Ltd,0.0026816784071298744,4062
201,Fiserv Inc,0.0026517939566489284,4791
202,Nova MSC Bhd,0.0026441746155406046,7065
203,OPTeam SA,0.002624532179258303,5595
204,FullNet Communications Inc,0.0026170718569018905,3440
205,"JFE Systems, Inc.",0.002597721074802862,3884
206,UB Care Co Ltd,0.0025777604948954143,5631
207,Serma Technologies SA,0.002573280566485883,4725
208,TravelSky Technology Limited,0.0025729904690185014,3819
209,Shanghai Huahong Jtng Smrt Systm Co Ltd,0.002551573313036717,3120
210,Careland Corp,0.0025412612836281925,4430
211,Information & Networking Technology JSC,0.0025075575323170868,4685
212,ChannelAdvisor Corp,0.0024591024700669458,4276
213,Gemalto NV,0.0024539908906526632,5581
214,SHINSEGAE INFORMATION & COMMUNICATION Co,0.0024317624903558445,3454
215,M.L.S. Multimedia S.A.,0.0024083652858285405,5085
216,Beijing Beida Jade Bird Universal SciTch,0.002378473079270538,5096
217,Beijing Boya-yingjie Scnc & Tech Co Ltd,0.0023379321564157628,73222
218,Gromo Trade & Consultancy Ltd,0.0023337266148171997,4163
219,Jackpot Digital Inc,0.002323953076837039,3286
220,Fujian Boss Software Development Co Ltd,0.002200385526429951,4951
221,Vape Holdings Inc,0.00217892577265284,5987
222,Beijing Dezeal Electronic Co Ltd,0.002092125994936154,3912
223,Beijing Orient Founder Sci & Tech Dev Co,0.0020477812571894883,2948
224,Cipherloc Corp,0.0020122600838720756,2913
225,Siili Solutions Oyj,0.0019999700564580455,3462
226,Appen Ltd,0.001995923151856929,3649
227,Boldt S.A.,0.0019133188441056484,4018
228,Medical Information Technology Inc,0.0019042655936688802,7845
229,Tecnoinvestimenti SpA,0.0018743049412538342,3581
230,EFT Canada Inc,0.0018310421955785583,7115
231,China Public Procurement Limited,0.0018043592597302455,7016
232,GFI Informatique SA,0.0017723004415832553,4826
233,Funcom N.V.,0.001717114103228004,3463
234,"China Digital TV Holding Co., Ltd.(ADR)",0.001706942480562741,5548
235,NJK CORPORATION,0.0016931752637089112,3643
236,Compugroup Medical SE,0.0016769068485659154,4736
237,Sirma Group Holding AD,0.0016705438223151676,3948
238,asknet AG,0.001601052906678949,1699
239,Imprivata Inc,0.0015962244266174701,27475
240,Galaxia Communications Co Ltd,0.0015850414934362113,4227
241,Goyourlife Inc,0.0015614527968523693,4820
242,Efficient E-Solutions Bhd,0.0015190920769618927,8909
243,INFOCOM CORPORATION,0.0014935976215684362,6741
244,TAS Tecnologia Avanzata dei Sistemi,0.0014766296730197464,4375
245,Kainos Group PLC,0.0014611077673772612,8663
246,"Software Service, Inc.",0.0013896859459378579,4632
247,Glintt Global Intelligent Technologis SA,0.0012941034565289236,4485
248,Shandong Donsun intelligent trnsn crp Ld,0.001279129997969787,33304
249,Klab Inc,0.001268553843031968,5208
250,GMO Cloud KK,0.0012604018777112721,1663
251,Shanghai 2345 Network Holding Grp Co Ltd,0.0010849334032039502,2985
252,"DST Systems, Inc.",0.0010728931534639294,7507
253,Gfinity PLC,0.0009730154324138255,4279
254,Shanghai Baihong Soft Technology Co Ltd,0.0009535934251378537,8367
255,Beijing Lanxum Technology Co Ltd,0.0009319489927175493,3445
256,Medefile International Inc,0.0009272416055014736,11309
257,Shenzhen Huapengfei Modern Logist,0.0009208168359023284,2341
258,GB Group plc,0.0008636802663126748,3342
259,AppFolio Inc,0.000773225444676075,3172
260,Rong Zhi Tong Technology Beijing Co Ltd,0.0007315437981599859,17626
261,Al Faris National Investments Company,0.000731054990991825,4191
262,CORE CORPORATION,0.0007143780976183087,5071
263,3TL Technologies Corp,0.0007096771554442271,3895
264,Advanced Environmental Petrolm Prdcr Inc,0.0006435959581042848,6047
265,Shenzhen Prolto Supply Chain Mgt Co Ltd,0.0006122058830320949,4613
266,Changyou.Com Ltd (ADR),0.0006042615871136006,5915
267,Jiangsu Ani Information Technolgy Co Ltd,0.0005558012745230699,10678
268,Electronic Arts Inc.,0.0005099321280533468,27472
269,Logikom AO,0.0004861003895702896,7756
270,Shenzhen Youkang Health Mangmnt Co Ltd,0.0004828903662906591,14195
271,Intralinks Holdings Inc,0.0004671226853320223,7494
272,Black Knight Financial Services Inc,0.0004662766297567238,6527
273,My Cloudz Inc,0.0002819109915379171,40092
274,Beijing Zhonghaijiyuan Dgtl Tech Dvp Co,6.213771833730472e-05,57214
