,name,score,document_length
0,Yongsheng Advanced Materials Co Ltd,0.06961903180352082,2274
1,Bombay Rayon Fashions Limited,0.06961137370183829,4369
2,PCCS Group Berhad,0.0488105980412169,4022
3,Modern Sewing Co,0.042415214682688156,9179
4,DAIDOH LIMITED,0.023298246905377996,2210
5,Ever-Glory International Group Inc,0.017939818485891143,5179
6,Aaswa Trading And Exports Ltd,0.016500946884775686,4296
7,Taroko Textile Corporation,0.012925850053357033,3450
8,Sunrise Asian Ltd,0.011789535420215599,4660
9,"Zhejiang Orient Holdings Co., Ltd",0.010211631732181594,3224
10,"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.008553685217214791,3216
11,Leeds Group plc,0.0062011202243625,2704
12,"Jiangsu Sanyou Group Co., Ltd.",0.004652322153705052,1793
13,Varteks d.d.,0.0043194125222737545,2028
14,Textile Garment Impt Expt and Prdctn JSC,0.0041126306121615705,4833
15,Confectii Vaslui SA,0.0037176439143476086,3343
16,SANYO SHOKAI LTD.,0.0035811089222910807,4028
17,"YAGI & CO., LTD.",0.0025338217780949356,1027
18,Prochnik SA,0.002245922951862576,4185
19,Marumitsu Co Ltd,0.0022240861541289927,2931
20,"KING Co., Ltd.",0.0022023851983428745,2995
21,Vinatex Danang JSC,0.001901478316189228,4906
22,"Shandong Hiking International Co., Ltd.",0.0015396924657596976,3338
23,Tan Mai General Wood JSC,0.0015166705359300182,3219
24,GSI Creos Corporation,0.0014948573411852405,2621
25,Renown Inc,0.0013445866264260834,3764
26,Standard Industries Limited,0.0010868705237511713,5800
27,"Takihyo Co., Ltd.",0.0010248404399134717,3854
28,Dagi Giyim Sanayi ve Ticaret AS,0.0008793457031516209,2563
29,Jackson Investments Ltd,0.0008635659906130223,8380
30,"Shanghai Shenda Co., Ltd",0.0007467270858005372,3363
31,Adolfo Dominguez SA,0.0007082786894952718,5217
32,"Orient International Enterprise, Ltd.",0.0007074012634100949,3485
33,Luen Thai Holdings Ltd,0.0005898246371141226,3055
34,"SANKYO SEIKO CO., LTD",0.0005791653030673388,3488
35,Atsugi Co Ltd,0.0005444134905156327,2161
36,Newcity (Bangkok) Public Company Limited,0.0005201907115153277,5780
37,Tristate Holdings Limited,0.00044366609741822193,3042
38,Makoteks AD Skopje,0.00040601217817465686,2491
39,Hatzioannou Holdings S.A.,0.00039326729660894334,5936
40,Quasar India Ltd,0.00031351700771723443,5515
41,"NJ Textiles Import & Export Corp.,Ltd.",0.00022247601272467102,4803
42,Shanghai Lansheng Corporation,0.00014315342934437605,2354
43,Gala Global Inc,0.00010788511124397977,6686
44,Wacoal Holdings Corporation (ADR),4.568814270266117e-05,34227
45,WACOAL HOLDINGS CORP.,4.240965100243244e-05,33708
46,Armeyski Holding AD Sofia,3.646347090325702e-05,2972
47,Sinar OAO (P),5.411534076697647e-08,1028714
