,name,score,document_length
0,Fidelix Co Ltd,0.35230062096846776,3297
1,Jeju Semiconductor Corp,0.18625166853578398,2264
2,Winbond Electronics Corp.,0.14940362029477436,5309
3,Winpac Inc,0.1445813115340771,5212
4,Elite Semiconductor Memory Tech. Inc.,0.1402301153992619,2137
5,"GSI Technology, Inc.",0.1365907792119144,3589
6,Etron Technology Inc,0.10882042226793294,1411
7,TOMEN DEVICES CORPORATION,0.1023640259729129,2336
8,"Supreme Electronics Co., Ltd.",0.0950782349946058,2441
9,UNIFOSA CORP.,0.09368721197958749,1325
10,Cypress Semiconductor Corporation,0.0934264781388956,9955
11,"Service & Quality Technology Co., Ltd",0.09168773539620442,1819
12,"Hakuto Co., Ltd.",0.09007869017619008,1452
13,Zenitron Corp,0.08985058197032417,1042
14,"A-DATA Technology Co., Ltd.",0.08804272761705181,4074
15,Eon Silicon Solution Inc.,0.0870753149446532,2535
16,Serial System Ltd,0.08421142362454649,3986
17,Okins Electronics Co Ltd,0.07871847446449373,1304
18,Skymedi Corporation,0.07557073053112605,4223
19,Kingpak Technology Inc,0.07535037909372738,2363
20,Phoenix Semiconductor Philippines Corp,0.07401519031923395,2850
21,Spansion Inc.,0.07374658995564297,7333
22,Panram International Corp,0.07356095235844512,3637
23,AP Memory Technology Corp,0.07049377237355552,3164
24,Powerchip Technology Corp,0.07041066656304107,4049
25,Renesas Easton Co Ltd,0.07036722450077966,1885
26,Shinden Hightex Corp,0.06887929262100331,1353
27,Wuhan P&S Information Technology Co Ltd,0.0670177260880855,2873
28,United Microelectronics Corp (ADR),0.06643522316424884,5403
29,Walton Advanced Engineering Inc,0.06628090493169093,2893
30,Aptos Technology Inc.,0.06567299246863775,2793
31,ARES GREEN TECHNOLOGY CORPORATION,0.06549119817009412,1976
32,WPG Holdings Limited,0.06445515447249049,3165
33,Chipbond Technology Corporation,0.06431765065083954,2030
34,CoAsia Microelectronics Corp.,0.06416971630656282,5669
35,Inotera Memories Inc,0.06391946679025573,2531
36,LuxNet Corp,0.06388609967209262,1600
37,Harmony Electronics Corp,0.06309887648019524,2018
38,Honey Hope Honesty Enterprise Co Ltd,0.06250893704597489,5008
39,King Core Electronics Inc.,0.062390041405626984,2405
40,Nanya Technology Corporation,0.06197298730634197,2412
41,MoSys Inc.,0.06051693067265946,4620
42,Rambus Inc.,0.05966234153576132,6102
43,Integrated Device Technology Inc,0.058282176079330006,4492
44,Chipsip Technology Co Ltd,0.05766016667141334,3641
45,Barun Electronics Co Ltd,0.05726862908923941,1588
46,"CHIP HOPE CO., LTD",0.05678799607838475,2303
47,Orient Semiconductor Electronics Ltd,0.05673297102908116,4300
48,Apacer Technology Inc,0.056120271518808294,6904
49,"InnoChips Technology Co., Ltd.",0.05508231398724087,2119
50,"Alchip Technologies, Limitd",0.05495990694375071,4093
51,"Universal Microwave Technology, Inc.",0.05490593142258021,2586
52,Formosa Sumco Technology Corp,0.05401462492793805,3631
53,Higher Way Electronic Co Ltd,0.05363508088357876,3084
54,SAMT Co Ltd,0.05268040033430496,3182
55,Techwing Inc,0.05252587092852848,2868
56,Tongfang Guoxin Electronics Co Ltd,0.05208784297365938,3029
57,CX Technology Corp,0.05196205702721004,3063
58,eASIC Corp,0.05099106491621632,4908
59,Zentel Electronics Corp.,0.05092896614658375,2071
60,Faraday Technology Corporation,0.0508887821648816,3178
61,LIWANLI Innovation Co Ltd,0.05076953463360311,3102
62,SK Hynix Inc,0.05067112236722939,6899
63,Advanced Microelectronic Products Inc.,0.05023932924715682,2240
64,Silitech Technology Corporation,0.049750059654271685,2812
65,"Micron Technology, Inc.",0.049323963594598896,4593
66,UKC Holdings Corp,0.04884187197897491,2229
67,MetaTech (AP) Inc.,0.04841709652865586,3725
68,Powertech Technology Inc.,0.04789877884893175,2617
69,NICHIDENBO CORPORATION,0.047612664300378985,3156
70,Elite Advanced Laser Corporation,0.04741274146356985,2845
71,"Prosperity Dielectrics Co., Ltd.",0.0464636240839562,3351
72,STS Semiconductor and Telecommunications,0.04615941477365582,2711
73,"WT Microelectronics Co., Ltd.",0.04600878345190232,2116
74,"FOCI Fiber Optic Communications, Inc.",0.045181313809810116,2529
75,"Makus, Inc.",0.045098809354989375,4075
76,Professional Computer Technology Ltd,0.0450758929078172,2180
77,Lung Lung Pien Vacuum Industry Co Ltd,0.04503556235887545,2871
78,"RDC Semiconductor Co.,Ltd",0.044965207954550286,2724
79,MARUBUN CORPORATION,0.04469689743106483,2559
80,"Taiwan Chi Cheng Enterprise Co.,Ltd",0.04456965453785393,3119
81,ASEC International Corporation,0.04248123176688777,2496
82,Micro Base Technology Corp,0.042479201624755894,2507
83,"Pontex Polyblend Co., Ltd.",0.04188064156168195,3644
84,Walsin Technology Corporation,0.04149936477769583,3084
85,Phison Electronics Corp.,0.04128045115005337,1927
86,Goldenmars Technology Hldg Ltd,0.04122162337202453,3748
87,"Howteh Technology Co., Ltd.",0.04111568626707502,3065
88,Ichia Technologies Inc.,0.040146096958976425,2959
89,Mildex Optical Inc.,0.04013159273312921,2905
90,"Siliconware Precision Industries Co, Ltd",0.0398234928611367,3730
91,"Soaring Technology Co., Ltd.",0.03928463587615217,3432
92,"Transcend Information, Inc.",0.039034719484231484,3216
93,Siltrontech Electronics Corporation,0.03887034859211486,4508
94,Kenmos Technology Co. Ltd.,0.038786804197632224,3164
95,Sino-American Silicon Products Inc.,0.03815132307553509,2759
96,Sentronic International Corp,0.0378871452611116,4183
97,Turvo International Company Limited,0.03778358603724568,3148
98,NICHING INDUSTRIAL CORPORATION,0.03727706743120281,763
99,Chen Full International Co Ltd,0.03651095900194978,3996
100,Darfon Electronics Corp,0.03646207247058442,2159
101,Contrel Technology Co Ltd,0.03627030991494206,2576
102,Calitech Co Ltd,0.03613850663692571,2741
103,"eMemory Technology, Inc.",0.035723580995849984,3319
104,Solomon Technology Corporation,0.03542899386783534,3662
105,"Ryosan Company, Limited",0.035293663314841545,2132
106,Donpon Precision Inc.,0.03527540031726615,4395
107,"Visual Photonics Epitaxy Co., Ltd",0.03412583618343323,3112
108,"ThinTech Materials Technology Co., Ltd.",0.034115242785312756,4438
109,Ace Pillar Co Ltd,0.03360063014414163,3052
110,"Jochu Technology Co., Ltd.",0.03351045121919454,3403
111,Koryo Electronics Co Ltd,0.03329748573374095,3913
112,SK Hynix Inc (Parent),0.033033241046543205,7529
113,Siliconware Precision Industries (ADR),0.032991313112587496,3373
114,Eagle Mountain Corp,0.03293355102987747,5423
115,SUNNIC Technology & Merchandise Inc.,0.032679450908717385,3522
116,Abico FS Co Ltd,0.03199407280972986,4069
117,Prolink Microsystems Corp,0.031652902575856824,9391
118,Advanced Digital Chips Inc,0.031167009412446094,2983
119,Taiwan IC Packaging Corporation,0.030797453523889653,3423
120,Inventec Besta Co Ltd,0.030056024099919545,3883
121,United Microelectronics Corp.,0.029973608070612744,5059
122,All Ring Tech Co Ltd,0.02985586061626709,2051
123,ISC Co Ltd,0.02905444192412553,2665
124,Daiwa Associate Holdings Limited,0.028545647362913734,3282
125,Atmel Corporation,0.02851099563171776,9355
126,AverLogic Technologies Corporation,0.028474684163282474,2818
127,Hua Hong Semiconductor Ltd,0.028456345899759802,2911
128,Green World Hotels Co Ltd,0.028452175378869057,4217
129,"Tamul Multimedia Co., Ltd",0.027955876976880095,3169
130,Microchip Technology Inc.,0.02769979814988455,19903
131,Chander Electronics Corp.,0.02638755965772687,2325
132,KUEN CHAANG UPPERTECH CORP.,0.026244975166940538,5452
133,Advanced Wireless Semiconductor Company,0.025330394086334786,4364
134,Jubilee Industries Holdings Ltd,0.025155503155491334,2425
