,name,score,document_length
0,Beijing Cpc Science and Technolgy Co Ltd,0.0022336638180713146,10756
1,Oricom Inc,0.0011891090984352012,62933
2,Prochem SA,0.0010939054913091657,13044
3,Macdonald Dettwiler & Associates Ltd,0.0008810047211577649,41562
4,Nexus AG,0.000810060747492037,16481
5,Gemini Corporation,0.0005646561366591245,26663
6,NTT Data Corp,0.0005000364326466023,43930
7,Beng Kuang Marine Limited,0.00044939838107203634,24190
8,MSI Medical SA,0.0004004278061933372,31969
9,Mercuries Data Systems Ltd,0.0003176837440702367,34366
10,IT Holdings Corporation,0.00027163320736596144,67060
11,"JAPAN THIRD PARTY CO., LTD.",0.0002617818711189519,19005
12,"NeoMedia Technologies, Inc.",0.0002598003895843262,37476
13,Beijing Boer Communication Tech Co Ltd,0.00022180508243244837,41464
14,Bechtle AG,0.00018151694573940652,33077
15,Mentor Graphics Corp,0.00015845899512973997,63759
16,Seremban Engineering Bhd,0.00015559945715872242,30507
17,Tihama Advert. Public Relat. & Markting,0.00013166883198493368,40801
18,Serma Technologies SA,0.00011105795512262031,43692
19,TTL Information Technology AG,0.00011093276626716669,13885
20,Datalink Corporation,9.397056053014003e-05,41021
21,Gannett Co Inc,8.886170324586703e-05,53126
22,Multiconsult ASA,8.856796508903609e-05,24852
23,Bamboo Capital JSC,8.842108015192253e-05,41426
24,Diadrom Holding AB,8.123709966636405e-05,24058
25,Jetwell Computer Co Ltd,7.729688159115433e-05,28536
26,Enalyzer A/S,7.154474783984976e-05,8812
27,Mood Media Corp,6.617425854757676e-05,50793
28,Fluor Corporation (NEW),6.274143020367294e-05,82844
29,Brooker Group PCL,6.139898035411948e-05,41382
30,Summit Alliance Port Ltd,5.877218620521642e-05,33911
31,Acando AB,5.7385226842195595e-05,28048
32,National Energy Services Inc,5.2709096761823095e-05,29925
33,Hand Enterprise Solutions Co Ltd,5.1730401172601765e-05,14168
34,Koyo International Ltd,5.170076601362067e-05,38625
35,IT Competence Group NV,5.0728391965461586e-05,43995
36,Computer Sciences Corporation,5.000770733591985e-05,49549
37,Institut Igh dd,4.5367511422967094e-05,27153
38,Taiji Computer Corporation Limited,4.3606343734101806e-05,32018
39,NEC Networks & System Integration Corp,4.086705390821176e-05,35865
40,SHENZHEN KINGDOM TECHNOLOGY Co Ltd,4.05535318291143e-05,41522
41,Business Brain Showa Ota Inc,3.8111148202246524e-05,39814
42,Beyondsoft Corp,3.771433182865212e-05,35524
43,NTT Com Security AG,3.676435327151898e-05,35613
44,Consort NT SA,3.345489081327547e-05,50784
45,"SOPHIA HOLDINGS CO., LTD.",3.321560551797149e-05,24409
46,Axcelasia Inc,3.114429525993902e-05,36776
47,Atos SE,2.9262515504188018e-05,73417
48,Science Applications International Corp,2.8573900557767795e-05,112904
49,ITFOR Inc.,2.717228445053565e-05,36185
50,Gexeed Co Ltd,2.5916460791049544e-05,30368
51,Bluedon Information Security Tech Co Ltd,2.5678543747010668e-05,27583
52,Boustead Singapore Limited,2.5232496534656966e-05,34610
53,Advance Information Marketing Berhad,2.3879016787551044e-05,29526
54,Leidos Holdings Inc,2.3162738401975384e-05,109145
55,Beijing E-Hualu Info Technology Co Ltd,2.3038486202071675e-05,23272
56,Vendator AB,2.2976182784498263e-05,24911
57,Beijing SoftTech Technologies Co Ltd,2.082505269023865e-05,59289
58,Penna Consulting plc,2.0499721084176495e-05,42941
59,Fujitsu Ltd,1.9998913927152575e-05,180978
60,Mattersight Corp,1.9660466269248653e-05,51138
61,Tefen Industrial Eng. Mgt.&Sys. Analysis,1.946767340754072e-05,34754
62,Freelance.com SA,1.8788524525929937e-05,66029
63,Cni Research Ltd,1.845508454774343e-05,61692
64,RingNet Co Ltd,1.8373709090115274e-05,45144
65,Business & Decision SA,1.7789983399799342e-05,54981
66,Beijing Lw Marketing Comm Co Ltd,1.718452353808236e-05,21852
67,Aubay SA,1.6555627083551427e-05,48640
68,"SOFTBRAIN Co., Ltd.",1.644758726374624e-05,24128
69,Osangjaiel Co Ltd,1.5642448402335645e-05,27902
70,WidePoint Corporation,1.56074140657112e-05,32133
71,MaKheiA Group SA,1.445503770109681e-05,24110
72,Medicine Man Technologies Inc,1.4389851046236686e-05,53584
73,Kyung Bong Co Ltd,1.3934134910212764e-05,35526
74,CN Dragon Corp,1.3595140029442404e-05,37013
75,First Derivatives plc,1.2767362653373342e-05,35143
76,Technovator International Ltd,1.2315186835456775e-05,32043
77,Wallix Group SA,1.1977925431031813e-05,48417
78,Internetq Plc,1.1313923113701096e-05,37516
79,Sword Group SE,1.0474611535470392e-05,46136
80,Intershop Communications AG,9.956861236167559e-06,28856
81,Antevenio SA,9.458099910270674e-06,39576
82,MITCON Consultancy & Engineering Svs Ltd,9.180533251507494e-06,73799
83,FDM Group (Holdings) PLC,8.0344049977744e-06,56016
84,Sobal Corporation,7.595114846369463e-06,29937
85,Wise Group AB,6.264539082153816e-06,31371
86,Booz Allen Hamilton Holding Corporation,6.0473806492878645e-06,183137
87,Nexus Enterprise Solutions Inc,5.8405065940483734e-06,34952
88,Galaxia SM Inc,5.668601320323954e-06,27007
89,Hearts United Group Co Ltd,4.674766594470331e-06,45570
90,MDC Partners Inc,3.4154291834137024e-06,90094
91,Capacent Holding publ AB,2.9444422582558966e-06,35609
92,Palette Multimedia Berhad,2.7293818032392887e-06,44332
93,Matomy Media Group Ltd,1.910965638888224e-06,41254
94,Guru Online Holdings Ltd,1.3850155348498336e-06,56692
95,Visual China Group Co Ltd,1.0537775289643633e-06,34890
96,Starrex International Ltd,1.033791715498592e-06,45704
97,Zeeland Oyj,8.021906458503077e-08,32808
98,CyrusOne Inc,4.3648227140313666e-08,65212
99,CWT Ltd,3.468086824199628e-08,35731
100,Smart Information Technology Golbal,,119949
101,Cube System Inc,0.0002157365569310897,34086
102,Nnit A/S,0.00020797537656365003,50531
103,Tritech Group Limited,0.00016286283735411535,74145
104,Vision IT Group SA,0.00013219021851369961,25914
105,Wison Engineering Services Co Ltd,0.00012421462787825255,56851
106,Experience Art and Design Inc,0.000109895708180353,30777
107,Nordkom AB,9.87148966555516e-05,25088
108,Broadcasting System of Niigata Inc,9.656558930098524e-05,23842
109,Zuken Inc,9.376319715347107e-05,55672
110,Frontken Corporation Berhad,9.07100594793339e-05,49090
111,"Exponent, Inc.",7.728163527985768e-05,50981
112,ULS Group Inc,6.93589121406086e-05,16058
113,Ecosciences Inc,5.211413377225718e-05,42129
114,Soellingen Advisory Group Inc,4.521946684195764e-05,25413
115,Glintt Global Intelligent Technologis SA,4.3951703156686157e-05,38564
116,Management Consulting Group PLC,3.9542931334258766e-05,27989
117,Nexeya SA,3.66078551862018e-05,44735
118,Value HR Co Ltd,3.586490461111506e-05,28350
119,Assystem SA,3.461494880639101e-05,38537
120,Wartsila Oyj Abp,3.348080484865135e-05,133420
121,John Wood Group PLC,3.184455746233794e-05,43526
122,Octo Technology SA,3.158071074722714e-05,41194
123,Lycos Internet Ltd,2.9799014568482468e-05,53520
124,Ausenco Limited,2.8991712875088794e-05,42883
125,Dohwa Engineering Co Ltd,2.8311479563431115e-05,28785
126,Engility Holdings Inc,2.641696448882367e-05,55344
127,MSC Group AB,2.6285406453166707e-05,8779
128,Asia Corporate Development PCL,2.5207009258680138e-05,25278
129,"CTI Engineering Co., Ltd.",2.3835053675204416e-05,42596
130,"Datang Telecom Technology Co., Ltd",2.3133330975660968e-05,30094
131,Full Speed Inc.,2.201950925464975e-05,26986
132,Betacom SA,2.201430249112164e-05,35146
133,Ramco Systems Ltd,2.1156210210888622e-05,56788
134,Lightbridge Corp,1.9444487483634093e-05,58476
135,Top Resource Conservation Engineering,1.8238950201359484e-05,47463
136,Akka Technologies SA,1.776481405537766e-05,82604
137,Hill International Inc,1.7642004794551086e-05,143685
138,Keyware Solutions Inc.,1.634118730874254e-05,23417
139,Primeserv Group Limited,1.540004210923425e-05,37920
140,Issuer Direct Corp,1.444612107571374e-05,44790
141,JBCC Holdings Inc.,1.3440669002260513e-05,24588
142,MOLD-TEK Technologies Limited,1.1602494524145104e-05,36169
143,Yatai Duhui Beijing Urban P & B GDRI,1.0785611815142537e-05,82935
144,Shenzhen Glory Medical Co Ltd,1.0356992178996265e-05,25411
145,Zhi Cheng Holdings Ltd,9.340932771249999e-06,33764
146,Demand Media Inc,8.990901541069427e-06,71509
147,"AUN CONSULTING, Inc.",8.834309349387182e-06,46879
148,"Fujian Rongji Software Co., Ltd.",8.2647171247822e-06,30936
149,Dex Media Inc,7.718205237106227e-06,67015
150,Huron Consulting Group,6.645113959853949e-06,85638
151,XLMedia PLC,4.508487075999341e-06,25949
152,Etteplan Oyj,4.424215332637826e-06,41704
153,Mobiquity Technologies Inc,2.4350919647793896e-06,13062
154,Jsti Group,2.363674808778775e-06,73742
155,Verint Systems Inc.,2.3566293272492625e-06,96992
156,iSIGN Media Solutions Inc,2.3282197789072557e-06,55406
157,FT8 PLC,7.321534219395727e-07,65458
158,China All Access (Holdings) Ltd,7.31515209309637e-07,45236
159,Advertising Prodigy AD Sofia,6.828410021200093e-07,32405
160,Intertrust NV,6.159864970973006e-07,80162
161,1000mercis SA,1.542550115383417e-07,11073
162,Dingli Corp Ltd,1.3798948258095158e-07,96007
163,Beijing V-simtone Technology JSC Ltd,1.2600871680400947e-07,2634625
164,Aviv Arlon Ltd,3.634275387738133e-08,18935
165,Ebiquity plc,3.477888696132396e-08,83134
166,International Business Machines Corp.,,145910
167,plenum AG,0.0002208792876909617,51193
168,Teledyne Technologies Incorporated,0.0002200387757870823,50551
169,Power Engineering Consulting JSC 3,0.0001777397088385739,20203
170,Macrologic SA,0.0001653055242672545,25970
171,KANEMATSU ELECTRONICS LTD.,0.00014513046902041513,14209
172,Realtech AG,0.00012196384179789009,16403
173,Cigniti Technologies Ltd,,116635
174,General Industries PLC,0.0006290472580135426,19019
175,AF AB,0.00044927408859317196,9055
176,Nippon Office Systems Limited,0.000416847157003217,20391
177,Yehey! Corp,0.00030985866148958147,27148
178,S Net Systems Inc.,0.00021797229458013083,28795
179,Himacs Ltd,0.0001793151068616801,15767
180,Sinodata Co Ltd,0.00015642172456055734,18874
181,Dongbu Inc,0.00013123336468675974,18101
182,Prevas AB,0.00012932347860098925,51640
183,Petrovietnam Power Engineering Con JSC,0.00012919199147285636,48834
184,Abric Berhad,0.00011228996082729474,58580
185,SOFTBANK TECHNOLOGY CORP.,0.00010390219140420281,51008
186,Weborama SA,9.853150854696612e-05,48667
187,Euroconsultants S.A.,9.342631827625875e-05,11151
188,Itera ASA,9.232569811700003e-05,32507
189,SII S.A.,8.950749991111325e-05,18949
190,Tianjin Tenio Archtr and Eng Co Ltd,8.596414719775185e-05,55516
191,DGC One AB,8.21584482803415e-05,47109
192,Anite Ltd,8.085164362607866e-05,28617
193,Infrastructure Developments Corp,7.950388716922749e-05,27069
194,Kamalakshi Finace Corporation Ltd,7.326239243537351e-05,54595
195,NorCom Information Technology AG,7.305347669276773e-05,15361
196,Groupe Open S.A.,7.070895835349403e-05,26386
197,Abakan Inc,6.964239828755757e-05,38656
198,"DHC Software Co., Ltd",6.753297319713918e-05,12597
199,Valtech SA,6.533310332241282e-05,49095
