,name,score,document_length
0,Pinar Su Sanayi ve Ticaret A.S.,0.7215599297683102,2868
1,Lotte Chilsung Beverage Co Ltd,0.50672556332321,2660
2,Coca-Cola Amatil Ltd,0.48670322984957604,5192
3,Hokkaido Coca Cola Bottling Co Ltd,0.45294742416310646,2420
4,PC Splash Water Public Company Ltd,0.4148347250485947,2681
5,MOJO Organics Inc,0.4018584909798505,2551
6,SAPPE PCL,0.3686701457747777,5235
7,"DyDo DRINCO, INC.",0.36175557109206385,4281
8,Staatl.Mineralbrunnen AG Bad Brueckenau,0.3505879702741027,3496
9,Les Toques Blanches du Monde SARL,0.3487221403365713,11728
10,Kofola SA,0.2760036510074142,6378
11,Organizacion Cultiba SAB de CV,0.26388127975916004,4173
12,Cott Corporation (USA),0.2627041642302014,4824
13,Oman Refreshment Company,0.24678149765319482,4434
14,Les Eaux Minerales d'Oulmes SA,0.20293535224180476,5174
15,Dubai Refreshments PJSC,0.19488894580045318,2283
16,RG Brands AO,0.17256957613041443,4260
17,National Beverage Corp.,0.17102389118212455,7094
18,Uni-President China Holdings Ltd.,0.16631186108283683,4091
19,Gulfa Mineral Water & Processing Ind Co.,0.15955647639374634,3737
20,Monster Beverage Corp,0.15257283158891521,9194
21,"ITO EN, LTD.",0.15012089350499083,4776
22,Emirates Refreshments PSC,0.14847700530999453,2523
23,Nestle SA,0.1468115600750948,11645
24,Dongsuh,0.1435977871998126,8506
25,Thanh Ha Production and Import Exprt JSC,0.14098179236060715,2278
26,National Mineral Water Company SAOG,0.13524129632673113,19819
27,"Oceanic Beverage Co., Inc",0.12765380087053263,3625
28,CUROHOLDINGS Co Ltd,0.12427171946160072,3339
29,Jammin Java Corp,0.12234634072807729,4508
30,Coca-Cola Bottling Co. Consolidated,0.11446129853738014,4436
31,Dhofar Beverage & Food Stuff Co SAOG,0.11166805177861465,3513
32,Hey-Song Corp,0.10979370908193693,4310
33,Coca Cola HBC AG,0.09385809811720366,5086
34,Embotelladora Andina SA,0.09335217014431749,5530
35,Embotelladora Andina SA (ADR),0.09285514095837846,4575
36,"S. ISHIMITSU & CO., LTD.",0.0865598221260035,3833
37,A & P Andreou & Paraskevaids Entrprs PCL,0.0813923827781291,3623
38,"Fomento Economico Mexicano, SAB de CV",0.0803370325970071,4032
39,Coca-Cola Enterprises Inc,0.07610003891794137,7761
40,Societe de Fbrctn ds Bs de Tns SA,0.07332367129099496,8474
41,Refresco Gerber NV,0.06757572098409212,4954
42,Tri Banyan Tirta Tbk PT,0.06729770092622037,2286
43,Suntory Beverage & Food Ltd,0.06335338804885937,6236
44,"Tait Marketing & Distribution Co., Ltd.",0.06334523605823758,2632
45,Chuong Duong Beverages JSC,0.05944392443902379,5095
46,"Coca-Cola FEMSA, S.A.B. de C.V. (ADR)",0.05780907141071316,5553
47,"KAGOME CO., LTD.",0.057466380426476685,2963
48,Kristal Kola ve Mesrubat Sanayi Tic. AS,0.05657321202494204,2474
49,Mayanot Tamda Ltd,0.056433784413135187,4145
50,Kofola CeskoSlovensko as,0.054682771002382786,4919
51,Pulse Beverage Corp,0.05312686547604289,6278
52,Bio Osmo Berhad,0.04825650403633644,2920
53,Olvi Oyj,0.04752749926171698,4744
54,"Leading Brands, Inc (USA)",0.04653748223372054,3967
55,Voda Vrnjci ad Vrnjacka Banja,0.04641123311791416,3312
56,Hung Viet Green Agriculture JSC,0.046311249215153505,6097
57,Tigaraksa Satria Tbk PT,0.04390299328565448,1940
58,Coca-Cola East Japan Co Ltd,0.04386427105417563,3418
59,Coca Cola Embonor SA,0.04372225913083698,3933
60,Akasha Wira International Tbk PT,0.04277830301027027,3157
61,Bucur SA,0.04276549149510043,3733
62,"Coca-Cola FEMSA, S.A.B. de C.V.",0.041370820040155284,4213
63,Haad Thip PCL,0.04104841941036995,2300
64,A.G. Barr plc,0.04104315600349603,7358
65,Nichols plc,0.039878908232754195,5614
66,Khanh Hoa Mineral Water JSC,0.03944189907651832,3069
67,Arca Continental SAB de CV,0.03924396326793617,5150
68,C.W.Mackie & Co. Limited,0.03801043965540743,5043
69,Coca Cola Icecek AS,0.03741837625807455,4959
70,Spadel SA,0.03696384222737165,2896
71,"Reed's, Inc.",0.03602342698987239,5497
72,Krynica Vitamin SA,0.03505764496728161,2903
73,Carlit Holdings Co Ltd,0.03450327122498884,3512
74,Seven-Up Bottling Co Plc,0.03433296138897503,4065
75,COCA-COLA WEST CO LTD,0.03382051980786046,3881
76,Ersu Meyve ve Gida Sanayi AS,0.03367375202553129,3380
77,Corporacion Lindley SA,0.033080119881490094,9358
78,Eurocash SA,0.032344865841162744,3547
79,National Agriculture Marketing Company,0.032134247313521574,3222
80,Sodastream International Ltd,0.03209080949548096,9764
81,Hamama Meir Trading (1996) Ltd,0.031438117115948475,3187
82,Nafoods Group JSC,0.031070278846630873,3144
83,Yeo Hiap Seng Ltd,0.03052376314151075,5504
84,Mineralbrunnen Ueberkingen-Teinach AG,0.02794705490611781,7168
85,Trafco Group BSC,0.025255430326647777,11791
86,Spritzer Bhd,0.025242144704046076,4138
87,Jamnica dd,0.023078771480542937,3691
88,Ichitan Group PCL,0.02132890403873357,2201
89,Alkaline Water Company Inc,0.02089017769155915,4619
90,Fomento Economico Mexicano SAB (ADR),0.0204798143053027,5043
91,Pepsi-Cola Products Philippines Inc.,0.01956105040793319,3371
92,Serm Suk Public Company Limited,0.019055970683960206,2831
93,Kerur Holdings Ltd,0.016324625718385367,2913
94,MARR SpA,0.01620529429045998,6349
95,Your Drinks AG,0.01580553075897271,2241
96,Maeil Dairy Industry Co Ltd,0.014513536013876574,3972
97,Renuka Holdings Ltd,0.014434031379092641,4574
98,O'will Corporation,0.013994378184880071,1437
99,Hispanica International Dlghts America,0.013195236564884307,4803
100,"Celsius Holdings, Inc.",0.012222567423640016,7174
101,Tibet 5100 Water Resources Holdings Ltd,0.011578550267233175,4433
102,Chellarams Plc,0.011259469493111915,1860
103,Yummy Town Cayman Holdings Corp,0.009970320992993966,2324
104,Hung Fook Tong Group Holdings Ltd,0.00986414820316223,3882
105,Captiva Verde Industries Ltd,0.008874005718836307,4680
106,Barfresh Food Group Inc,0.008774848302047283,4122
107,"JAPAN FOODS CO., LTD.",0.008692431873805383,1888
108,Itochu-Shokuhin Co Ltd,0.008317443522456973,2808
109,Water Direct Corp,0.008168043704590601,4137
110,Tehmag Foods Corp,0.00747016431733494,2868
111,National Real Estate Development Co SAOG,0.0069263270244000795,5433
112,Oishi Group PCL,0.004656942107696013,3671
113,WASGAU Produktions & Handels AG,0.0043334327478904205,5177
114,SAF Magelan AD Sofia,0.0038891924878142457,3361
115,Booker Group Plc,0.003114236078470167,4113
116,"OIE SANGYO CO.,LTD.",0.002932305551376025,4500
117,Brozos Ivy Public Ltd,0.0027338373009208796,6942
118,Auric Pacific Group Limited,0.00257726405866347,4890
119,China Gewang Biotechnology Inc,0.002368938335507241,4367
120,Hong Kong Food Investment Holdings Ltd,0.0018866997756923991,3506
121,Grape King Bio Ltd,0.0018593962862365383,3614
122,Winner Group Enterprise PCL,0.0018536122389324176,3642
123,G Willi-Food International Ltd,0.0015366575408264722,5524
124,Vietnam National General Exp Imp JSC No1,0.00151444346888312,47897
125,"Satoh&Co., Ltd.",0.001442839566389053,2054
126,Yamatane Corporation,0.0013524362333165796,3534
127,CJ Freshway Corp,0.001273281474822984,4341
128,Global Future City Holding Inc,0.0012114377933921444,3118
129,Metcash Limited,0.001114769754588071,3172
130,"Core-Mark Holding Company, Inc.",0.0010290228080563446,3702
131,Saha Pathanapibul PCL,0.0008209890188137872,2658
132,Next BT Co Ltd,0.0005259025303724901,3464
133,Grace Kennedy & Co Ltd,0.00042168245352969404,4403
134,"YUASA FUNASHOKU CO., LTD.",0.0003842854745070102,2917
135,SpartanNash Co,0.00031624849059344915,5953
136,Bunzl plc (ADR),0.0003048913714894541,3395
137,Foodco Holding PJSC,0.0002825370176714597,4353
138,Dairei Co Ltd,0.0002742554776123163,2945
139,"OOMITSU CO., LTD.",0.0002696467500918935,3329
140,ELGEKA S.A.,0.00015158594995925517,2051
141,Guangdong Guanghong Holdings Co Ltd,0.0001337387563091243,4167
142,"YAMAE HISANO CO., LTD.",0.00011123286867825286,2435
143,Centroprom a.d. Beograd,0.00010911573403580802,3109
144,China Foods Limited,0.00010522426210596743,3231
145,Bayn Europe AB,0.00010228116271620044,5273
146,"KUZE CO., LTD.",8.94520884808998e-05,1717
147,"The Chefs Warehouse, Inc",8.654436956441725e-05,10757
148,"ECHO TRADING CO., LTD.",8.559491307393835e-05,2689
149,FKS Multi Agro Tbk PT,7.158703614124e-05,3591
150,Lippo China Resources Limited,6.109731994816464e-05,2554
151,Colabor Group Inc,6.0801165210152446e-05,2048
152,Mitsubishi Shokuhin Co Ltd,5.520497201120297e-05,2398
153,SHINYEI KAISHA,4.0430649945020855e-05,3740
154,Sligro Food Group N.V.,3.819298042681929e-05,2754
155,Bunzl plc,2.618803712065917e-05,4069
156,Hyundai Green Food Co Ltd,2.5717996645311715e-05,2553
157,Toho Co Ltd,1.7308964290227326e-05,8754
158,Innovative Food Holdings Inc,1.1651523610943411e-05,4838
