,name,score,document_length
0,"MOSHI MOSHI HOTLINE, INC.",0.39876724327136087,6337
1,Alliance Data Systems Corporation,0.2910779925009725,5711
2,Chime Communications plc,0.24702874871060715,2575
3,NAHL Group PLC,0.23546253525017297,3493
4,FullSix SpA,0.22408622108620524,3167
5,"PFSweb, Inc.",0.21569771415760736,9030
6,One to One Contacts PCL,0.21483419811609628,2761
7,Transcosmos Inc,0.19123565226591382,4271
8,Sitel Worldwide Corp,0.1852801903392327,5099
9,Spearhead Integrated Marketing Commtn Gp,0.18207533303776324,3710
10,Omnicom Group Inc.,0.17237209306036408,12076
11,Scicom MSC Bhd,0.1649898470772576,5052
12,Integer.pl SA,0.15780096614384906,4192
13,DMG Entertainment and Media Co Ltd,0.1513994942627497,5266
14,UBM Plc,0.15067963405490387,4805
15,Adcorp Australia Ltd,0.14426850231634195,4063
16,Asia Pacific Digital Ltd,0.1396761830468236,3651
17,American Business Services Inc,0.1394325206740425,2976
18,DLE Inc,0.13381238250659402,4377
19,SPAR Group Inc,0.13028398900123508,4706
20,MaKheiA Group SA,0.12687585428350728,3645
21,Interpublic Group of Companies Inc,0.12356483050288727,6744
22,Goldbach Group AG,0.12041495293198826,2849
23,CCR Logistics Systems AG,0.11877895833759342,3243
24,Vector Inc,0.11575883398163193,2817
25,Advance Information Marketing Berhad,0.11466714948124679,3694
26,Prestige International Inc.,0.11307716872813026,4299
27,High Co SA,0.1065973016133648,3600
28,QuinStreet Inc,0.10313660795782359,7235
29,Hopscotch Groupe SA,0.10108591329847777,5105
30,Genpact Limited,0.09866104513846942,5944
31,"ValueCommerce Co., Ltd.",0.09823975374522965,4427
32,Eckoh PLC,0.09420982560837864,6324
33,One-2-One SA,0.09229301556042811,6621
34,TSS Inc,0.09182452511129008,4117
35,Full Speed Inc.,0.0914938752484096,3405
36,GAP Vassilopoulos Public Ltd,0.08969651417280372,4394
37,Vantiv Inc,0.08856490919438466,5362
38,Asatsu-DK Inc,0.08822594943652588,3663
39,Branding China Group Ltd,0.08737760113943618,7597
40,"AJIS CO., LTD.",0.08444314025676782,4486
41,Youji Corporation,0.08211300434983818,2484
42,Cdialogues PLC,0.08152735408819292,3918
43,"PDI, Inc.",0.07931785437544457,19304
44,Orbis AG,0.07846420966736452,3388
45,Antevenio SA,0.07520155105755943,4460
46,Cheil Worldwide Inc,0.0699580529387741,3306
47,Gannett Co Inc,0.06992909932381765,5887
48,Inly Media Co Ltd,0.06839808144940485,4085
49,MDC Partners Inc,0.06665775993316948,10362
50,Atento SA,0.064295335571948,4125
51,Weborama SA,0.059959465893932896,5588
52,Fuchun Communications Co Ltd,0.05869921450063444,3504
53,Mattersight Corp,0.058007668159154466,5419
54,Prochem SA,0.05745813452444102,2785
55,Mobile Network Group SA,0.056626974742832833,10039
56,OUTSOURCING Inc.,0.05455075671905647,9475
57,EPCO Co Ltd,0.05451949506339628,2684
58,Jaywing PLC,0.05348521799885517,2964
59,Guru Online Holdings Ltd,0.05307630689791001,6416
60,M&C Saatchi Plc,0.05038432239229055,2604
61,Trenders Inc,0.05005761482233385,7843
62,Vendator AB,0.04907047666189664,2642
63,CoStar Group Inc,0.04779830114048643,4687
64,Beijing Biotechina Environment Corp Ltd,0.044616179190634896,2182
65,KTCS Corp,0.04356261927049177,3681
66,Mastercard Inc,0.04239364640360092,8507
67,AF AB,0.038850091546548386,1155
68,Bengo4.com Inc,0.038186822717118804,2715
69,Dentsu Inc (Parent),0.03519711439069537,8626
70,Hyosung ITX Co Ltd,0.03399502550397246,3895
71,Jsti Group,0.0335460820270908,8064
