,name,score,document_length
0,Good Will Instrument Co Ltd,0.27906052118606783,2845
1,Koh Young Technology INC.,0.22548620020105312,1506
2,Hangzhou Everfine Photo-E-Info Co Ltd,0.19163454349698683,2620
3,Ono Sokki Co Ltd,0.18289276977087035,2424
4,Chroma Ate Inc.,0.15525936051488462,2262
5,Crucialtec Co Ltd,0.15106549031862657,2115
6,Horiba Ltd,0.13663974797365733,3785
7,S Connect Co Ltd,0.13173829387686473,1827
8,NF CORPORATION,0.103998089455966,2494
9,ACARD Technology Corp.,0.1026688885944242,3945
10,"TAKAMISAWA CYBERNETICS COMPANY, LTD.",0.09724741352571856,1921
11,Signality System Engineering Co Ltd,0.06925253687789425,5142
12,APLISENS S.A.,0.06695912957473546,1361
13,Toko Inc,0.05200070306263479,3633
14,Sumida Corporation,0.049900188563110744,1555
15,SANTEC CORPORATION,0.04550814117155141,2320
16,TESEC Corporation,0.039138154598015465,2344
17,EIWA CORPORATION,0.03832033490039825,2389
18,Seronics Co Ltd,0.03717971336415238,1648
19,Pentamaster Corporation Berhad,0.036849966472028824,3002
20,Korea Display System Co Ltd,0.03383964415986698,2896
21,FineTek Co Ltd,0.03343276931754051,4326
22,"Daktronics, Inc.",0.03271520067040019,5370
23,Ste Indust. d'Appareillage et Mat Elect,0.03227288293983968,6369
24,Beijing SDL Technology Co Ltd,0.02970880046657039,2130
25,Nanjing Sciyon Automation Group Co Ltd,0.02952060260501723,3685
26,Giken Sakata S Ltd,0.02947999794268807,3766
27,Qualitau Ltd.,0.02622430919807945,2535
28,FEI Company,0.02610804898609137,2956
29,Asia Vital Components Co Ltd,0.025292128077725236,4019
30,Minato Holdings Inc,0.024045241000813577,4311
31,"Ecopro Co., Ltd.",0.023954679153421716,2151
32,Jorjin Technologies Inc,0.023399567420787845,1926
33,BOTHHAND ENTERPRISE INC.,0.02141494639885551,4516
34,"Sunfpu Technology Co., Ltd",0.02116859589625295,3839
35,Mettler-Toledo International Inc.,0.021015591206562614,11266
36,"Test Research, Inc.",0.020661913081147516,2412
37,"KURAMOTO CO., LTD.",0.018946000525966424,2303
38,USHIO INC.,0.018547454113281066,5173
39,Semitec Corp,0.018032871924766804,3325
40,Arrayit Corp,0.017649793571055783,5316
41,AXIS Corporation,0.01763453420381444,4113
42,Hangzhou Sunrise Technology Co Ltd,0.01647895669328729,2268
43,Aichi Tokei Denki Co Ltd,0.016362252018120187,3219
44,Soulbrain ENG Co Ltd,0.01562720146209848,4228
45,"Mesa Laboratories, Inc.",0.015528668530253099,4111
46,Genesem Inc,0.014918886016879426,5768
47,"MKS Instruments, Inc.",0.014555462126541997,6061
48,Shimadzu Corporation,0.013962785384171998,7810
49,Qingdao Eastsoft Cmmnictn Tchnlgy Co Ltd,0.013486196531084313,4186
50,"Shanghai Welltech Automation Co., Ltd.",0.013408629229204518,2990
51,JAPAN ELECTRONIC MATERIAL CORPORATION,0.01328531151544806,2207
52,JPP Holding Co Ltd,0.013049295982900005,2838
53,R. H. Technologies Ltd.,0.013030244299875432,2224
54,Sang-A Frontec Co Ltd,0.012975678679695749,2921
55,"Cascade Microtech, Inc.",0.012388100795793089,8206
56,Avatec Co Ltd,0.011819542908749746,2367
57,Xiamen Red Phase Instruments Inc,0.011701142502320287,3028
58,InterStandarts AD Sofia,0.01165311083156867,2161
59,"Bio-Rad Laboratories, Inc.",0.011622238323331698,9159
60,Payton Planar Magnetics Ltd,0.01031472211310773,2768
61,Wasion Group Holdings Limited,0.009958084140474596,4458
62,"MAG.LAYERS Scientific-Technics Co.,Ltd.",0.009632710596770334,1549
63,Shanghai Lingang Holdings Corp Ltd,0.00919262684633783,4882
64,Sartorius AG,0.009158313954498084,9764
65,Chino Corp,0.009139654317895077,3610
66,Shenzhen Clou Electronics Co Ltd,0.009089816913051151,3699
67,Photon Control Inc,0.009026031617162344,3680
68,LECIP CORPORATION,0.008814168778206722,2209
69,Magnetek Inc,0.008669188320128786,3554
70,KOA CORPORATION,0.008202809199541099,6941
71,Hwa Woei Laminate Corporation,0.008088643881718857,4749
72,"SINBON ELECTRONICS CO., LTD.",0.008019053666016402,2183
73,Dongil Technology Ltd,0.008018524005595622,2466
74,ViTrox Corporation Bhd,0.007824081291110252,2902
