,name,score,document_length
0,Promaster Technology Corp.,0.642863673064135,2741
1,Alltek Technology Corp.,0.6240726297786138,2789
2,WPG Holdings Limited,0.4451523406922106,3147
3,InfoSonics Corporation,0.36682545820981877,4506
4,"TESSCO Technologies, Inc.",0.35596962345099564,2530
5,Powermatic Data Systems Ltd.,0.252158408470446,2149
6,Ban Leong Technologies  Ltd,0.22737008120708307,2045
7,NICHIDENBO CORPORATION,0.22234139422265004,2605
8,Laird PLC,0.203682671359133,10892
9,Zenitron Corp,0.20290524703249868,1040
10,Ambertech Limited,0.18410614245833784,4708
11,VOXX International Corp,0.18373831022689666,4171
12,Shanghai Fortune Techgroup Share Co Ltd,0.17971775614808255,4039
13,NICHING INDUSTRIAL CORPORATION,0.1750050302567368,799
14,Solomon Technology Corporation,0.16513820900484039,3664
15,S.A.S. Dragon Holdings Limited,0.16171412307887278,5181
16,ASEC International Corporation,0.1530173827840883,2384
17,Namsung Corp,0.15201173383179922,2505
18,LITE-ON JAPAN LTD.,0.15068866827729907,4105
19,Graybar Electric Co Inc,0.13758078625916792,6432
20,"Medifron DBT Co., Ltd.",0.13692708051742794,3348
21,KANADEN CORPORATION,0.13658791240062032,2535
22,Synnex Technology International Corp,0.12918232544928318,3593
23,Hanchang Corporation,0.1289822359097572,3281
24,"Answer Technology Co., Ltd.",0.12212263282366564,2789
25,Promate Electronic Co Ltd,0.11986895042552814,2591
26,Chander Electronics Corp.,0.11746223159180066,3272
27,"MAXTEK TECHNOLOGY CO., LTD.",0.11692390723647861,2064
28,Petrosetco Distribution Joint Stock Co,0.11115956395236856,2426
29,Uniquest Corporation,0.11072135969781648,2155
30,Simat Technologies PCL,0.11068210980508855,4123
31,TeleChoice International Ltd.,0.1070199070798873,2628
32,Wuhan P&S Information Technology Co Ltd,0.10675444677886274,2864
33,Ingram Micro Inc.,0.10049479199945949,5744
34,"V-Tac Technology Co., Ltd.",0.0927768793989664,3733
35,Rexel SA,0.09252576289934135,3827
36,"Agilysys, Inc.",0.08877320467404139,5008
37,"Hunan Copote Science & Tech Co., Ltd.",0.08337540610509188,3861
38,Premier Farnell plc,0.08292837160056402,4470
39,Genuine C&C Inc,0.07937458287877808,2445
40,"Avnet, Inc.",0.07729921097768665,1671
41,Shinden Hightex Corp,0.07657400367403697,1352
42,Acal plc,0.07523320293738517,3965
43,Willas-Array Electronics (Holdings) Ltd,0.07280000781615924,1823
44,Xander International Corp.,0.07022470555772793,3418
45,Digiworld Corp,0.06487774257813027,3735
46,"SANSHIN ELECTRONICS CO., LTD.",0.059663342900967836,2219
47,mDR Ltd,0.05866633574983353,3285
48,ABC Data SA,0.05864753839118224,4245
49,EACO Corp,0.05769938961290472,3944
50,Dionic S.A.,0.057694175007796646,5263
51,Tech Data Corp,0.05693313911451584,6968
52,Edom Technology Co Ltd,0.0560386038830381,2787
53,Conexio Corp,0.05480506444940808,2850
54,TOMEN DEVICES CORPORATION,0.05431106066652115,1930
55,Brimag Digital Age Ltd.,0.05417585267792846,2601
56,Serial System Ltd,0.053060925848185496,3506
57,SUZUDEN CORPORATION,0.05260298881049355,2296
58,SUNNIC Technology & Merchandise Inc.,0.052502266700681366,3835
59,Ralco Agencies Ltd.,0.04948277366544168,3963
60,Ace Pillar Co Ltd,0.04865377245725261,3028
61,"ZHONGYEDA ELECTRIC CO.,LTD.",0.04789759285789032,2878
62,Galaxy Far East Corp,0.04771803174762387,3120
63,Choo Chiang Holdings Ltd,0.04545023132974167,3913
64,Crown Tech Advance PCL,0.04514973560446038,1521
65,Salora International Ltd,0.045075222496109325,3461
66,Datagate Bilgisayar Malzemeleri Ticrt AS,0.044564122787771,3546
67,The International Engineering PCL,0.04441650412366481,2550
68,Fujii Sangyo Corporation,0.04439880427644685,6096
69,BOS Better OnLine Sol (USA),0.04410691192692691,2981
70,Korea Information Engineering Services,0.0422426235758409,1459
71,Ferrum PCL,0.04167822091701832,2574
72,Excel Co Ltd,0.041568979970437535,2920
73,Mystic Electronics Ltd,0.041069404254844656,4845
74,NTT System SA,0.039436130089884565,4971
75,Unitech Computer Co Ltd,0.03781311367127616,3125
76,Indeks Bilgisayar Sistemleri Muhendislik,0.036886478141061836,3032
77,Esprinet SpA,0.0367824629134975,5165
78,GRODNO SA,0.03595672417483657,4935
79,Unitron Tech Co Ltd,0.03582917745452251,2052
80,Futong Technology Development Hldgs Ltd,0.03577960163695059,3737
81,Kingpak Technology Inc,0.03432869364280901,3519
82,"Techno Alpha Co., Ltd.",0.03314224200167299,3296
83,EnerSys,0.03269552933385967,3819
84,Ideiasnet SA,0.03243651983911891,1956
85,Weikeng Industrial Co. Ltd,0.031602512827594686,2119
86,MetaTech (AP) Inc.,0.03159363658334239,3718
87,AIKO CORPORATION,0.031023398634576555,3008
88,Yleiselektroniikka Oyj,0.030617432487406972,3564
89,HD Supply Holdings Inc,0.03016834789853746,4905
90,Logicom Public Ltd,0.02971640848987922,4652
91,"WESCO International, Inc.",0.029519147781572795,10312
92,W W Grainger Inc,0.028877883034839166,6878
93,"TAKACHIHO KOHEKI CO., LTD.",0.026493130473342657,3166
94,TE Connectivity Ltd,0.02330439820801123,6670
95,Synnex (Thailand) Public Company Limited,0.023256788552243748,2793
