,name,score,document_length
0,"ThinTech Materials Technology Co., Ltd.",0.5565186699515728,4453
1,SCI Engineered Materials Inc,0.4693873353703457,3399
2,Advanced Nano Products Co Ltd,0.38019492734344373,3121
3,Solar Applied Materials Technology Corp,0.30861680325603,2298
4,MK Electron Co Ltd,0.25805497759066465,2796
5,Buwon Precision Sciences Co Ltd,0.2181401229882193,3417
6,Ushine Photonics Corp.,0.15872614158232198,2636
7,Onano Industrial Corp,0.12760291116517863,3576
8,"Star World Technology Co., Ltd.",0.09078724511832093,2895
9,Green Energy Technology Inc.,0.0888476596858516,3564
10,Tah Kong Chemical Industrial Corp,0.07074081642403707,2367
11,Zhejiang Crystal Optech Co Ltd,0.06721656167852075,3424
12,"IRICO Group Electronics Co., Ltd.",0.06585696685923431,3154
13,"e-Litecom Co., Ltd.",0.06456842385018143,2510
14,Hansol Technics Co Ltd,0.06392883550599378,3035
15,E Ink Holdings Inc,0.05659359908156678,3848
16,Inzi Display Co Ltd,0.05657369113415605,2875
17,Thin Film Electronics ASA,0.05545000688323665,6016
18,Hi-Light Tek Co Ltd,0.055342182059650254,2068
19,Taeyang Electronics Co Ltd,0.05334687943881656,3218
20,Global Mixed-Mode Technology Inc.,0.0513558541406474,2499
21,"Sejin T.S Co., Ltd.",0.05102638814987307,2829
22,Unitel High Technology Corporation,0.0490523773992441,4049
23,International Display Solutions Co Ltd,0.047615716807661995,2612
24,Raydium Semiconductor Corporation,0.043072640890889004,4720
25,"FORCE MOS TECHNOLOGY CO., LTD.",0.04264177682419302,2997
26,Inrad Optics Inc,0.04247771295588989,3035
27,YOUNYI Information Communication,0.04244676100610433,2865
28,Niko Semiconductor Co Ltd,0.04049732491684287,3593
29,"Giantplus Technology Co., Ltd.",0.03706316323051921,3766
30,"Wuhu Token Science Co.,LTD.",0.03559629520615347,2101
31,Jeng Shiang Precision Ind Co Ltd,0.034704430709793926,8731
32,"Apollo Solar Energy, Inc.",0.033971832200559944,3532
33,CoAsia Microelectronics Corp.,0.033423421752216825,5670
34,Avatec Co Ltd,0.03321548072117364,2360
35,FocalTech Systems Co Ltd,0.032373105242582675,3287
36,"Fine DNC Co., Ltd.",0.03162261482712071,4110
37,BOE Technology Group Co. Ltd,0.031278359553698794,4382
38,"Shenzhen Laibao Hi-Tech Co., Ltd.",0.030040369226971612,2690
39,Shuz Tung Machinery Industrial Co Ltd,0.02816784117482063,2091
40,Green World Hotels Co Ltd,0.027934991745485416,4213
41,Rec Silicon ASA,0.027670600416740635,1841
42,Info-Tek Corporation,0.026526795207637885,3119
43,Varitronix International Limited,0.025092976913978736,3371
44,Fitipower Integrated Technology Inc.,0.025064611828058067,2762
45,EFUN Technology Co Ltd,0.023908249357231907,3572
46,"Jochu Technology Co., Ltd.",0.023098375389580178,3580
47,"OmniVision Technologies, Inc.",0.022340604197045037,3641
48,"FINE TECHNIX CO.,LTD",0.02109195043636818,1342
49,Hicel Co Ltd,0.020845531690678556,3000
50,Mosel Vitelic Inc.,0.019635544681411293,4129
51,Hancom GMD Inc,0.0188058289442214,5020
