,name,score,document_length
0,Asia Vital Components Co Ltd,1.2453125217005556,3104
1,Ban Leong Technologies  Ltd,0.37382106876852794,2146
2,ADDA CORP,0.28971104342309767,3973
3,technotrans AG,0.2787996386713703,3377
4,Versarien PLC,0.22496514853456132,1794
5,Viatron Technologies Inc,0.20228988441998302,2560
6,Sun.King Power Electronics Group Ltd,0.17935992824519653,3980
7,Silitech Technology Corporation,0.15677839344264882,3258
8,Shengyi Technology Co Ltd,0.15441793599058742,3121
9,Hengli Petrochemical Co Ltd,0.14586104232003208,4223
10,Global Standard Technology Co Ltd,0.14385694024092616,2482
11,"Jhen Vei Electronic Co., Ltd.",0.14315391312126285,1673
12,Tamagawa Holdings Co Ltd,0.13826927674209685,2137
13,SINGULUS TECHNOLOGIES  AG,0.12925561989778614,2876
14,PC Direct,0.12830737366285824,2804
15,AIA Engineering Ltd,0.12680130502396683,3110
16,Ferrotec Corporation,0.1205628363166524,2912
17,SOLUETA Co Ltd,0.11635581907476894,2750
18,"KAWATA MFG. CO., LTD.",0.11598877273077168,2653
19,"Soaring Technology Co., Ltd.",0.11371932768428869,3421
20,Welcron Hantec Co Ltd,0.11344196202696255,3552
21,Mobotix AG,0.1046946036542514,4390
22,Tokyo Electron Device Ltd,0.09586688202490601,4758
23,CTS Corporation,0.09546019094527448,3904
24,Stark Technology Inc,0.09501386061026464,1776
25,Advanced Process Systems Corp,0.09256428135462798,1166
26,S Connect Co Ltd,0.0879160816198399,2646
27,Finetek Co Ltd,0.0870311250015581,3829
28,Beijing Siasun Electronic System Co Ltd,0.08632608416193574,1879
29,Genuine C&C Inc,0.08380077058566791,3174
30,Brightking Holdings Ltd,0.08082784588927062,2699
31,Action SA,0.08030610532178536,1555
32,Daiwabo Holdings Co Ltd,0.0783069149717682,3808
33,Ingram Micro Inc.,0.0771090837287913,4981
34,IM Tech Inc,0.07489659624438486,3995
35,SEIRYO ELECTRIC CORPORATION,0.07451830594898337,2945
36,PLA Co Ltd,0.07243091475871305,2067
37,King Core Electronics Inc.,0.07007525084387976,2642
38,Sat Nusapersada Tbk PT,0.06899060985764657,2518
39,Hyper Inc,0.06883785645358062,4225
40,Metrodata Electronics Tbk PT,0.06864331189023991,2864
41,"Mattson Technology, Inc.",0.06542746848209138,4837
42,R. H. Technologies Ltd.,0.0644665662353397,2212
43,Korea Information Engineering Services,0.06381185439133875,1617
44,"NITTOKU ENGINEERING CO., LTD.",0.06367261789474335,3461
45,Softcen Co Ltd,0.06296308399016767,2691
46,Fu Chun Shin Machinery Manufacture CoLtd,0.05685690079158963,8432
47,Tera Semicon Co Ltd,0.056407508706013416,2598
48,Shenzhen Success Electronics Co Ltd,0.05610706187950495,3273
49,ISC Co Ltd,0.05592577948127502,2666
50,Chander Electronics Corp.,0.05192809434070422,2431
51,Kendrion NV,0.051571597975830843,5592
52,Sintek Photronic Corp.,0.050961516207915225,2318
53,Daouincube Inc,0.05063912839610647,3301
54,Power Quotient International Co Ltd,0.05030004204239159,2900
55,Indeks Bilgisayar Sistemleri Muhendislik,0.04957153935989882,3257
56,"WUS Printed Circuit Co., Ltd.",0.04884483355600731,2499
57,Hacisco JSC,0.048162066975578614,4924
