,name,score,document_length
0,Industri Jamu dan Farmasi Sd Mncl Tbk PT,0.13441240799187762,4616
1,Real Nutriceutical Group Ltd,0.1093723649003444,2538
2,Glory Biotech Co Ltd,0.10659391051115596,1993
3,TCI Co Ltd,0.10207370846203864,2327
4,Tien Liang Biotech Co Ltd,0.09983620398070941,4824
5,"Ildong Pharmaceutical Co., Ltd.",0.061181542896676544,4218
6,Wooridul Pharmaceutical Ltd,0.060068672886693764,4347
7,"Korean Drug Co., Ltd.",0.056004178457772266,1718
8,Bioalpha Holdings Bhd,0.05461911038509456,3993
9,"Daehan New Pharm Co., Ltd.",0.05001469882054309,3359
10,Nanjing Sinolife United Co Ltd,0.044684991595099595,3414
11,RM Group Holdings Ltd,0.04152051053041323,3709
12,"SHAKLEE GLOBAL GROUP,INC.",0.04061242689937378,3087
13,Kalbe Farma Tbk PT,0.0400042956736497,2943
14,Vitaco Holdings Ltd,0.039398043031581835,3982
15,NatureWise Biotech & Medicals Corp,0.03864989564513268,4908
16,Syngen Biotech Co Ltd,0.03584696693391169,3945
17,Wai Yuen Tong Medicine Holdings Limited,0.03448324361082577,6748
18,Kyung Nam Pharm Co Ltd,0.03398949547073169,6196
19,"Imagenetix, Inc.",0.033826494323633084,3441
20,Celestial Biolabs Limited,0.03298906326640074,4089
21,Vita Life Sciences Limited,0.03229304392511929,1974
22,Shanxi C&Y Pharmaceutical Group Co Ltd,0.031730115983822485,3109
23,Nutritional Holdings Ltd,0.0290891458065106,5002
24,Rui Kang Pharmaceutical Group Invest Ltd,0.028879241511764832,3536
25,China YCT International Group Inc.,0.02789548272088209,5178
26,Zeria Pharmaceutical Co Ltd,0.027758093910300166,2860
27,Yuyu Pharma Inc,0.02676206562137146,1811
28,Jerusalem Pharmaceuticals Co Ltd,0.02620524934723209,3506
29,KOREA UNITED PHARM INC,0.02599236381248635,2012
30,Vitality Products Inc,0.024941355157585218,6656
31,DaehanPharmaceutical,0.02348406191291442,4141
32,Themis Medicare Ltd,0.023232218773496602,5529
33,Mega Lifesciences Public Co Ltd,0.022267824420901902,3867
34,Lescarden Inc.,0.0221555509452965,5055
35,"Shanghai Jiaoda Onlly Co., Ltd",0.022023826756179095,3570
36,Daewon Pharmaceutical Co Ltd,0.02156370824531466,2789
37,GlaxoSmithKline Pakistan Limited,0.021492789741867233,4287
38,Jiangzhong Pharmaceutical Co Ltd,0.020123411994995722,3277
39,Croda International Plc,0.01762467976235338,4365
40,Strides Shasun Ltd,0.01753165609637867,5988
41,CTC Bio Incorporation,0.015271389300825779,2462
42,"Daito Pharmaceutical Co.,Ltd.",0.01492020948502432,1336
43,CYANOTECH CORP,0.014635997028978127,2512
44,Tempo Scan Pacific Tbk PT,0.014319107698224347,2636
45,TAISHO PHARMACEUTICAL HOLDINGS Co Ltd,0.01412576403405414,5198
46,Sanofi-Aventis Pakistan Limited,0.013191632402261401,11439
47,MedFirst Healthcare Services lnc,0.011706979897160243,2364
48,"Bukwang Pharmaceutical Co., Ltd.",0.011070884276362686,2315
49,F D C Ltd,0.010525298424979896,8992
50,Beximco Pharmaceuticals Limited,0.010513525860230348,9688
51,Chromadex Corp,0.01016184835359032,4145
52,Chi Sheng Chemical Corporation,0.010111201754665556,2459
53,Abbott Laboratories Pakistan Ltd.,0.009110533277646002,5512
54,Boiron SA,0.008664123148887298,4890
55,"Daewoong Pharmaceutical Co., Ltd.",0.008411618170883513,2995
56,Elder Pharmaceuticals Ltd,0.008204348551692102,10165
57,Darya-Varia Laboratoria Tbk PT,0.007643304942980607,4097
58,Sagittarius Life Science Corp,0.00752776876439102,4442
59,Novartis India Limited,0.006864533889300533,9500
60,Amarillo Biosciences Inc,0.0066624545933480555,4880
61,Medipharco Tenamyd Central Pharmatcl JSC,0.0063827312986576585,3429
62,Enzymotec Ltd,0.005759643144497586,7841
63,FitLife Brands Inc,0.005590874151884347,1689
64,Hyundai Pharmaceutical Co  Ltd,0.004581185399726523,4436
65,ImmuDyne Inc,0.004365181034875578,4425
66,GNC Holdings Inc,0.004090515150730372,8402
67,Venture Life Group PLC,0.003801695727127245,3060
68,Inergetics Inc,0.00324030159335155,3440
69,"USANA Health Sciences, Inc.",0.003223825338484674,6333
70,MusclePharm Corp,0.003048298106845915,6648
71,Avidus Management Group Inc,0.002947385754051459,2997
72,"OXIS International, Inc.",0.0028709190377624837,3495
73,Sancilio Pharmaceuticals Co Inc,0.0024748501919543793,4712
74,Pyridam Farma Tbk PT,0.0022833763291282092,3541
75,Coral Laboratories Ltd,0.0020773098864751063,4628
76,Ouro Fino Saude Animal Participacoes SA,0.001911376713487191,3207
77,Twilight Litaka Pharma Ltd,0.00185732957173079,2860
78,DIOD OAO,0.001823271555291496,2493
79,Rigas Farmaceitiska Fabrika AS,0.0017581792518184508,5239
80,"Reliv International, Inc",0.001756152033672313,2066
81,Tianjin Zhongxin Phrmctl Gp Cp Ltd,0.0017300286522826914,3151
82,Peak Pharmaceuticals Inc,0.0017009914051603766,5115
83,Biofarm SA,0.0015309257271548036,3006
84,Middle East Pharmaceutical & Chemical In,0.0015206065590510113,3924
85,Alexandria Pharma. & Chemical Industries,0.0014783271341119453,4849
86,Orchid Pharma Ltd,0.001429088840438576,6627
87,Jacks International Limited,0.0014250411372904552,3193
88,Targeted Medical Pharma Inc,0.0013596204315724874,4175
89,PKU HealthCare Corp Ltd,0.0012997740181727863,5989
90,Bioadaptives Inc,0.00122948917044878,2575
91,NUTEX Befektetesi Nyrt,0.0012127349996219241,5577
92,Neutra Corp,0.0011693506268489965,4069
93,Tchaikapharma High Qulty Medcns AD Sofia,0.0011598079238194015,5132
94,Vitamin Shoppe Inc,0.001109645039381008,7982
95,"Samil Pharmaceutical Co., Ltd.",0.0010238983110383724,2030
96,Laboratorio Reig Jofre SA,0.0010142119664514522,5911
97,Olainfarm AS,0.0010041145673108632,3042
98,Alta Natural Herbs & Supplements Ltd.,0.0009227249309416347,3104
99,Nattopharma ASA,0.000872037058453669,5135
100,ProPhase Labs Inc,0.0007821566234326026,5681
101,Go Life International PCC,0.0007444926644536559,1332
102,True Drinks Holdings Inc,0.000725896722562978,3678
103,Biovet AD Peshtera,0.0007066570019383892,4923
104,"Mannatech, Inc.",0.0006756940146725535,9288
105,Natural Health Trends Corp.,0.0006380614829492295,3435
106,"Jin Yang Pharmaceutical Co., Ltd.",0.0006310486173736749,3452
107,Zentiva SA,0.0005970378409437013,5150
108,Wellness Center USA Inc,0.0005798192424704576,7022
109,Abbott Laboratories,0.000500152624462242,6499
110,Beijing Sunho Pharmaceutical Co Ltd,0.0004724380751426843,1970
111,Sequent Scientific Limited,0.00045985861501713943,2753
112,Otsuka Holdings Co Ltd,0.00035846113236209445,4230
113,CFR Pharmaceuticals SA,0.0003484861635010675,3385
114,Hofseth Biocare ASA,0.00033542312712074704,2722
115,Divi's Laboratories Ltd,0.00033526618673589,3122
116,Schnell Biopharmaceuticals,0.0003322312587861238,3679
117,Wanbury Limited,0.0003317788440778695,3436
118,CTD Holdings Inc,0.0002535740103725453,3592
119,Hester Biosciences Ltd,0.0002371342538672992,5666
120,Nature's Sunshine Prod.,0.00014401446629836795,17144
121,Canadian Bioceutical Corp,0.00013256173570819544,8998
