,name,score,document_length
0,Nippon RAD Inc.,0.09218014730724405,2197
1,Institut Igh dd,0.07293532722019955,2952
2,Kudelski SA,0.07204237782660985,2003
3,Nixu Oyj,0.0697786034019871,2549
4,Visiativ SA,0.052084357556559574,3197
5,Triis Inc,0.05123837973344474,3763
6,United Integrated Services Co Ltd,0.0419715983010743,3217
7,MOLD-TEK Technologies Limited,0.03980611389968527,3991
8,AF AB,0.03898952896857921,754
9,Jiangsu Province Comm P & D Inste Ltd Co,0.03687428235207563,8616
10,Top Resource Conservation Engineering,0.03532197380980459,5003
11,Danlaw Technologies India Limited,0.03104367769494583,3798
12,"JASTEC CO., LTD.",0.03027145346963859,3171
13,Genpact Limited,0.028937561616333138,6603
14,Wison Engineering Services Co Ltd,0.02845192266827548,6278
15,Novabase SGPS SA,0.026528160644413927,5032
16,Technvision Ventures Ltd,0.025696226438574485,4925
17,Medical Marijuana Inc,0.02551139965240604,8946
18,Tech-Value SpA,0.020641710983373314,1783
19,Goldstone Technologies Ltd.,0.0202631190850871,7887
20,Sondotecnica Engenharia De Solos SA,0.019587665830370516,2957
21,"Guomai Technologies, Inc.",0.018678053276568924,2109
22,Datalex plc,0.018041289694666656,1886
23,EVRY ASA,0.017493776648963663,3365
24,Edu Fin Inv JSC,0.017267749419471297,5348
25,Kamalakshi Finace Corporation Ltd,0.017247823602585095,6080
26,SOCIETE MAGHREBINE DE MONTIQUE,0.01681384821575714,5780
27,Fabasoft AG,0.01644443399284449,1981
28,Wisec Global Ltd,0.01623414464850246,5238
29,Cartesian Inc,0.01581634930490252,3364
30,Amaru Inc.,0.014866077629725095,7538
31,AGS Corp,0.014695175375710435,2781
32,RealDolmen NV,0.014564926745851837,3076
33,Wise Group AB,0.014259867386363357,3430
34,Softfront,0.013864174818171834,2734
35,Borneo Industrial Fishery Corp Inc,0.013457691717419836,7910
36,Asseco South Eastern Europe SA,0.013274891720600637,4262
37,Prochem SA,0.01323771953042142,2944
38,Serma Technologies SA,0.013147495265253484,5636
39,CMC Limited,0.013136621254703653,2112
40,Primeserv Group Limited,0.012680913238418894,3773
41,Mistras Group Inc,0.012579509967117632,5437
42,High Co SA,0.012437173268591221,3604
43,Tecnocom Telecomunicaciones y Energia SA,0.01239767815083383,3260
44,Info Drive Software Ltd,0.01232590792354488,4766
45,Emakina Group SA,0.012231219792367245,2875
46,JUST PLANNING INC.,0.012027263585086144,3017
47,EFactor Group Corp,0.011927020468503103,5981
48,Vama Industries Ltd,0.011532179492677975,4390
49,Hwa Create Co Ltd,0.011410575082729874,3109
50,Infotel SA,0.011367599490675768,3522
51,Trex Acquisition Corp,0.010977096872464223,3876
52,Inspired Energy PLC,0.010391151444732336,3743
53,Dynacons Systems & Solutions Ltd,0.010257808326700016,5216
54,SMRT Holdings Bhd,0.010256529110277062,2758
55,Indra Sistemas SA,0.010231949218077088,3287
56,FCS Software Solutions Limited,0.010057733715866799,4546
57,Cybertech Systems and Software Ltd,0.010033873191353371,6476
58,Neos Corp,0.009857132042929125,4621
59,GaiaX Co Ltd,0.009837146932360055,2143
60,AG dd,0.009822757942546475,3295
61,Eficom-Sinersio SA,0.009753386761632805,4315
62,Vidavo SA,0.009625961220424684,2960
63,Information & Networking Technology JSC,0.009310299421426223,4956
64,TSS Inc,0.00918579266283597,4085
65,Shanghai DragonNet Technology Co Ltd,0.00915999157257413,2744
66,"Minori Solutions Co.,Ltd.",0.008981080464434124,3326
67,A.L.D. Advanced Logistics Developments,0.00895662646933196,1989
68,Sigmaxyz Inc,0.008634056849124211,3540
69,DTS Corp,0.0084660035214733,9014
70,Performance Technologies SA,0.008458504822854897,2737
71,Vinacontrol Group Corp,0.008407202755061427,3559
72,AMERICATOWNE Inc,0.008177104386248333,8015
73,Sunyard System Engineering Company Ltd.,0.008129968450430528,4750
74,Talex SA,0.007943123001064839,3223
75,plenum AG,0.00782193080604297,6922
76,DGA SA,0.007722242556671258,5315
77,Connectyx Techlgs Hldgs Grp Inc,0.007642218229363135,3409
78,RIB Software AG,0.007622110871073143,4256
79,KTCS Corp,0.007607714034563994,3878
80,CCR Logistics Systems AG,0.007588204116362519,3392
81,Cicero Inc,0.007580861946310232,3298
82,JGC Corp,0.007420707658629269,4017
83,CN Dragon Corp,0.007359085809036844,2781
84,YGSOFT INC.,0.007303482058337757,2060
85,New Relic Inc,0.007256446686444189,6388
86,Aurum Soft Systems Ltd,0.007114142957786845,6066
87,Zalaris ASA,0.007029186336023524,3016
88,EPCO Co Ltd,0.006993150371588814,2313
89,"Infinite Group, Inc.",0.00677769766533836,2459
90,3i Infotech Ltd,0.006745041642118508,7014
91,Youji Corporation,0.0067243995094611025,2273
92,Science Group PLC,0.006626687975604243,2322
93,Beijing SPC Environment Prtcn Tech CoLtd,0.006608686076770455,3640
94,China Education Resources Inc.,0.00650552696682032,3354
