,name,score,document_length,url_count,analog,analyze,frequency counter,gauge,measurement,power supply,spectrum analyzer,test
0,Naito & Co Ltd,0.5332880865255336,1619,4,0,0,0,10,7,0,0,1
1,"Kyokuto Boeki Kaisha, Ltd.",0.1558256979917356,4491,9,0,2,0,2,4,0,0,6
2,TRUSCO NAKAYAMA CORPORATION,0.10399953093381023,4243,4,0,0,0,2,9,1,0,2
3,MARUBUN CORPORATION,0.10202555739325829,2563,6,6,1,0,0,8,0,0,10
4,WPG Holdings Limited,0.09695025776660691,3409,4,2,1,0,0,0,6,0,7
5,Euro Tech Holdings Co. Ltd.,0.08289714767090228,6381,10,1,47,0,2,1,0,0,35
6,"TAKACHIHO KOHEKI CO., LTD.",0.07068191419331935,3537,5,6,0,0,0,0,0,0,1
7,"TOMITA CO., LTD.",0.0691701344475479,4660,2,0,0,0,4,1,0,0,9
8,SUN-WA TECHNOS CORPORATION,0.06818983294141323,2045,8,0,0,0,0,0,27,0,6
9,Tomen Electronics Corp,0.06707453330195273,4581,7,12,0,0,0,1,2,0,2
10,"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.0615200112308854,3948,5,0,1,0,0,3,1,0,4
11,SEIKA CORPORATION,0.06145289478573179,2500,3,0,0,0,0,10,0,0,3
12,Chander Electronics Corp.,0.056718126363039974,2273,6,3,0,0,0,0,0,0,9
13,"Answer Technology Co., Ltd.",0.05266486967774994,4621,7,9,0,0,0,0,0,0,11
14,"WT Microelectronics Co., Ltd.",0.05015563269678311,2104,3,3,0,0,0,0,0,0,1
15,LITE-ON JAPAN LTD.,0.049246351380415984,3148,6,3,0,0,0,0,2,0,4
16,Yleiselektroniikka Oyj,0.04831590245813712,3580,5,0,0,1,1,2,2,1,25
17,"NIHON DENKEI CO., LTD.",0.04511663586030705,2699,9,0,5,1,0,1,2,0,38
18,MISUMI Group Inc.,0.04389386047644493,3788,4,0,0,0,0,10,1,0,3
19,"VITEC CO., LTD.",0.029022966395768558,2231,5,0,0,0,0,5,0,0,1
20,"Howteh Technology Co., Ltd.",0.02752549496495447,3357,5,2,0,0,0,0,0,0,4
21,"TESSCO Technologies, Inc.",0.023257869376874553,2164,5,0,0,0,0,0,2,0,8
22,"Makus, Inc.",0.017962014092696453,4947,7,5,0,0,0,0,0,0,20
23,OSAKA KOHKI CO LTD,0.016052605883949668,1878,2,0,0,0,0,2,0,0,1
24,Electrocomponents plc,0.015938996228350412,6304,8,0,0,0,0,4,2,0,10
25,"HAGIWARA ELECTRIC CO., LTD.",0.015260417061435712,2156,1,1,0,0,0,0,0,0,1
26,ASEC International Corporation,0.013971040219663245,3363,5,1,0,0,0,0,0,0,8
27,Solomon Technology Corporation,0.013301747217400434,3292,4,1,0,0,0,0,0,0,3
28,Nichiden Corp,0.010739308897400924,4418,3,0,0,0,0,1,1,0,4
29,"Uematsu Shokai Co., Ltd.",0.00899685918984921,4083,3,0,0,0,0,2,0,0,1
30,Flowtech Fluidpower PLC,0.0076956876973332125,3666,6,0,0,0,0,0,1,0,10
31,AIKO CORPORATION,0.0076809632531985505,2746,5,0,0,0,0,1,0,0,4
32,YKT CORPORATION,0.006878356510875593,2461,1,0,0,0,0,1,0,0,1
33,RADA Electronic Ind. Ltd.,0.0068762926675084175,5076,7,0,0,0,0,2,0,0,5
34,Spirox Corporation,0.0038937842989618704,3178,4,3,0,0,0,2,0,0,57
35,"Trust-Search Corp.,Ltd.",5.623354114593626e-05,4300,6,0,0,0,0,0,0,0,11
36,"SUGIMOTO& CO., LTD.",5.407201300335123e-05,2337,3,0,0,0,0,0,0,0,5
37,Leeport (Holdings) Limited,5.4011809353202576e-05,4335,3,0,0,0,0,0,0,0,9
38,"Toshin Group Co., Ltd.",3.493734041019746e-05,3259,4,0,0,0,0,0,0,0,4
39,"ZHONGYEDA ELECTRIC CO.,LTD.",3.272504427298736e-05,2466,3,0,0,0,0,0,0,0,3
40,Rexel SA,9.877242394393793e-06,2917,1,0,0,0,0,0,0,0,1
