,name,score,document_length,url_count,cable,connector,docking station,ethernet,firewire,hdmi,industrial,medical,power cord,sas,sata,thermocouple,usb
0,Yleiselektroniikka Oyj,0.401345760485177,3693,7,11,8,0,0,4,5,7,2,0,4,0,0,6
1,WPG Holdings Limited,0.309556265869107,1790,6,0,1,0,0,0,0,5,0,0,2,4,0,0
2,TelForceOne SA,0.27301661741501443,3877,4,14,4,6,0,0,5,2,0,0,0,0,0,0
3,AIKO CORPORATION,0.05655638472256497,1679,5,7,0,0,0,0,0,6,4,0,0,0,0,0
4,SUZUDEN CORPORATION,0.05534268255180382,1941,7,5,4,0,0,0,0,9,0,0,1,0,0,1
5,MetaTech (AP) Inc.,0.04346805573196251,3722,5,0,4,0,0,0,0,8,4,0,1,0,0,0
6,"HAGIWARA ELECTRIC CO., LTD.",0.032009816698067343,2100,6,0,5,0,0,0,0,5,2,0,0,0,0,0
7,Shanghai Fortune Techgroup Share Co Ltd,0.024935925978480336,4251,5,0,3,0,0,0,0,8,3,0,1,0,0,0
8,Pierides Holdings Plc,0.01779940104415507,4234,8,18,0,0,0,0,0,13,3,0,1,0,0,1
9,"Howteh Technology Co., Ltd.",0.015635002643441216,2344,4,4,3,0,0,0,0,0,0,0,0,0,0,0
10,"Toshin Group Co., Ltd.",0.012425266050900231,2906,6,6,0,0,0,0,0,11,0,0,4,0,0,0
11,TIM SA,0.01227920849180886,1907,6,6,0,0,0,0,0,4,0,0,1,0,0,0
12,Communication and System Solution PCL,0.009811416928400173,2400,7,10,0,0,0,0,0,6,0,0,0,0,0,0
13,"WESCO International, Inc.",0.007503412649099415,9787,9,52,8,0,0,0,0,31,12,0,2,0,0,1
14,Houston Wire & Cable Company,0.006985695278070915,3566,10,163,0,0,3,0,0,29,0,0,9,0,3,0
15,Ampli SA w upadlosci ukladowej,0.006356876240244081,3048,8,11,4,0,0,0,0,17,0,0,1,0,0,0
16,"TANAKA CO., LTD.",0.006292457758699002,3488,6,0,1,0,0,0,0,11,1,0,0,0,0,0
17,Graybar Electric Co Inc,0.005826059823015387,6840,12,35,2,0,1,0,0,35,1,1,0,0,0,0
18,Elematec Corporation,0.00577598564279324,2237,3,3,1,0,0,0,0,6,0,0,0,0,0,0
19,Choo Chiang Holdings Ltd,0.005701917501807628,3759,7,14,0,0,0,0,0,10,0,0,1,0,0,0
20,Daetwyler Holding AG,0.004145767457440652,2668,3,0,1,0,0,0,0,8,0,0,0,0,0,0
21,Rexel SA,0.0022154441267222915,3417,6,5,0,0,0,0,0,24,0,0,1,0,0,0
22,Anixter International Inc.,0.0021407275576944915,6884,7,41,2,0,1,0,0,13,0,0,0,0,0,0
23,Vietnam Electric Cable Corp,0.0019101250441693669,3519,9,132,0,0,0,0,0,6,0,0,1,0,0,0
24,Solar A/S,0.0016695957925729446,2157,4,2,0,0,0,0,0,4,0,0,0,0,0,0
