,name,score,document_length,url_count,access control,automatic door,door,door closer,hardware,key management,lock,padlocks,safes,security door
0,Agta Record AG,0.09823427430184743,5334,8,3,15,46,0,2,0,4,0,0,3
1,"Guangdong Mingzhu Group Co., Ltd.",0.0684869441048286,3489,5,0,0,0,0,5,1,6,0,0,0
2,Daiken Co Ltd,0.06453041133103621,4118,10,0,0,14,2,10,0,2,0,0,0
3,Ace Hardware Indonesia Tbk PT,0.06150691019447417,8147,11,0,0,62,0,96,0,27,24,8,0
4,Societe Tunisie Profiles Aluminium SA,0.05323161739987974,4289,6,0,0,11,0,0,0,1,0,2,0
5,Bernabe Cote D'Ivoire SA,0.04860030242274381,2591,4,0,0,0,0,10,0,3,0,0,0
6,"Test Rite International Co., Ltd.",0.04587850832862456,2600,5,0,0,2,0,7,0,3,0,0,0
7,Lumax International Corp. Ltd.,0.03975904925037961,1091,2,0,0,0,0,6,0,0,0,0,0
8,E. Bon Holdings Ltd,0.03719310337376154,3615,7,0,0,1,0,14,0,6,0,0,0
9,Safestyle UK PLC,0.035740602396977975,3860,10,0,0,97,0,1,0,2,0,113,1
10,Bricorama SA,0.028603956040886204,2578,6,0,0,0,0,5,0,2,0,0,0
11,"ALMETAX MANUFACTURING CO., LTD.",0.028200115892225774,4451,8,0,0,17,0,0,1,6,0,0,0
12,Nice S.p.A.,0.027724280098336124,4618,8,0,0,29,0,0,0,2,0,4,0
13,Ensor Holdings plc,0.024933982345635514,7057,7,3,0,21,0,0,0,2,0,0,0
14,Komeri Co Ltd,0.023991340041586026,4553,7,0,0,0,0,9,0,0,0,0,0
15,Vogiatzoglou Systems SA,0.023221976652360803,4846,9,0,0,2,0,0,0,10,0,0,0
16,Clas Ohlson AB,0.02295980531488092,2955,5,0,0,0,0,7,0,0,0,0,0
17,LOTTE Himart Co Ltd,0.022190679283872746,3812,6,0,0,0,0,6,0,1,0,0,0
18,DCM Holdings Co Ltd,0.021107363363894925,3812,6,0,0,3,0,7,0,0,0,0,0
19,Kombassan Holding AS,0.020533176468864954,1026,1,0,0,1,0,0,0,2,0,0,0
20,"Builders FirstSource, Inc.",0.019549792321565385,3050,6,0,0,15,0,3,0,0,0,0,0
21,Nichiden Corp,0.01921697596961449,4074,5,0,0,0,0,1,0,23,0,0,0
22,Metcash Limited,0.017818243532909554,3163,4,0,0,0,0,43,0,0,0,0,0
23,Chuan Huat Resources Bhd,0.0172032922493956,4477,7,0,0,3,0,33,0,1,0,0,0
24,Jilin Chengcheng Group Co Ltd,0.01698624163007086,3693,5,0,0,1,0,5,0,0,0,0,0
25,Installux SA,0.01578077707040888,4709,6,0,0,10,0,0,0,3,0,0,0
26,Arcland Sakamoto Co Ltd,0.014943575465461736,3669,4,0,0,0,0,5,0,0,0,0,0
27,Sanwa Holdings Corp,0.014906384578648638,3439,7,1,14,98,0,0,0,0,0,0,0
28,MERCOR SA,0.014768559249316323,2666,3,0,0,8,0,0,0,1,0,0,0
29,Saudi Company for Hardware,0.013706530825181515,4355,8,0,0,9,0,55,0,2,0,0,0
30,Nergeco SA,0.01360278093475478,3337,10,1,2,65,1,0,0,1,0,0,0
31,Kingfisher plc,0.012648403636370126,2950,4,0,0,1,0,2,0,1,0,0,0
32,"SUNDAY CO., LTD.",0.010940975828314405,3911,5,0,0,8,0,2,0,1,0,0,0
33,Toyo Shutter Co Ltd,0.010494874325868346,3948,8,0,0,38,0,11,0,3,0,0,0
34,Fujisash Co Ltd,0.009771263664819637,3298,4,0,0,15,0,0,0,0,0,0,0
35,"KIMURA CO., LTD.",0.009600690469875736,2594,2,0,0,6,0,1,0,0,0,0,0
36,Compact Metal Industries Ltd,0.0077382190754719665,7780,5,0,0,10,0,0,0,2,0,0,0
37,Bunka Shutter Co Ltd,0.007428765476786875,3536,10,0,1,57,0,0,0,2,0,1,0
38,Yawal SA,0.007272241596705551,3162,9,0,1,44,0,0,0,0,0,0,0
39,Hardware and Lumber Limited,0.007257117974403139,4907,14,0,0,7,0,110,0,0,0,0,0
40,InnoTec TSS AG,0.006576994431121214,2908,5,0,0,26,0,0,0,0,0,0,0
41,Grace Kennedy & Co Ltd,0.004401714158784612,4727,1,0,0,0,0,2,0,0,0,0,0
42,"China Wire & Cable Co., Ltd.",0.004296266783564873,5026,3,0,0,8,0,0,0,0,0,0,0
43,"Lowe's Companies, Inc.",0.004081623330762079,17842,9,0,0,10,0,84,0,21,0,0,0
44,LIXIL Group Corp,0.003509499548157816,5989,3,0,0,9,0,0,0,0,0,0,0
45,"PGT, Inc.",0.0029444609043286574,5868,17,0,0,166,0,3,0,2,0,6,0
46,General Commercial & Industrial S.A.,0.002865596413099585,4176,1,0,0,0,0,0,0,1,0,0,0
47,Byggmax Group AB,0.0028417638410663604,3194,3,0,0,4,0,0,0,0,0,0,0
48,Beijing JIAYU Door Window & Curtain Wall,0.0021195857866662163,2504,11,0,0,80,0,0,0,0,0,0,0
49,"SANGETSU CO., LTD.",0.001322319787931058,1748,1,0,0,1,0,0,0,0,0,0,0
50,RONA Inc.,0.0008933293213993302,24443,14,0,0,377,1,117,0,57,0,0,0
