,name,score,document_length,url_count,construction,defoaming agent,foam stabilizer,lims,modified silicone fluid,paint additive,pressure sensitive adhesive,release agent,rubber compound,sealants,silane coupling agent,silanes,silicone,silicone fiber treatment,silicone fluid,silicone powder,silicone release coating,silicone resin,technology
0,HEXPOL AB,0.28384453153526323,2550,6,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9
1,HRS Co Ltd,0.1843096945680085,2479,7,0,0,0,0,0,0,2,0,1,0,0,0,49,0,0,0,0,1,7
2,Momentive Performance Materials Inc,0.12721779436188185,7507,11,18,0,1,0,0,0,1,7,0,1,0,15,49,0,0,0,0,1,11
3,Polyplex (Thailand) PCL,0.1270673058576281,4660,8,4,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,2
4,Topco Technologies Corp,0.12611005082339244,4614,10,3,3,3,2,1,3,0,3,0,0,1,0,53,2,3,3,2,1,83
5,NEPES AMC,0.12278724097021244,2583,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2
6,"Jiangsu Hongda New Material Co., Ltd.",0.11444031571420835,3339,7,0,0,0,0,0,0,0,0,10,0,0,0,75,0,0,0,0,0,9
7,Holland Colours NV,0.08643347564081741,2956,3,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
8,Chengdu Guibao,0.07480672946319092,2321,8,3,0,0,0,0,0,0,0,0,1,2,0,29,0,0,0,0,0,54
9,General Silicones Co Ltd,0.06271725767536643,3534,11,0,0,0,0,0,0,1,0,0,0,0,0,115,0,0,0,0,0,1
10,Polyplex Corporation Limited,0.05556944210228092,3763,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4
11,Dow Chemical Co,0.025658616242290048,11485,5,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14
12,Rogers Corporation,0.020792451724823423,7095,9,2,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,58
13,Cytec Industries Inc,0.018510574631795833,2450,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24
14,Kumpulan Jetson Berhad,0.018168531362352604,6180,9,63,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
15,LCY Chemical Corp,0.007856350044893398,2757,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16,EMAS Kiara Industries Berhad,0.007474204573195303,3670,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,"Raven Industries, Inc.",0.007146584820609919,3162,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
18,Landec Corporation,0.006765226047369726,6442,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,59
19,Hexion Inc,0.006408145643641663,2764,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
20,Sunvic Technology Co Ltd,0.006094781384674188,3542,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40
21,Solvay SA,0.005090752974877323,2843,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,SK Chemicals Co Ltd,0.003808047373973012,3312,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23,"Carlisle Companies, Inc.",0.0036607012979334485,6927,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
24,JSR Corp,0.003447222395304643,2434,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25,Zeon Corp,0.003260100678252069,3330,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
26,Guangdong Silver Age Sci& Tech Co Ltd,0.001608550771322115,2628,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
27,E I Du Pont De Nemours And Co,0.001552860054116211,31700,14,22,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,95
28,Himadri Chemicals & Industries Ltd.,0.0012774247572166003,4126,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
29,Plastics Capital Plc,0.0012571699962185467,4256,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
30,ForceField Energy Inc,0.0012559039842391306,4366,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,Vystar Corp,0.001235445189482741,4881,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
32,American Nano Silicon Technology Inc,0.00039023660671128697,4005,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
33,Qingdao Gon Technology Co Ltd,0.000282509652334625,5465,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
34,Nano One Materials Corp,3.772027846439135e-05,7909,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
