,name,score,document_length,url_count,automobile,bus,city bus,coach,hybrid
0,"Yangzhou Yaxing Motor Coach Co.,Ltd",0.19946909855195316,5075,10,19,168,10,122,2
1,"Zhengzhou Yutong Bus Co., Ltd.",0.09421404229295005,6421,11,3,357,38,58,4
2,"Zhongtong Bus & Holding Co., Ltd",0.09217203335360871,4788,14,2,378,32,61,6
3,"Anhui Ankai Automobile Co., Ltd",0.078784599361692,4615,9,98,255,11,57,1
4,Ford Motor Company,0.07738972620122553,14793,7,31,102,1,21,80
5,Compagnie Plastic Omnium SA,0.06782577788270823,4659,8,6,20,0,0,22
6,Man SE,0.06168098326017852,6643,10,7,127,9,28,1
7,Workhorse Group Inc,0.05948988169484744,3838,6,0,11,0,0,9
8,RAC Electric Vehicles Inc,0.0529102308801382,2969,10,6,37,4,1,0
9,Hyundai Motor Co,0.04815001066977585,14624,11,29,51,0,3,67
10,"Xiamen King Long Motor Group Co., Ltd.",0.04586459213067397,4246,8,6,70,3,25,0
11,Daimler AG,0.04406519113456118,15027,10,30,111,1,10,34
12,Toyota Motor Corp,0.041250618920790204,17348,10,43,53,0,2,147
13,New Flyer Industries Inc.,0.038409885481299214,9886,13,1,371,5,119,37
14,Pininfarina SpA,0.03772830808152847,19026,9,14,29,0,20,11
15,"HINO MOTORS, LTD.",0.03528872630226074,8226,8,16,86,1,3,28
16,Otokar Otomotiv ve Savunma Sanayi AS,0.03500087437943065,2810,5,2,33,3,0,0
17,Kia Motors Corporation,0.03487427951868127,11665,12,47,43,0,3,30
18,General Motors Company,0.03428960036126067,39235,12,123,176,0,81,35
19,Lanka Ashok Leyland Plc,0.033048274805655004,7058,8,3,150,4,10,14
20,Honda Motor Co Ltd,0.030924830019153755,13686,9,58,67,0,0,72
21,AMO ZIL PAO,0.029375612674450612,9932,10,27,85,0,25,3
22,"Liaoning SG Automotive Group Co., Ltd.",0.026609697330799757,4425,8,24,72,2,4,2
23,"Hino Motors, Ltd. (ADR)",0.021984064263812754,5370,7,0,31,0,2,8
24,Tan Chong Motor Holdings Berhad,0.0201075690755401,8055,8,21,39,0,5,4
25,Peugeot SA,0.01979038567050247,9921,6,53,35,0,0,22
26,"DAIHATSU MOTOR CO., LTD.",0.018390895574219517,8158,11,29,62,0,0,18
27,"Faw Car Co., Ltd.",0.01829775874012556,5966,4,49,51,0,12,2
28,Bayerische Motoren Werke AG,0.0165871542145069,16438,9,40,43,0,2,21
29,Tata Motors Limited,0.015312979260968997,11833,10,30,156,3,20,3
30,Honda Motor Co Ltd (ADR),0.014092766982207789,6799,6,24,22,0,0,5
31,Marcopolo SA,0.013973252352643808,5288,9,2,188,4,25,1
32,Navistar International Corp,0.012810122187411954,10521,9,2,110,0,13,13
33,Fuji Heavy Industries Ltd,0.011903488051412359,6097,5,13,38,0,0,5
34,Tesla Motors Inc,0.010687920903434098,39066,15,25,105,0,11,26
35,Sazgar Engineering Works Ltd,0.010423420511431985,2308,5,7,2,0,0,0
36,Ashok Leyland Ltd,0.01034084326074704,9009,8,10,118,1,1,16
37,Renault SA,0.010211998751667149,16895,7,29,65,0,7,8
38,Minth Group Limited,0.009659116518499822,1123,1,4,2,0,0,0
39,Nilsson Special Vehicles publ AB,0.009421183548167846,4669,7,16,23,0,3,0
40,Anadolu Isuzu Otomotiv Sanayii v Tcrt AS,0.008865259818651532,4304,7,4,90,0,15,0
41,MITSUBISHI MOTORS CORPORATION,0.008275350248725385,11765,3,13,25,0,1,4
42,Indus Motor Company Ltd,0.008181545084465806,16138,8,17,59,0,0,11
43,Nissan Motor Co Ltd,0.008147659255174832,34846,12,99,129,0,9,19
44,Mazda Motor Corp,0.008056486335913536,14966,9,38,36,1,0,6
45,Haima Automobile Group Co Ltd,0.0077662081451273695,2585,6,69,16,0,2,0
46,Pavlovskiy avtobus OAO (P),0.007700252119089822,2985,5,3,75,2,0,0
47,Hino Pak Motors Ltd.,0.007616185094913097,4857,11,1,75,2,4,0
48,Kandi Technologies Group Inc,0.006866361770193051,7156,8,9,19,0,1,3
49,Automobile Corp Of Goa Ltd,0.006772736343624818,4803,7,95,54,0,4,0
50,Indomobil Sukses Internasional Tbk PT,0.006448758187107303,2916,5,6,18,0,1,0
51,Nissan Motor Co Ltd (ADR),0.006431123403035545,7234,5,20,18,0,0,2
52,"Ssangyong Motor Co., Ltd.",0.0063923594608219815,14444,12,31,50,0,2,5
53,GAZ OAO,0.005980159515997646,8380,12,36,85,2,2,0
54,Audi AG,0.005974293730844486,14394,5,22,25,0,0,6
55,Kian Shen Corporation,0.005573172389077201,2168,9,16,20,0,0,0
56,Dewan Farooq Motors Ltd.,0.005557788549318315,2757,8,17,15,0,0,0
57,"NISSAN SHATAI CO., LTD.",0.005425060113262262,1804,6,7,11,0,0,0
58,SAIC Motor Corporation Limited,0.0052190813577295304,8407,11,36,53,0,5,1
59,Spartan Motors Inc,0.0052027516892409285,4585,8,1,29,0,4,0
60,EXOR SpA,0.005164551220119412,3095,5,6,8,0,0,0
61,Zhonghang Heibao Co Ltd,0.005037459847947045,3719,8,11,16,0,1,0
62,China Automobile Parts Holdings Ltd,0.005007802396065714,4011,5,48,14,0,0,0
63,"Dongfeng Automobile Co., Ltd",0.004861333932618172,5633,10,102,42,0,2,2
64,Hwashin Precision Co Ltd,0.004838721315534677,2601,8,24,20,0,0,0
65,Pak Suzuki Motor Company Ltd,0.004382097716131669,5702,11,38,5,0,0,2
66,Chongqing Changan Automobile Company Ltd,0.004380097145209976,9550,11,101,40,0,1,3
67,Rosenbauer International AG,0.0043757163153415836,6880,5,0,12,0,0,1
68,"Tianjin Faw Xiali Automobile Co., Ltd.",0.00419684680374487,4804,10,93,17,0,2,0
69,Guangzhou Automobile Group Co Ltd,0.004119460649264249,4302,7,120,37,0,2,0
70,Fiat Chrysler Automobiles NV,0.004044883091751278,19102,12,204,68,0,14,2
71,Atul Auto Ltd,0.003949808535855952,3218,4,3,6,0,0,0
72,"Anhui Jianghuai Automobile Co.,  Ltd.",0.0038614274842704048,8242,11,105,41,0,1,2
73,Honda Atlas Cars (Pakistan) Ltd.,0.0037833224742980743,3029,7,16,14,0,0,0
74,Qingling Motors Co. Ltd.,0.003704910721467713,3914,7,14,45,0,1,1
75,Autech Corp,0.003548700376345281,4378,9,17,48,0,1,1
76,Isuzu Motors Ltd,0.0035177450162926695,19201,10,38,106,1,2,5
77,Volkswagen AG (ADR),0.0034291158926143947,12105,12,11,58,0,0,4
78,Maruti Suzuki India Ltd,0.0034252695402979074,18297,11,24,33,0,0,4
79,Aerosun Corporation,0.0033923171710501837,3482,7,4,23,0,1,0
80,Jinxi Axle Company Limited,0.0033497483777553878,3383,8,2,17,0,1,0
81,BYD Company Limited,0.003338865225055704,3701,5,17,16,0,0,0
82,TMT Motor Joint Stock Co,0.0032689943556435106,4656,8,40,21,0,0,0
83,Sollers PAO,0.003231090953612505,2732,8,7,14,0,0,0
84,"Shenyang Jinbei Automotive Co., Ltd.",0.0031517558945114775,4249,8,28,33,0,1,0
85,Lifan Industry (group) Co Ltd,0.003143918531873482,4784,6,29,24,0,1,0
86,Hindustan Motors Limited,0.00314306569269932,10749,10,37,20,0,1,1
87,"Jiangsu Yueda Investment Co., Ltd",0.003099805416675125,2956,7,13,19,0,0,0
88,"Yulon Motor Co., Ltd.",0.0030321936016746475,5282,8,58,19,0,0,0
89,Beiqi Foton Motor Company Limited,0.002992589130127735,4007,6,17,31,0,1,0
90,Dongfeng Motor Group Co. Ltd,0.0029245734659530233,6584,9,48,51,0,2,1
91,UMW Holdings Bhd,0.0028832399758938077,3872,7,5,11,0,0,0
92,Great Wall Motor Co Ltd,0.002883039482469531,6140,16,13,17,0,1,0
93,CNHTC Jinan Truck Co Ltd,0.0028392784665088318,3304,7,6,26,0,1,0
94,TOYOTA INDUSTRIES CORPORATION,0.0028108425018671303,3950,12,24,33,0,0,1
95,Mahindra & Mahindra Limited,0.002651948476545352,16198,12,29,146,0,0,13
96,Porsche Automobil Holding SE,0.0026349541832290193,5070,7,16,12,0,0,0
97,Volkswagen AG,0.002624071842542429,11923,7,15,27,0,0,2
98,VA Automotive i Hassleholm AB,0.0025272372346506755,3967,12,7,37,0,0,1
99,Geely Automobile Holdings Ltd,0.0024841290265922972,9420,9,98,20,0,1,3
100,Greenkraft Inc,0.0024067886171321743,3167,4,3,6,0,0,0
101,Ford Otomotiv Sanayi AS,0.002254078178875094,3054,4,5,12,0,0,0
102,Hualing Xingma Automobile (Group) Co Ltd,0.002182485883686001,5826,10,92,26,0,0,0
103,Tofas Turk Otomobil Fabrikasi A.S.,0.0021295627113082985,6573,9,60,3,0,0,0
104,China Motor Corporation,0.001998060113717078,8444,13,57,58,0,1,0
105,AVTOVAZ OAO,0.0019195865604964043,7127,6,45,42,0,0,0
106,Zhejiang Noblelift Equipment JS Co Ltd,0.001873994478102052,3444,4,3,10,0,0,0
107,Arctic Cat Inc,0.0018726333368178666,7107,6,0,43,1,0,0
108,Brilliance China Automotive Hldg. (ADR),0.0018315004091366853,4818,7,12,26,0,0,0
109,AvtoKrAZ PAT,0.001759309482742337,5169,7,11,27,0,0,0
110,Shanghai Lianming Machinery Co Ltd,0.001666295414211241,3621,7,5,17,0,0,0
111,Grande West Transportation Group Inc,0.0016311824996899861,4323,7,0,129,0,11,0
112,PACCAR Inc,0.0015343704363476173,5736,6,0,18,0,0,1
113,Aftab Automobiles Ltd,0.0012628804345941858,6575,14,89,82,0,0,0
114,CMC Investment Joint Stock Co,0.001243606164230081,4423,6,9,29,0,0,0
