,name,score,document_length,url_count,cobalt,electronic material,electronics,fine chemical,fuel cell,gallium,gold,metal,pharmaceuticals,plating,platinum,polymers,silver,specialty chemical,steel,tantalum,tungsten
0,"Shanxi Sanwei Group Co.,Ltd",0.14282673724270914,2995,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,2,0,0
1,Chengdu Huaze Cobalt & Nickl Mtrl Co Ltd,0.13269321229378656,4730,9,57,0,0,0,0,0,6,29,0,0,0,0,3,0,16,0,0
2,Nico Steel Holdings Limited,0.10817754827132009,1130,8,0,0,2,0,0,0,0,14,0,7,0,0,0,0,43,0,0
3,Hyundai Corporation,0.0950511890144276,16264,12,0,0,7,0,28,0,1,1,0,0,0,0,4,0,16,0,0
4,Chengtun Mining Group Co Ltd,0.06668402181063178,4207,7,0,0,0,0,0,0,10,21,0,0,0,0,6,0,18,0,6
5,ALCONIX CORPORATION,0.06457272347498791,3478,8,1,1,2,0,0,2,2,55,0,2,0,0,0,0,5,0,4
6,Ramkrishna Forgings Limited,0.05532535982547279,5523,5,0,0,0,0,0,0,8,5,0,0,0,1,2,0,8,0,0
7,SATO SHO-JI CORPORATION,0.05312095520658106,3960,7,0,5,3,0,0,0,0,28,0,0,0,0,0,0,31,0,0
8,Loco Hong Kong Holdings Ltd,0.05215250836907671,3338,8,1,0,0,0,0,0,8,33,0,0,0,0,32,0,0,0,1
9,Aseem Global Ltd,0.038282350200048436,3408,8,1,0,0,0,0,0,4,18,0,0,0,0,2,0,2,0,0
10,Cityon Systems (India) Ltd,0.03709155221892195,3900,6,0,0,1,0,0,0,9,0,0,0,0,0,3,0,5,0,0
11,Hubei Yangfan Holding Co Ltd,0.034024542898994085,3677,7,0,0,0,0,0,0,1,10,1,0,0,0,0,0,19,0,0
12,Guanfu Holdings Co Ltd,0.03383909694217798,3570,7,0,0,1,0,0,0,1,4,0,0,1,0,0,0,3,0,0
13,AMD Group Investment JSC,0.031065514574115296,5672,5,0,0,3,0,0,0,6,7,0,0,0,0,6,0,3,0,0
14,Enerhomashspetsstal' PAT,0.02491078772083108,3968,8,0,0,0,0,0,0,2,20,0,0,0,1,0,2,42,0,0
15,Omansh Enterprises Ltd,0.02219938772325823,4540,5,0,0,1,0,0,0,8,0,0,0,0,0,2,0,6,0,0
16,Hariyana Ship Breakers Ltd,0.019620612153132738,4499,7,0,0,1,0,0,0,4,6,0,0,0,0,2,0,9,0,0
17,Spectra Industries Ltd,0.019480566722718848,5424,7,0,0,1,0,0,0,9,3,0,0,0,0,2,0,9,0,0
18,Bharat Forge Ltd,0.018899794118540952,5663,9,0,0,1,0,0,0,7,17,0,0,2,0,0,0,20,0,0
19,Shree Ganesh Forgings Ltd,0.018079286987365786,4645,5,0,0,0,0,0,0,8,4,0,0,0,0,2,0,12,0,0
20,Zhejiang Dongliang New Material Co Ltd,0.016475045232321416,4116,8,0,0,10,0,0,0,3,16,0,0,0,0,0,0,0,0,0
21,Hexa Tradex Ltd,0.016103223789278625,5337,10,0,0,0,0,0,0,8,4,0,0,0,0,2,0,11,0,0
22,Shandong Haitian Linkall Co Ltd,0.014031922248825946,6261,9,0,0,4,0,0,0,9,9,0,0,0,0,1,0,5,0,0
23,MM Forgings Ltd,0.013458960933688256,3347,7,1,0,1,0,0,0,5,4,0,0,0,0,0,0,32,0,0
24,Soc Son Development Investment JSC,0.011714537722764618,7067,8,0,0,0,0,0,0,10,12,0,0,0,0,10,0,21,0,0
25,Scope Metals Group Ltd,0.011523323907467284,5053,12,0,0,8,0,0,0,0,104,0,0,0,0,0,0,61,0,14
26,China Daye Non Ferrous Metals Mining Ltd,0.011237170548096946,3681,8,0,0,0,0,0,0,13,66,0,0,0,0,10,0,1,0,0
27,GS Global Corp,0.009598803216020288,2670,8,0,0,1,2,0,0,0,6,0,0,0,0,0,0,69,0,0
28,E&M Co Ltd,0.00948609748802829,2302,8,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0
29,KANEMATSU CORPORATION,0.008882498842872974,4890,8,0,0,19,0,0,0,0,6,0,0,0,0,1,0,30,0,0
30,Lesha Industries Ltd,0.00879737204576133,4014,7,0,0,2,0,0,0,8,2,0,0,0,0,0,0,15,0,0
31,Kordellos Ch. Bros SA,0.008637879294336149,3359,8,0,0,1,0,0,0,1,28,0,0,0,0,0,0,42,1,0
32,UEX Ltd,0.007997271300779303,1904,9,1,0,0,0,0,0,0,19,0,0,0,0,0,0,42,0,0
33,Brodomerkur dd,0.007728586709878735,2610,5,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0
34,Son Ha Sai Gon JSC,0.0075785142789553395,6580,9,0,0,0,0,0,0,7,23,0,0,0,0,6,0,20,0,0
35,Pantech Group Holdings Berhad,0.004498568464869809,7663,15,0,0,0,0,0,0,1,10,0,0,4,0,0,0,95,0,0
36,Jiangsu Aucksun Co Ltd,0.004296904105211458,4164,8,0,0,7,0,0,0,2,17,0,0,0,0,0,0,34,0,0
37,Shinsho Corp,0.004143260296514926,1611,8,0,0,6,0,0,0,0,9,0,0,0,0,0,0,57,0,0
38,Fujian Start Group Co Ltd,0.0037163183201757927,2747,3,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0
39,Empire Resources Inc,0.0032907841413928576,3116,4,0,0,1,0,0,0,0,7,0,0,0,0,0,0,6,0,0
40,A. M. Castle & Co,0.003119418425143935,6922,9,0,0,2,2,0,0,0,78,0,0,0,0,0,0,38,0,0
41,Devhari Exports (India) Ltd,0.0029100142925579313,3304,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0
42,"Minmetals Development Co., Ltd.",0.0028363736887736524,3320,11,0,0,3,0,0,0,0,104,0,0,0,0,0,0,45,0,2
43,Burwill Holdings Limited,0.00207284639731642,3749,7,0,0,4,0,0,0,0,17,0,0,0,0,0,0,43,0,0
44,Dasheng Times Cultural Investment Co Ltd,0.0017629350752596611,3914,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,0
45,Posco Daewoo Corp,0.0017547212586577488,3322,7,0,0,4,0,0,0,2,12,0,0,0,0,0,0,63,0,0
46,Central Vietnam Metal Corp,0.0015762799176583459,4507,9,0,0,2,1,0,0,1,148,0,0,0,0,0,2,115,0,0
47,Hong Kong Shanghai Alliance Holdings Ltd,0.0015077649138416998,5657,8,0,0,4,0,0,0,1,9,0,0,0,0,0,0,57,0,0
48,"Olympic Steel, Inc.",0.0012503232068070882,3360,10,0,0,0,0,0,0,0,32,0,0,1,0,0,0,115,0,0
49,BOWIM SA,0.0012211771334645518,4593,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,29,0,0
50,Ushdev International Ltd.,0.0010477769143016427,4136,6,0,0,1,0,0,0,4,34,0,0,0,0,0,0,26,0,0
51,WMT SANA Joint Venture Joint Stock Co,0.0010440021784288752,2070,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0
52,Tycoons Group Enterprise Co Ltd,0.0010147347788818438,3016,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,0,0
53,Tira Austenite Tbk PT,0.0010098583041348332,4446,9,0,0,1,0,0,0,2,6,0,0,0,0,0,0,39,0,0
54,Drozapol-Profil SA,0.000945761323761173,2239,7,0,0,0,0,0,0,3,24,0,0,0,0,0,0,40,0,0
55,Incus Investor ASA,0.0009388703767019479,1992,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0
56,Hyunjin Materials Co Ltd,0.0009313968448726039,3327,6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0
57,Seiwa Chuo Holdings Corp,0.0008977888466557269,2956,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0
58,Konsorcjum Stali S.A.,0.0007671103135658487,4479,6,0,0,2,0,0,0,0,41,0,0,0,0,0,0,35,0,0
59,HG Metal Manufacturing Ltd.,0.0007363230936605198,2616,11,0,0,4,0,0,0,1,64,0,0,0,0,0,0,80,0,0
60,Tradi SA,0.0007224847494954723,14125,9,0,0,1,0,0,0,1,10,0,0,0,0,0,0,12,0,0
61,Hashimoto Sogyo Holdings Co Ltd,0.0007118052382708145,3408,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0
62,Hochiminh City Metal Corp,0.0006905795295740223,5586,9,0,0,0,0,0,0,4,103,0,0,0,0,3,0,75,0,0
63,Best Steel Logistics Ltd,0.0006078745195629969,5190,10,0,0,1,0,0,0,4,0,0,0,0,0,2,0,140,0,0
64,Yongxing Special Stainless Steel Co Ltd,0.0005851253166361262,5127,14,0,0,2,0,0,0,1,2,0,2,0,0,0,0,215,0,0
65,Pradeep Metals Ltd,0.0005742948429804905,4574,11,0,0,0,0,0,0,4,146,0,0,0,0,2,0,11,0,0
66,Tien Bo Group JSC,0.0005437214727149789,2142,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0
67,"ZHONGYUAN SPECIAL STEEL CO.,LTD.",0.0005058189247744489,2013,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,61,0,0
68,China Metal Resources Utilization Ltd,0.0004915293398634761,4149,9,0,0,1,0,0,0,3,67,0,0,0,0,0,0,0,0,0
69,L.B. Foster Co,0.0004331098714228395,3541,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
70,Marufuji Sheet Piling Co Ltd,0.0004052991289265159,4854,7,0,0,0,0,0,0,2,24,0,0,0,0,0,0,40,0,0
71,"ONOKEN CO., LTD.",0.0003805772162147977,3333,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,61,0,0
72,Nordwest Handel AG,0.00034919333443844767,3364,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
73,Sahamit Machinery Public Company Limited,0.0003175326517110032,4148,10,0,0,0,0,0,0,1,19,0,0,0,0,0,0,43,0,0
74,Atta Global Group Bhd,0.00031682994168389755,12819,10,0,0,0,0,0,0,8,49,0,0,0,0,0,0,14,0,0
75,CITIC Resources Holdings Limited,0.00031610926149038015,8501,8,0,0,0,0,0,0,2,27,0,0,0,0,0,0,9,0,0
76,"MOLITEC STEEL CO., LTD.",0.0002792475605923714,3303,9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,119,0,0
77,Porn Prom Metal Public Company Limited,0.000250498970939498,3002,9,0,0,2,0,0,0,1,117,0,0,0,0,0,0,17,0,0
78,Asia Enterprises Holding Limited,0.0002220859418426842,4802,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,63,0,0
79,Kalyani Steels Limited,0.0002042716163254716,3278,9,0,0,0,0,0,0,7,4,0,0,0,0,0,0,193,0,0
80,Engtex Group Berhad,0.0001958502189668648,5595,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,66,0,0
81,Rich Asia Corporation PCL,0.0001859598431616387,5354,12,0,0,0,0,0,0,1,5,0,0,0,0,0,0,85,0,0
82,CANOX CORPORATION,0.00017765688055208645,3316,9,0,0,0,0,0,0,2,30,0,0,0,0,0,0,136,0,0
83,Max Metal Corporation PCL,0.00015929656947289895,2891,8,0,0,0,0,0,0,0,55,0,0,0,0,0,0,54,0,0
84,Jacquet Metal Service SA,0.0001445629563193744,3870,8,0,0,0,0,0,0,2,72,0,0,0,0,0,0,51,0,0
85,Rasa Corporation,0.0001431808094348503,2734,6,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,0,0
86,Solavina JSC,0.00013548003539664817,2588,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
87,"Shanghai Material Trading Co., Ltd.",0.0001265377647603817,2575,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
88,Tehnometal-Vardar AD Skopje,0.00011833391976058007,2876,7,0,0,0,0,0,0,0,54,0,0,0,0,0,0,4,0,0
89,"HANWA CO., LTD.",0.00011196903273499225,4472,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,115,0,0
90,Baoshan Iron & Steel Co Ltd,9.002309010488018e-05,2854,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,212,0,0
91,MRC Global Inc,8.82266854415997e-05,10889,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63,0,0
92,Bsi (sa) Limited,7.771303175979781e-05,9243,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,0,0
93,Nippon Steel & Sumikin Bussan Corp,6.36448508923199e-05,5546,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,241,0,0
94,Kloeckner & Co SE,5.4258285203747684e-05,10841,12,0,0,0,0,0,0,8,112,0,0,0,0,0,0,212,0,0
95,Zibao Metals Recycling Holdings Plc,4.2873045839065285e-05,3819,9,0,0,0,0,0,0,1,127,0,0,0,0,0,0,2,0,0
96,"JIANGSU SHAGANG CO.,LTD.",4.078313687290122e-05,10584,13,0,0,5,0,0,0,6,20,0,0,0,0,0,0,543,0,0
97,Russel Metals Inc,2.602645986488919e-05,8164,12,0,0,0,0,0,0,0,158,0,0,0,0,0,0,149,0,0
98,China Strategic Holdings Ltd,1.6474604711381543e-05,4206,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
99,Reliance Steel & Aluminum Co,3.3106783037424863e-06,41885,15,0,0,11,0,0,0,14,1145,0,0,0,0,0,0,1416,0,0
