,name,score,document_length,url_count,accessories,case,casing,computer,handheld,peripheral
0,PC Direct,0.2911953022429322,2822,5,21,8,0,17,1,2
1,Ban Leong Technologies  Ltd,0.1896881316481437,2176,8,42,29,1,1,0,1
2,Petrosetco Distribution Joint Stock Co,0.12826483635136388,2422,5,0,5,0,5,3,0
3,Compuage Infocom Ltd,0.06295440332319438,3761,7,1,1,1,14,0,6
4,Galaxy Far East Corp,0.050688818510872063,3123,5,0,3,0,5,1,1
5,VOXX International Corp,0.050126962605341926,4172,5,1,3,0,4,0,0
6,Synnex (Thailand) Public Company Limited,0.042014584055821556,3412,6,6,3,0,42,0,3
7,Dionic S.A.,0.03665211705123659,5265,5,2,3,0,17,2,0
8,MacroWell OMG Digital Entertain Co Ltd,0.035251608324903705,3129,4,0,8,0,3,0,3
9,VST Holdings Limited,0.031165090806858906,4965,6,0,2,0,16,5,0
10,SUNNIC Technology & Merchandise Inc.,0.030544430389027332,3519,2,0,8,0,1,0,0
11,ABC Data SA,0.030147320610204982,5364,8,0,1,1,16,1,5
12,IEI Integration Corp,0.029449863583179605,4968,9,0,20,0,69,6,19
13,Koryo Electronics Co Ltd,0.027213244621244866,3640,6,0,8,0,9,0,5
14,GrandTech C.G. Systems Inc.,0.02623001567348464,2423,6,0,8,0,8,0,0
15,"Gish International Co., Ltd.",0.02520009873659713,3323,9,0,8,0,14,0,6
16,Unitech Computer Co Ltd,0.02470282867109921,3127,9,0,9,0,66,4,5
17,Leo Systems Inc,0.02258553833221299,4050,6,0,12,0,10,0,2
18,Bliss Tel PCL,0.022575346828699657,1930,4,0,4,0,0,0,0
19,Aeria Inc.,0.021336113870224327,3271,2,0,6,0,0,0,0
20,Power Quotient International Co Ltd,0.02025713041801792,3268,11,0,0,0,7,0,13
21,Softcen Co Ltd,0.019992872655523634,2893,4,0,1,0,5,0,3
22,KUEN CHAANG UPPERTECH CORP.,0.01963671046738377,5021,4,0,2,0,2,0,5
23,Metrodata Electronics Tbk PT,0.017632621863073662,3005,6,0,0,0,8,0,6
24,Siltrontech Electronics Corporation,0.01759500634091108,4500,4,0,9,0,18,0,5
25,Weikeng Industrial Co. Ltd,0.017049156874342206,2321,5,0,1,0,11,0,5
26,Ingram Micro Inc.,0.016827879003731023,5037,11,0,20,0,15,0,4
27,Stark Technology Inc,0.016691131176429393,2425,4,0,1,0,8,0,3
28,Powermatic Data Systems Ltd.,0.015204712490908745,2148,6,0,0,0,13,0,7
29,Xander International Corp.,0.014769541512658507,3429,6,0,8,0,23,0,4
30,Genuine C&C Inc,0.014042524886285636,3170,7,0,2,0,17,0,6
31,Honey Hope Honesty Enterprise Co Ltd,0.012729873633346685,5205,6,0,9,0,12,0,3
32,Dimerco Data System Corporation,0.012667202022182402,3437,9,0,8,0,33,0,6
33,"Supreme Electronics Co., Ltd.",0.01216893758760356,2436,5,0,0,0,7,0,2
34,Hyper Inc,0.011825146564615023,4903,3,0,7,0,15,0,2
35,"Gohigh Data Networks Technology Co., Ltd",0.011287443028994273,3229,3,0,1,0,3,0,2
36,Z-Obee Holdings Ltd,0.011286649728371725,2790,2,0,2,0,0,0,0
37,Ryoyo Electro Corp,0.011043646350750277,4624,5,0,1,0,8,0,5
38,Edom Technology Co Ltd,0.010822545566994583,2558,3,0,0,0,6,0,2
39,Hacisco JSC,0.010450175814054939,3695,3,0,1,0,4,0,2
40,Daiwabo Holdings Co Ltd,0.010111836054248315,4371,3,0,0,0,7,0,3
41,Thiz Technology Group Ltd.,0.009492959567210307,2146,4,0,2,0,23,0,7
42,Indeks Bilgisayar Sistemleri Muhendislik,0.009346209477728986,3257,8,0,0,0,11,0,4
43,SEIRYO ELECTRIC CORPORATION,0.008952986418052306,2927,4,0,0,0,8,0,2
44,Datagate Bilgisayar Malzemeleri Ticrt AS,0.00828682312164666,1765,1,0,0,0,6,0,1
45,S.A.S. Dragon Holdings Limited,0.007535627452437156,4342,6,0,0,0,9,0,3
46,Korea Information Engineering Services,0.00732496415669205,1465,5,0,0,0,12,0,2
47,"SED International Holdings, Inc.",0.00706642657049256,8221,6,0,8,0,26,0,7
48,Sentronic International Corp,0.007044143120360973,4186,9,0,8,0,25,0,2
49,Shanghai Jiaoda Withub Info. Indust. Co,0.006975333152986364,4420,8,1,0,0,21,0,0
50,Ferrum PCL,0.006928396341359714,2284,4,0,1,0,5,0,0
51,Arena Bilgisayar Sanayi ve Ticaret AS,0.0068842037520012445,2972,5,0,0,0,12,0,3
52,Automated Systems Holdings Limited,0.006660799003473335,4825,6,0,4,0,18,0,3
53,Logicom Public Ltd,0.0062488477658430705,3692,6,0,1,0,15,0,4
54,Promate Electronic Co Ltd,0.006082448639603694,3282,7,0,1,0,12,0,2
55,GENESIS ENERGY SA,0.005515269899786915,2742,1,0,1,0,0,0,0
56,JC Hyun Systems Inc,0.005462358056947503,5325,8,0,1,0,20,1,6
57,Sesa SpA,0.005357080168649953,4883,7,0,6,0,16,0,0
58,Alpha Energy Holdings Ltd,0.005318616693158934,2492,1,0,0,0,2,0,1
59,Bestcom Infotech Corp,0.005269870660417827,2634,6,0,0,0,32,0,8
60,Synnex Technology International Corp,0.004902581749281128,2521,5,0,0,0,26,0,5
61,Fortune Information Systems Corp,0.004818489689852638,3583,7,0,0,0,32,0,9
62,Tatung System Technologies Inc.,0.004728819512889425,7684,9,0,5,0,40,1,6
63,Interlink Communication (Thailand) PCL,0.004484457856336176,2826,5,0,1,0,8,0,0
64,SiS International Holdings Limited,0.004389987688044956,4436,5,0,2,0,10,0,1
65,SAMT Co Ltd,0.004253315871322972,3540,5,0,0,0,5,0,1
66,Action SA,0.004232677119339873,1777,2,0,0,0,11,0,1
67,PS IT Infrastructure & Services Ltd,0.003978497528033554,7365,5,0,2,0,8,0,0
68,Daouincube Inc,0.0037577313836383956,3830,6,0,1,0,8,0,0
69,Surge Components Inc,0.0036777614870604908,2915,5,0,1,0,8,0,0
70,Zheda Lande Scitech Limited,0.0036647453002092508,3429,4,0,1,0,6,0,0
71,Tokyo Electron Device Ltd,0.0032711572546745148,4754,5,0,0,0,6,0,1
72,NTT System SA,0.0027751994686563432,5947,11,0,1,0,34,0,9
73,Disway SA,0.002708630535376581,6003,7,0,3,0,20,0,1
74,Armada Blgsyr Stmlr Sny ve Tcrt AS,0.0026140262344927544,4930,6,0,1,0,18,0,2
75,CCN TECH PCL,0.002454328869068101,2506,3,0,0,0,15,0,1
