,name,score,document_length,url_count,ice cream
0,Vadilal Industries Ltd,1.6126251310866622,4312,6,79
1,Vadilal Enterprises Ltd,0.9703844339339422,5636,11,67
2,KRI-KRI Milk Industry S.A.,0.639083703463018,3015,9,26
3,Vietnam Dairy Products JSC,0.5376170681479527,6730,5,55
4,Fan Milk Limited,0.42122349789925434,3329,7,22
5,ABR Holdings Ltd,0.3612069648381665,3599,5,19
6,Dean Foods Co,0.35495274997616316,4867,8,29
7,China Mengniu Dairy Company Limited,0.3307094437375519,4000,8,22
8,Nestle (Malaysia) Berhad,0.32822436180222075,2874,4,10
9,"EZAKI GLICO CO., LTD.",0.2644712169218711,7300,9,31
10,Saudi Dairy & Foodstuff Company,0.2634371964853407,3655,10,14
11,Prodlacta SA,0.24812761604712003,5051,7,17
12,Dairibord Holdings Limited,0.23076010867582714,2843,7,13
13,"SEIHYO Co., Ltd.",0.22954617019439194,4514,8,14
14,Unikai Foods PJSC,0.21298516202854828,4889,6,15
15,Binggrae Co Ltd,0.15794717628014632,3317,6,8
16,Hatsun Agro Product Ltd,0.1536274446753533,5881,5,13
17,MEIJI Holdings Co Ltd,0.14650256867516612,2704,6,7
18,"Morinaga Milk Industry Co., Ltd.",0.13743442329768696,4908,7,10
19,Grupo Lala SAB De CV,0.1082929938265975,3619,4,6
20,Zhytomyrs'kyi maslozavod PAT,0.10597892391896913,4402,5,5
21,Unilever Pakistan Food Ltd.,0.09876163622303177,5251,4,9
22,Valsoia SpA,0.09222582959473144,2364,3,3
23,Kotmale Holdings Limited,0.09064563852468352,6745,8,13
24,Maiquer Group Co Ltd,0.08756824333197694,3655,5,5
25,Gloria SA,0.07581572299501896,5509,4,5
26,Lactate Natura SA,0.07212226824669303,5973,3,5
27,Fonterra Co-operative Group Limited,0.052742308674944484,8601,4,6
28,Engro Foods Ltd,0.05188949154621303,2662,2,2
29,Pieno Zvaigzdes AB,0.04648700629426624,3639,2,2
30,Kwality Ltd,0.04391627278628702,12647,7,9
31,Barbados Dairy Industries Ltd.,0.04351239141749834,3206,1,2
32,Prabhat Dairy Ltd,0.04319633795878643,3725,1,2
33,Almarai Co,0.035000409463969054,5689,1,3
34,Glac Biotech Co Ltd,0.03466849495577237,3957,2,2
35,Vigor Alimentos SA,0.0336996965006104,4906,2,2
36,Uni-President Enterprises Corp.,0.03213109509492193,2175,1,1
37,Wei Chuan Foods Corp.,0.028360372055777003,2681,1,1
38,Halakton PAT,0.026060588620245326,2979,1,1
39,Lanka Milk Foods (CWE) PLC,0.02458726032289909,5423,1,2
40,WhiteWave Foods Co,0.024507852742092308,4111,1,2
41,Bringwell publ AB,0.022746639053008843,3094,1,1
42,Dutch Lady Milk Industries Bhd,0.018086921484962215,2623,1,1
43,Schwaelbchen Molkerei Jakob Berz AG,0.017614064773001693,4421,1,1
44,Dukat dd,0.014340575759813384,5247,1,1
45,Beijing Sanyuan Foods Company Limited,0.014304096381284593,4362,1,1
46,Mezzan Holding Company KSCP,0.012008037653833471,5545,1,1
47,National Agricultural Development Co,0.010879044134457404,7112,1,1
48,Molochnyi kombinat Penzenskiy OAO,0.010546277361428408,5660,1,1
49,Jordan Dairy,0.010522738623738707,6589,1,1
50,Emmi AG,0.007533022490943234,6343,1,1
51,Belgorodskiy Khladokombinat AO (P),0.0027042212551670404,29473,3,4
