,name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
0,MJL Bangladesh Ltd,0.05899917956413123,4643,11,27,9,48,20,0,83,0,107
1,Castrol India Limited,0.0307885490786888,2925,8,16,1,27,10,0,45,1,72
2,GP Petroleums Ltd,0.017354594278421873,6003,10,14,0,9,23,5,60,0,71
3,Jiangsu Gaoke Petrochemical Co Ltd,0.015032635265342095,2068,6,5,0,11,9,3,2,0,83
4,Nestro Petrol a.d. Banja Luka,0.009755426074519062,5018,8,52,0,2,0,1,7,1,22
5,Tide Water Oil India Ltd,0.008518717298847282,4217,10,11,0,12,14,5,21,0,183
6,OMV Petrol Ofisi AS,0.0076647287036038575,3114,8,14,0,2,4,1,14,0,28
7,KenolKobil Ltd,0.007337960059040674,4067,13,65,0,2,3,3,37,0,39
8,Atlantik Petrol Urnlr Tcrt ve SAS,0.006834684291954759,5434,9,23,0,0,1,3,8,0,42
9,Hardcastle & Waud Manufacturing Co Ltd,0.005537304371910292,3865,11,22,0,0,20,2,46,0,73
10,Gulf Oil Lubricants India Ltd,0.0054411837721862165,4981,10,37,1,14,28,0,123,1,233
11,Neftemaslozavod OAO (P),0.004708708627604351,4606,8,14,0,2,3,1,4,0,42
12,MoresCo Corp,0.003414438079056814,6704,12,26,0,5,1,0,108,2,186
13,Hydrodec Group plc,0.0026349267121943925,2322,9,11,0,0,1,2,4,0,104
14,MT Gas JSC,0.001983844324755482,1854,5,10,0,4,3,0,1,0,7
15,Eterna Plc,0.0019384372363398107,2400,8,13,0,25,5,0,25,0,74
16,"Idemitsu Kosan Co., Ltd.",0.0018463691462836057,7646,12,12,0,17,6,5,45,0,364
17,Southern Waterborne Transport JS Corp,0.0012912272794693173,1915,5,9,0,2,5,0,1,0,6
18,"Songwon Industrial Co., Ltd.",0.001199512120565271,2497,10,0,0,4,24,0,4,0,3
19,N1 Hf,0.0011797051223069658,2714,9,17,0,4,10,0,4,0,14
20,Fuchs Petrolub SE,0.0011379602835464857,2881,10,4,0,15,8,0,45,0,37
21,Ghana Oil Company Limited,0.000991081568601298,4910,13,24,1,14,2,0,24,0,249
