,name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
0,MJL Bangladesh Ltd,0.05114282997362546,4648,11,27,9,48,20,0,83,0,107
1,Castrol India Limited,0.029652227091318505,2927,8,16,1,27,10,0,45,1,72
2,GP Petroleums Ltd,0.015650603756627687,6103,10,15,0,9,25,5,61,0,85
3,Jiangsu Gaoke Petrochemical Co Ltd,0.015270350359007577,2079,6,5,0,11,9,3,2,0,83
4,Atlantik Petrol Urnlr Tcrt ve SAS,0.010351386943135707,3979,8,19,0,0,1,3,8,0,35
5,Tide Water Oil India Ltd,0.008684188879697586,4214,10,11,0,12,14,5,21,0,183
6,KenolKobil Ltd,0.007485399311309015,4067,13,65,0,2,3,3,37,0,39
7,Gulf Oil Lubricants India Ltd,0.005273740552913321,4943,10,37,1,14,28,0,123,1,232
8,Neftemaslozavod OAO (P),0.004803128392998799,4606,8,14,0,2,3,1,4,0,42
9,MoresCo Corp,0.003440582012182371,6705,12,26,0,5,1,0,108,2,186
10,Hydrodec Group plc,0.0026942614924997774,2322,9,11,0,0,1,2,4,0,104
11,"Idemitsu Kosan Co., Ltd.",0.0020349724632381687,6961,10,12,0,17,6,5,42,0,358
12,MT Gas JSC,0.0018965886807279357,1854,5,10,0,4,3,0,1,0,7
13,Eterna Plc,0.0018825236578581255,2400,8,13,0,25,5,0,25,0,74
14,Southern Waterborne Transport JS Corp,0.0011948239665859294,1909,5,9,0,2,4,0,1,0,6
15,N1 Hf,0.001094848294873532,2714,9,17,0,4,10,0,4,0,14
16,Fuchs Petrolub SE,0.001093847974959258,2882,10,4,0,15,8,0,45,0,37
17,Shell Pakistan Limited,0.0008932822259516542,11271,12,43,1,24,5,0,53,0,221
18,Additives and Petroleum Products JSC,0.000880430922858579,2972,8,9,0,9,8,0,4,0,51
19,Ghana Oil Company Limited,0.0008676305857165066,4913,13,24,1,14,2,0,24,0,249
20,S Oil Corp,0.0008644382557890572,6315,12,11,0,7,7,3,52,0,378
21,Rafinerija ulja a.d. Modrica,0.0008549392549002143,7413,15,12,0,81,27,1,33,0,327
22,World Fuel Services Corp,0.0007606157997200713,4755,9,35,0,13,6,0,8,0,14
23,Jordan Petroleum Refinery Company Ltd.,0.000715735262392727,3590,8,7,0,18,11,0,15,0,98
24,"Phoenix Petroleum Philippines, Inc.",0.0006741242310452909,4728,8,28,0,10,16,0,21,0,57
25,Siam Pan Group Public Company Limited,0.0006505457155809266,1866,10,0,0,6,0,0,29,0,22
26,Total Petroleum Ghana,0.0005342188321534184,3782,10,59,0,17,1,0,39,0,23
27,Tianjin Sure Energy Lubrctn Tech Co Ltd,0.0005282899733668472,2744,4,0,0,3,3,0,3,0,15
28,Petrolina (Holdings) Public Ltd,0.0004555624518334224,2836,8,4,0,2,10,0,11,0,19
29,BP Castrol KK,0.00043739920247189335,3604,9,16,0,4,4,0,18,0,33
30,Lanka IOC Limited,0.00037351847444338967,8403,15,40,0,28,23,0,48,0,208
31,Mobil Oil Nigeria plc,0.0003707263331679729,3391,10,16,0,8,3,0,13,0,84
32,China Rerun Chemical Group Ltd,0.0003627165051584099,4855,6,13,0,3,23,0,19,0,36
33,Conoil Plc,0.00031704649415546587,4134,13,19,0,17,15,0,19,0,192
34,PBF Energy Inc,0.0003068780074247895,5925,10,55,0,10,0,0,8,0,27
35,Bharat Petroleum Corp Ltd,0.0003020344995549305,12829,12,78,0,17,77,0,112,0,110
36,Cmistone Viet Nam JSC,0.00030032568909090895,2711,7,8,0,2,2,0,0,0,21
37,Al Maha Petroleum Products Marketing Co.,0.0002744585435494275,6197,11,40,0,11,4,0,25,0,72
38,Petrolimex Hanoi Trans & Trading JSC,0.00025683553220370837,5218,6,14,0,2,0,0,1,0,10
39,Caltex Australia Limited,0.00025459163105989355,5543,8,38,0,6,8,0,15,0,73
40,Paz Oil Company Ltd,0.00023223895680245514,2906,5,5,0,5,5,0,9,0,82
41,PTT Public Company Limited,0.00022857517116824322,5647,9,22,0,6,12,0,15,0,84
42,Slavneft'-Yaroslavnefteorgsintez OAO,0.00022696966029152858,3237,8,12,0,3,6,0,2,0,55
43,Neste Oyj,0.00022182569758221724,4545,13,19,0,11,3,0,16,0,129
44,Ha Tay Petrolimex Transport & Ser,0.00021619346334801615,4620,7,14,0,2,4,0,2,0,28
45,The Bangchak Petroleum Public Co. Ltd.,0.0002065859975647841,3595,8,18,0,2,8,0,6,0,51
46,Chevron Corporation,0.00019158254586356063,14020,10,46,0,39,25,0,58,0,350
47,Michang Oil Ind Co Ltd,0.00017443863376391777,3028,9,6,0,2,16,0,23,0,86
48,Petrolimex Petrochemical Corporation JSC,0.00016072461657035714,6802,9,40,0,7,0,0,19,0,34
49,Ultrapar Participacoes SA (ADR),0.00015777185375048783,3695,5,24,0,1,3,0,2,0,13
50,Petronas Dagangan Berhad,0.00013528224762989266,13504,15,199,0,25,23,0,81,0,222
51,Esso (Thailand) PCL,0.00013035515286909756,6483,13,26,0,3,5,0,17,0,58
52,Empresas Copec SA,0.00012461547006451142,5995,7,18,0,1,7,0,6,0,24
53,IRPC Public Company Limited,0.00012047502321406685,7043,10,21,0,3,18,0,5,0,64
54,Hascol Petroleum Ltd,0.00010966626397057697,2853,6,2,0,0,4,0,15,0,25
55,Aegean Marine Petroleum Network Inc.,0.0001063452587228705,4431,9,4,0,2,0,0,29,0,33
