,name,score,document_length,url_count,cable,rental,telecommunications
0,AdEPT Telecom plc,0.3366311545764683,2931,3,0,8,0
1,Vonex Ltd,0.3264935448398095,2758,4,2,4,0
2,Cellnex Telecom SA,0.26240327396254215,3131,3,0,5,2
3,iiNet Limited,0.24613737378744044,4386,7,11,10,0
4,Jasmine International Public Company Ltd,0.2427309038157351,4402,7,9,7,2
5,Emirates Integrated Telecmnctns Com PJSC,0.23369901271232504,4064,4,0,4,3
6,Infrastrutture Wireless Italiane SpA,0.2325469520297749,2183,3,0,2,3
7,True Corporation PCL,0.22924609432027934,4486,6,10,5,6
8,Idea Cellular Ltd,0.22538233354656942,7210,3,6,6,3
9,Oman Telecommunications Co SAOG,0.22348900018484552,4329,6,7,4,9
10,Intouch Holdings PCL,0.22037232847362595,4629,6,1,8,3
11,XL Axiata Tbk PT,0.21187306918964627,2551,4,10,3,4
12,MNI SA,0.2036589269234967,6929,4,2,6,0
13,NTT Docomo Inc,0.17977404733077476,792,1,0,1,0
14,Otelco Inc,0.17505249079183954,2809,5,3,2,2
15,Maintel Holdings plc,0.1726162850702721,4012,2,0,3,0
16,Aly Energy Services Inc,0.16859493126899874,3620,10,0,19,0
17,Rai Way SpA,0.1565169674644173,2911,3,1,2,0
18,Ukrtelekom PAT,0.1465613441691871,5215,2,1,2,0
19,M2 Group Ltd,0.1315359650875511,2931,4,1,2,2
20,Telefonica Brasil SA,0.12625167063829923,3506,4,5,2,4
21,PCCW Ltd (ADR),0.12192184084403204,4158,4,3,2,0
22,Telefonica Brasil SA (ADR),0.11908354470163168,4087,2,2,2,0
23,KT Corp (ADR),0.1159366305081878,7823,4,1,6,0
24,First Media Tbk PT,0.11581767564909175,8203,11,73,27,1
25,ATM SA,0.10948992072825126,6365,2,2,3,0
26,Bahnhof AB (publ),0.10398508840136615,2335,2,1,1,0
27,Allot Communications Ltd,0.09520693433874602,4470,3,2,2,1
28,Jasmine Telecom Systems PCL,0.09018448560999269,6484,5,2,3,2
29,Kazakhtelekom AO,0.08791247945271108,4747,5,6,2,5
30,Time Dotcom Bhd,0.0828939455690914,8529,5,15,6,0
