,name,score,document_length,url_count,acetate,adhesive,chemical,emulsion,ethylene,sealant
0,Sterling Consolidated Corp,0.1715462936286048,5889,6,0,0,0,0,0,8
1,Prymus SA,0.1466711633957779,3123,6,4,3,13,0,0,1
2,Orapi SA,0.08909702590556465,3295,7,0,7,6,0,0,1
3,Imcd NV,0.058777308262842,2507,5,0,4,13,1,0,0
4,Rayon Industrial SA,0.03509452778328672,2812,3,0,1,11,0,0,1
5,Gratitude Infinite PCL,0.03166705710337584,3023,6,4,0,22,0,0,0
6,Luxchem Corporation Bhd,0.031254130302197085,6137,12,1,10,74,2,2,4
7,Elton SA,0.025645900069520885,2901,4,0,0,18,0,2,0
8,Krakchemia SA,0.022642281224720805,3553,7,0,0,25,0,4,0
9,Appu Marketing and Manufacturing Ltd,0.01926478622418632,4483,4,0,3,11,0,0,0
10,Univar Inc,0.014411423799463209,5001,10,0,7,55,0,2,2
11,"SAKAI TRADING CO., LTD.",0.013698080134276537,3133,8,0,1,37,0,0,3
12,Tianjin TEDA Co Ltd,0.011895805384491673,4958,5,0,2,12,0,0,0
13,Wonik Cube Corp,0.010252894813204171,3267,9,0,2,28,0,0,1
14,Union Petrochemical PCL,0.009094704205538482,2937,13,2,7,100,0,0,2
15,Chengde Nanjiang Co Ltd,0.007930454395866374,3783,3,0,0,14,0,1,0
16,Bintang Mitra Semestaraya Tbk PT,0.0073523724076456215,3035,8,0,0,31,0,2,0
17,Saudi Industrial Export Company,0.0057452095013172284,3370,6,0,0,33,0,2,0
18,SBS Philippines Corp,0.005034675882039137,2206,7,0,2,35,0,0,0
19,Bayer SA,0.003232003574733005,14635,5,2,0,29,0,0,0
20,Sinochem International Corporation,0.0025584877392503874,4686,10,0,0,110,2,2,0
21,"Rifa Industrial Co., Ltd.",0.0023772147381286588,7003,7,1,1,35,0,0,0
22,Nexeo Solutions Hldg LLC,0.002173486388983753,7747,11,0,4,102,0,0,3
23,Quaker Chemical Corp,0.001977313540207859,9205,9,0,2,175,6,0,0
24,MEIWA CORPORATION,0.0007988766621439209,3982,12,0,2,71,0,0,0
25,White Group Public Company Limited,0.00036228812393406993,3405,11,0,1,77,0,0,0
26,"NAGASE & CO., LTD.",0.00022057448194986112,5857,11,0,2,111,0,0,0
27,Brenntag AG,8.157680774265329e-05,10521,8,0,1,153,0,0,1
