,name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
0,C&C Group Plc,3.248421475478686,5327,14,32,51,152,5,29,52
1,African Distillers Ltd,0.6720834211416047,2873,9,7,8,8,0,24,25
2,Kook Soon Dang Co Ltd,0.20696165704378702,5342,16,31,4,10,2,12,135
3,Rocky Mountain Liquor Inc,0.1927807589075136,1951,6,0,6,0,0,6,6
4,Laurent-Perrier SA,0.19246103361945582,7844,14,34,13,14,0,21,194
5,Akasha Wira International Tbk PT,0.18728723025969155,3518,6,3,0,0,10,0,0
6,Bodegas Bilbainas SA,0.16973674139372757,7733,10,22,5,6,4,32,179
7,Latvijas balzams AS,0.16740217112732975,1736,9,30,0,3,0,1,7
8,Ceylon Beverage Holdings PLC,0.16263740766849938,4853,7,16,22,0,1,9,7
9,Tilaknagar Industries Ltd,0.1552930962856355,4247,9,15,0,0,5,11,3
10,Chapel Down Group PLC,0.14930719736368914,5005,8,3,40,8,1,8,140
11,Punch Taverns plc,0.13255840901842472,2451,3,0,4,0,0,16,0
12,Radico Khaitan Limited,0.13223483512265946,5584,8,19,3,0,2,21,10
13,Bodegas Riojanas SA,0.1311062819457076,4287,8,10,2,4,0,19,82
14,DAISYO CORPORATION,0.1194956567366858,1812,3,0,0,0,2,1,0
15,Moskovskiy kombinat shampan. vin OAO,0.1171235589634339,2417,3,5,5,0,0,1,4
16,Alkaline Water Company Inc,0.11066050021954325,4605,10,4,0,0,10,1,2
17,Booker Group Plc,0.10639733976501195,4109,4,5,3,0,0,4,4
18,Enterprise Inns plc,0.10464343960849835,4190,3,3,10,0,1,2,2
19,Majestic Wine PLC,0.10354148161075376,5628,8,8,15,6,2,14,190
20,Spritzer Bhd,0.10261410793536933,4120,8,3,0,0,22,0,1
21,Nuway Organic Naturals India Ltd,0.09957533151481628,5236,4,5,0,0,4,0,4
22,Vinedos Emiliana SA,0.09924616797373317,3972,14,58,3,4,1,11,119
23,Abrau-Durso PAO,0.0977526613420035,6590,15,19,8,7,0,18,211
24,Emperador Inc,0.0963409006179889,5034,9,15,2,0,1,22,6
25,Staatl Mineralbrunnen AG,0.09183912269255971,2297,4,15,3,0,0,0,1
26,"BJ's Restaurants, Inc.",0.09171021613719661,4110,6,0,12,0,0,0,0
27,"KATO SANGYO CO., LTD.",0.08850849123134359,2298,4,9,2,0,0,1,1
28,Buffalo Wild Wings,0.08638960398552988,2749,4,0,5,0,0,0,6
29,Young & Co.'s Brewery plc,0.08280407233618091,4808,4,3,18,0,1,2,3
30,"Fuller, Smith & Turner plc",0.08032823047890102,4122,6,2,91,0,2,4,7
31,Mineralbrunnen Ueberkingen-Teinach AG,0.08027833116283863,3089,4,3,0,0,2,0,0
32,Kona Grill Inc,0.07942539589929742,2165,2,0,3,0,0,0,3
33,"The Chefs Warehouse, Inc",0.07795439113026059,5815,9,0,0,2,0,0,9
34,Badel 1862 dd,0.07694463906533597,3184,7,26,0,0,2,18,57
35,Marston's PLC,0.07692476942114228,15813,12,8,277,14,13,1,10
36,"ROYAL HOLDINGS CO., LTD.",0.07453436882929249,4068,6,0,6,0,0,0,0
37,Harrisons Holdings Malaysia Bhd,0.07233770587826333,4820,3,0,2,0,2,0,8
38,Saigon Industrial Foodstuffs JSC,0.07197496617629216,6088,5,2,5,0,1,0,3
39,Top One Allot JSC,0.07063781488609125,2982,2,0,0,0,2,0,0
40,Ginebra San Miguel Inc,0.06998655467709138,8475,15,42,17,0,1,10,7
41,Voda Vrnjci ad Vrnjacka Banja,0.06976831126581132,3330,2,19,3,0,0,3,3
42,Eurocash SA,0.0695837941718015,3546,3,4,2,0,0,0,0
43,Pinar Su Sanayi ve Ticaret A.S.,0.06868449622746807,2885,5,26,6,0,0,0,2
44,Khanh Hoa Mineral Water JSC,0.06811934711841867,3067,4,1,3,0,1,0,0
45,Cantho Tourist JSC,0.06282862461662858,5886,2,0,0,0,3,1,1
46,Les Toques Blanches du Monde SARL,0.06274423812394436,11593,4,0,13,1,0,6,16
47,Liquor Stores N.A. Ltd,0.06251400053723986,5025,5,9,6,0,0,9,26
48,Renuka Holdings Ltd,0.056023647700247224,5599,2,0,0,0,3,0,0
49,13 Jul Plantaze ad Podgorica,0.05574694842584568,3456,7,6,6,0,1,5,76
50,Tri Banyan Tirta Tbk PT,0.05309103969171573,2657,3,5,0,0,0,0,0
51,Watami Co Ltd,0.05288125257265044,4522,2,1,0,0,2,0,0
52,Viet Nam National Generl Exp Imp JSC No1,0.051705122094645804,5098,2,2,2,0,1,0,0
53,Vranken-Pommery Monopole SA,0.05118118546571215,3906,7,21,3,0,0,5,31
54,Itochu-Shokuhin Co Ltd,0.0511643467005993,2805,6,6,0,0,0,0,0
55,Gulfa Mineral Water & Processing Ind Co.,0.049405532233822005,3363,2,11,0,0,0,0,1
56,Dongsuh,0.04893065017282632,8491,4,1,0,1,0,0,4
57,"Diamond Dining Co., Ltd.",0.04850912599253541,5657,4,0,0,0,2,0,4
58,Lamdong Foodstuffs JSC,0.04795137734132348,2684,9,4,4,0,2,6,86
59,Auric Pacific Group Limited,0.04750388652080028,5312,4,2,1,0,1,1,6
60,"YUASA FUNASHOKU CO., LTD.",0.04641547838676246,2918,4,5,0,0,0,0,0
61,Good Times Restaurants Inc.,0.04462425156338375,6008,5,0,5,0,0,0,0
62,Les Eaux Minerales d'Oulmes SA,0.04460395533490654,5171,4,20,2,1,1,0,3
63,"TOKYO THEATRES COMPANY, INCORPORATED",0.04395837931224265,6146,1,0,0,0,0,8,0
64,Vina Concha y Toro SA,0.04215709379801954,5295,8,3,3,2,3,6,110
65,Major Holdings Ltd,0.04185451600714134,3168,7,0,0,0,0,13,37
66,Lanson BCC SA,0.04086922666412074,2814,3,0,0,0,0,0,8
67,Ningxia Western Venture Industrial CoLtd,0.04006019431241521,4013,5,5,0,0,0,0,7
68,KTIMA KOSTAS LAZARIDIS S.A.,0.039364266118316796,3405,7,2,0,0,0,5,28
69,"UMENOHANA CO., LTD.",0.038652988309930914,1616,1,0,0,0,0,1,1
70,Jamnica dd,0.03745691757536103,2850,1,3,0,0,0,1,1
71,Vinarska Vizba Tikves AD Skopje,0.03672943485281926,4604,7,13,0,0,0,9,35
72,Sligro Food Group N.V.,0.03653644793733274,3771,1,0,0,0,0,2,2
73,JALUX Inc.,0.036002414669662496,3060,8,2,0,0,0,0,12
74,Metcash Limited,0.03575049002797596,3850,2,1,0,0,1,0,0
75,j-Group Holdings Corp,0.034622873912128066,9906,3,0,2,0,1,1,1
76,WASGAU Produktions & Handels AG,0.033556818473601965,4563,4,0,0,0,1,0,3
77,Herfy Food Services Co,0.03334486380254284,5202,1,3,0,0,1,0,0
78,An-Shin Food Services Co Ltd,0.03306707652062225,2747,1,0,0,0,1,0,0
79,"TEN ALLIED CO., LTD.",0.03304588657689305,4351,5,5,0,0,0,0,0
80,Greene King plc,0.0319116486994591,5428,12,1,130,0,2,6,2
81,MARCHE CORPORATION,0.030532625804013582,4292,3,2,1,0,0,0,0
82,Shake Shack Inc,0.029972158771571788,8685,7,0,19,0,0,1,16
83,Crystal Rock Holdings Inc,0.029738915450700017,5030,2,2,0,0,1,0,0
84,Dingyi Group Investment Ltd,0.029241700546610155,3418,6,0,0,0,0,0,8
85,Telepizza Group SA,0.02834102172893298,5602,2,1,1,0,0,1,0
86,J Boutaris & Son Holding S.A.,0.02821708562844283,3499,7,1,15,0,0,0,51
87,Refresco Group NV,0.028004155710146104,5804,2,2,2,0,0,0,0
88,Revolution Bars Group PLC,0.027857756372589863,3970,1,0,0,0,0,2,0
89,Bloomin' Brands Inc,0.025985096207505654,2958,7,0,1,0,0,2,21
90,Vinzavod AD,0.025719127657964466,3465,10,21,0,0,0,6,122
91,Sociedad Anonima Vina Santa Rita,0.025309039755011597,5230,8,1,1,0,1,7,24
92,Associated Alcohol and Breweries Ltd,0.024902944608944124,4852,8,130,0,0,0,10,3
93,Bodegas Esmeralda SA,0.024901302526333248,1851,8,0,0,0,0,0,24
94,Boston Pizza Royalties Income Fund,0.02462779348096055,7123,2,0,3,0,0,0,5
95,Baron de Ley SA,0.023439317832181034,2672,8,0,2,0,0,2,57
96,New Silkroad Culturaltainment Ltd,0.021905956300078664,3510,6,2,0,0,0,1,25
97,Yamatane Corporation,0.021766884741850574,2656,1,2,0,0,0,0,0
98,Bucur SA,0.02098490091831306,3701,2,2,0,0,0,0,1
99,IPAL  S.A.,0.019973732848468276,3545,1,0,0,0,0,1,0
100,"Darden Restaurants, Inc.",0.019892611611936208,9957,4,1,3,0,0,0,2
101,Spar Group Limited,0.019175975818973044,6939,3,1,1,0,0,1,1
102,"HUB CO., LTD.",0.01790074492917121,3472,1,0,1,0,0,0,1
103,Del Frisco's Restaurant Group Inc,0.01762434387928174,5565,7,1,0,0,0,0,10
104,Dave & Buster's Entertainment Inc,0.01710483172365579,11082,7,39,2,0,1,3,0
105,Thang Long Wine JSC,0.016537583238696727,3929,10,16,4,0,1,0,127
106,Bayn Europe AB,0.016131190042952,5003,4,4,0,0,0,0,0
107,China Foods Limited,0.01598815850624824,3698,5,0,0,0,0,0,24
108,Kisoji Co Ltd,0.015958186859102157,2632,3,0,0,0,0,0,3
109,Chimney Co Ltd,0.01565892004000913,2582,2,2,0,0,0,0,0
110,"Core-Mark Holding Company, Inc.",0.015192046241419229,3833,3,2,0,0,0,0,1
111,SpartanNash Co,0.015025832582756265,5918,1,0,1,0,0,0,3
112,TTFB Co Ltd,0.014985849022145748,4738,1,0,1,0,0,0,1
113,J Alexanders Holdings Inc,0.01495195721856012,6324,2,1,1,0,0,0,2
114,Brand New Vintage Limited,0.01426651154168893,3709,3,0,0,0,0,0,25
115,MTY Food Group Inc.,0.013857731396213782,11448,2,0,2,0,0,0,2
