,name,score,document_length,url_count,stainless,stainless steel angle,stainless steel chequered plate,stainless steel coil,stainless steel flat bar,stainless steel polishing,stainless steel sheet,stainless steel strip
0,Chain Chon Industrial Co Ltd,1.6540140946565631,3514,14,139,23,1,39,29,23,37,23
1,Real Strips Ltd,0.2188162857007326,3801,5,9,0,0,15,0,0,0,15
2,Yongxin International Holdings Ltd.,0.2086051601213449,3626,6,1,0,0,0,0,0,0,7
3,"NIPPON KINZOKU CO., LTD.",0.114144119912067,3379,9,19,0,0,0,0,0,0,13
4,Ryerson Holding Corp,0.08826680330891833,3886,10,5,0,0,0,0,0,8,0
5,YC Inox Co Ltd,0.07732206778778511,1393,6,40,3,0,2,2,0,2,0
6,Daiyang Metal Co Ltd,0.06491813554791448,1647,7,10,0,0,0,0,0,1,1
7,Yuen Chang Stainless Steel Co Ltd,0.05362420646533293,2359,9,76,0,0,8,1,0,8,6
8,Froch Enterprise Co Ltd,0.05279589387134633,2123,9,29,2,0,3,0,0,0,0
9,Prakash Steelage Limited,0.03409854809838481,3414,5,11,0,0,0,0,0,2,0
10,Gyscoal Alloys Limited,0.030216727828434813,5281,5,32,2,0,0,3,0,0,0
11,Mayer Steel Pipe Corporation,0.029457555899725214,2428,2,7,0,0,0,0,0,2,0
12,"Sinkang Industries Co., Ltd",0.028220392144588113,4014,7,41,0,0,2,0,0,10,1
13,Hsin Kuang Steel Co. Ltd.,0.025497877399012478,4237,7,8,0,0,2,0,0,0,0
14,Hyundai Steel Co,0.02549067217498581,3740,3,2,0,0,0,0,0,2,0
15,Argent Industrial Limited,0.020869694826818545,3465,3,3,0,0,0,0,0,1,0
16,Shah Alloys Ltd.,0.019985226444145417,3481,9,38,2,0,2,1,0,0,0
17,MORY INDUSTRIES INC.,0.017454335487758984,3457,8,58,0,0,0,7,0,0,0
18,Yieh United Steel Corp.,0.015020106795076198,2004,9,45,0,0,4,0,0,3,0
19,POSCO-Thainox PCL,0.010470918759175536,2389,9,45,0,0,4,0,0,1,0
20,Lohakit Metal PCL,0.008554058210783703,4641,8,33,0,0,0,0,0,4,0
21,Dniprospetsstal' PAT,0.008337884972457037,5508,6,26,0,0,1,0,0,2,0
22,Chien Shing Stainless Steel Co Ltd,0.00801734632880585,3559,10,56,0,0,6,0,0,0,0
23,SonHa International Corp,0.007725174123725816,2606,6,49,0,0,0,2,0,0,0
24,TAKASAGO TEKKO K.K.,0.006297430824344034,2853,8,42,0,0,2,0,0,0,1
25,Tatt Giap Group Berhad,0.005939959242868106,5344,10,41,0,0,4,0,0,0,0
26,Zaporiz'kyi Metalurhny Kmbnt Zpzhstl PAT,0.0034895975204723307,14270,1,2,0,0,0,0,0,1,0
27,"Sanyo Special Steel Co., Ltd.",0.0030411642161961203,3159,9,23,0,0,0,0,0,1,0
28,Yieh Hsing Enterprise Co Ltd,0.0026012085001976795,3858,10,45,0,0,2,0,0,0,0
29,Kim Vi Inox Import Export Production JSC,0.0024349022420352764,5084,9,77,0,0,5,0,0,0,0
30,Hyundai BNG Steel Co Ltd,0.0021555489144940067,4042,11,30,0,0,0,0,0,1,0
31,AnnAik Limited,0.002144016558323005,2076,8,38,0,0,0,0,0,1,0
32,"Shanxi Taigang Stainless Steel Co., Ltd",0.000975025675726012,3835,9,135,0,0,3,0,0,2,0
33,Jindal Stainless Ltd,0.0008272567379476641,2509,10,130,0,0,1,0,0,1,1
34,Acerinox SA,0.0005618310485925475,3440,6,74,0,0,1,0,0,0,0
