,name,score,document_length,url_count,apparels,cloth,fabric,fiber,hat,textile,wear
0,Momai Apparels Ltd,0.21792245905964563,3373,7,6,2,0,0,15,9,36
1,Renown Inc,0.1472944056525738,3748,9,0,4,2,9,2,0,0
2,Codes Combine Co Ltd,0.11936917650948531,3349,7,2,10,0,0,1,2,9
3,Atsugi Co Ltd,0.1111995425285599,2285,6,0,2,0,4,1,7,5
4,"CRYMSON Co., Ltd.",0.10891579390382729,2604,8,1,10,0,0,0,1,2
5,Jiangsu Holly Corporation,0.10638953340992542,4610,8,0,8,20,10,3,21,15
6,Pan-Pacific Co Ltd,0.056046027606532045,3894,7,0,11,1,7,4,3,24
7,DAIDOH LIMITED,0.052451509170118066,2055,5,0,23,14,3,0,8,2
8,Guangdong Boxin Invstng & Holdings CoLtd,0.043315481986771105,4529,4,0,0,0,2,1,1,1
9,GSI Creos Corporation,0.03889330657258542,2626,6,0,3,4,4,0,30,19
10,In the F CO LTD,0.035301017708732736,2445,2,0,0,0,1,0,2,0
11,Yamano Holdings Corp,0.03353308518846444,2692,6,1,19,1,0,0,0,0
12,"F&F Co., Ltd",0.03296337486018208,3064,7,0,2,0,1,4,0,6
13,"YAGI & CO., LTD.",0.0324715390740804,1804,9,0,0,8,5,2,44,0
14,Sunrise Asian Ltd,0.03193063407835336,4656,6,0,0,2,4,5,21,0
15,Bombay Rayon Fashions Limited,0.028068996445114743,4358,6,0,14,54,3,2,27,3
16,Aaswa Trading And Exports Ltd,0.028038703403230513,4274,5,0,0,4,1,3,6,0
17,Textile Garment Impt Expt and Prdctn JSC,0.027352166298741588,5126,8,0,75,8,10,0,88,18
18,Prochnik SA,0.02661104733276976,4165,8,0,22,3,3,1,1,9
19,Croe Inc,0.025792191245422442,3509,5,0,4,12,1,2,1,4
20,SDIC Essence Holdings Co Ltd,0.024371655872875497,3763,5,0,1,0,2,1,13,0
21,Ashapura Intimates Fashion Ltd,0.023140025066816807,6487,12,2,21,5,0,18,11,124
22,Taroko Textile Corporation,0.020835994612377638,2586,8,0,3,9,3,4,65,0
23,"Shandong Hiking International Co., Ltd.",0.018721027373215297,2968,9,0,3,3,1,3,13,1
24,"JLM Couture, Inc.",0.01766982839298719,4578,6,0,3,3,1,4,2,6
25,"TSUKAMOTO CORPORATION CO., LTD.",0.0156094743261689,2308,7,0,52,0,4,2,1,6
26,"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.012606639569914105,2974,8,0,2,2,1,0,14,5
27,Zhejiang Busen Garments Co Ltd,0.012327456595699197,2786,3,0,6,13,0,0,1,4
28,LS Networks Corporation Limited,0.012314736956171045,3161,4,0,12,0,1,1,0,8
29,PCCS Group Berhad,0.012269719514373383,4382,8,0,3,8,0,18,11,4
30,Leeds Group plc,0.0102005974880541,2869,6,0,14,11,0,1,13,3
31,Tiemco Limited,0.010041385505247864,2808,7,0,34,0,3,0,1,1
32,"KING Co., Ltd.",0.010026180212348785,5286,8,0,39,5,2,0,8,8
33,Wolford AG,0.009856830058973002,2945,8,0,3,3,1,3,4,38
34,Cross Plus Inc,0.009575370674552497,1998,4,0,14,1,1,1,0,1
