,name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
0,"Howteh Technology Co., Ltd.",0.4826851213425911,1717,2,1,0,0,1,2,2,3,3
1,NICHING INDUSTRIAL CORPORATION,0.40171184819818523,622,7,0,2,1,0,4,1,12,1
2,Alltek Technology Corp.,0.26402445768887095,2771,4,15,0,0,0,3,0,3,0
3,Eagle Mountain Corp,0.19379655071514443,5976,8,0,0,0,26,0,0,17,0
4,Jadason Enterprises Limited,0.19354915693870609,2887,7,0,0,0,0,14,11,7,0
5,Naigai Tec Corporation,0.17807130894088727,3358,6,1,2,7,0,0,0,18,0
6,Taitron Components Inc.,0.15634057279609503,1473,8,11,0,0,0,0,0,12,0
7,"Omphalos, Corp.",0.1550030234570571,4492,8,0,0,0,0,8,12,2,0
8,"Trust-Search Corp.,Ltd.",0.1328183019277505,4273,6,0,0,0,1,5,15,0,0
9,Edom Technology Co Ltd,0.11087983340550621,2786,3,0,0,0,0,3,1,7,1
10,Daetwyler Holding AG,0.10302542756761243,2670,2,3,0,0,0,0,0,0,0
11,Surge Components Inc,0.1011078115005158,2930,8,18,0,0,0,0,1,15,0
12,Professional Computer Technology Ltd,0.09490921293503128,1798,3,0,0,0,0,0,0,10,2
13,Laird PLC,0.06821611177683783,10512,5,5,0,0,0,6,0,0,0
14,Tokyo Electron Device Ltd,0.06757579423652346,4745,9,2,4,2,0,1,0,30,0
15,Promate Electronic Co Ltd,0.06688855594887613,2515,6,0,0,0,0,3,0,9,0
16,"Richardson Electronics, Ltd.",0.06510099107513197,4753,5,1,0,3,0,1,0,14,0
17,Z-Obee Holdings Ltd,0.06386627310920545,2130,2,0,0,0,0,1,1,0,0
18,Wuhan P&S Information Technology Co Ltd,0.06270917781631719,3850,4,3,0,0,0,0,0,6,0
19,"KYOEI SANGYO CO., LTD.",0.05966339716584529,2438,5,0,0,0,0,1,1,9,0
20,TOMEN DEVICES CORPORATION,0.056784891800256296,1998,4,1,0,0,1,0,0,19,0
21,Shinden Hightex Corp,0.04628084825430152,1525,10,0,0,0,0,0,1,20,2
22,MARUBUN CORPORATION,0.04596585047801386,2561,6,0,0,0,1,0,0,18,0
23,Chander Electronics Corp.,0.04537935843926331,2713,4,0,0,0,0,0,0,7,1
24,WPG Holdings Limited,0.044503086566360116,1800,8,3,0,0,0,0,0,21,0
25,LITE-ON JAPAN LTD.,0.041540032446113734,4103,4,1,0,0,1,0,0,16,1
26,"V-Tac Technology Co., Ltd.",0.03563745816453326,3733,5,0,0,0,0,0,0,9,1
27,MetaTech (AP) Inc.,0.0303622150249291,3715,2,1,0,0,0,0,0,3,0
28,Gold Tat Group International Ltd,0.02976795856913739,2942,1,0,0,0,0,0,0,0,1
29,SUNNIC Technology & Merchandise Inc.,0.028232660818256913,3524,5,1,0,0,0,0,0,11,0
30,ASEC International Corporation,0.026066268533926257,3348,8,0,0,0,0,3,0,17,0
31,Tokai Electronics Co Ltd,0.024249799946621183,5859,15,2,0,0,0,22,1,34,3
32,Serial System Ltd (TDR),0.021520998561041775,9034,7,3,0,0,0,0,0,7,0
33,Siltrontech Electronics Corporation,0.018481271507685394,4477,2,1,0,0,0,0,0,14,0
34,InfoSonics Corporation,0.017187061692950114,4632,1,0,0,0,0,0,1,1,0
35,"SANSHIN ELECTRONICS CO., LTD.",0.01657699592937874,1637,3,0,0,0,0,0,0,10,0
36,"Ryosan Company, Limited",0.016419198561287464,2136,9,1,0,0,0,1,0,23,0
37,North Asia Strategic Holdings Ltd,0.016209734743823048,2484,1,0,0,0,0,1,0,0,0
38,Vitec Holdings Co Ltd,0.01350875557388014,2368,8,1,0,0,0,0,0,21,0
39,Premier Farnell plc,0.01322431031163731,4718,3,0,0,0,0,1,0,3,0
40,Sentronic International Corp,0.01135743801668608,8330,3,1,0,0,0,1,0,1,0
41,"Supreme Electronics Co., Ltd.",0.010415724742908522,3250,5,0,0,0,0,0,0,12,0
