,name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
0,Frencken Group Limited,0.7711711072956401,2061,8,3,0,0,3,5,4,4,0
1,"Key Ware Electronics Co., Ltd.",0.2960056766535157,4261,7,2,0,0,0,4,3,0,0
2,Avaco Co Ltd,0.2830669775886698,2368,5,0,6,6,0,0,0,6,0
3,Eclat Forever Machinery Co Ltd,0.2728240261490246,3528,11,0,1,2,2,4,5,16,13
4,Aval Data Corp,0.26145152238673797,2478,3,2,0,0,0,0,0,8,0
5,"AMPOC FAR-EAST CO.,LTD",0.2603537107413437,2402,10,0,2,3,0,12,6,15,2
6,Symtek Automation Asia Co Ltd,0.25939111792875674,2743,6,0,1,5,1,8,3,7,2
7,Juki Corp,0.227340196978358,3168,4,0,0,0,7,1,0,0,0
8,DSK CO LTD,0.22709981189505762,2282,4,0,2,2,0,4,2,4,0
9,"DMS Co., LTD.",0.22325743323493533,2574,4,0,0,2,4,0,0,9,0
10,C SUN MFG. LTD.,0.21755907657000806,2975,7,0,1,5,1,23,3,17,4
11,Marketech International Corp.,0.2110381719520891,2569,7,0,0,11,0,0,0,1,3
12,Usun Technology Co Ltd,0.20398340564717557,3419,9,0,2,10,1,6,2,9,1
13,Ta Liang Technology Co Ltd,0.19977416036610104,2438,5,0,0,0,0,22,2,1,4
14,Tera Autotech Corp,0.19042223455345142,2417,6,0,0,0,0,11,0,3,0
15,Shenzhen JT Automation Equipment Co Ltd,0.17911274054633358,2035,5,0,0,0,0,6,2,0,0
16,"Topoint Technology Co., Ltd.",0.17652998220002517,3598,4,0,0,0,0,12,4,2,0
17,"Chien Wei Precise Technology Co., Ltd.",0.1717829831410151,3447,5,0,0,0,4,1,1,5,0
18,Seho Robot Co Ltd,0.1680072990844571,2742,5,0,0,0,0,6,3,8,0
19,"Gongin Precision Industrial Co.,Ltd",0.16426668370299152,2279,8,1,0,0,4,0,0,17,0
20,All Ring Tech Co Ltd,0.1578566785306965,2040,5,0,0,1,1,2,0,8,1
21,MiCo Ltd,0.1490792329063764,1969,1,1,0,0,0,0,0,0,0
22,Cosmos Machinery Enterprises Limited,0.14789449517035097,5127,5,0,0,0,0,0,9,0,0
23,Charm Engineering Co Ltd,0.13632128187563203,3233,6,0,6,21,0,5,0,23,0
24,E&R Engineering Corp,0.13525389024726722,3645,9,0,0,0,0,1,4,15,8
25,"Paragon Technologies Co., Ltd.",0.1312854931927152,2371,4,0,0,0,0,0,1,0,3
26,"Meiki Co., Ltd.",0.12876255680585738,1913,7,0,0,0,0,0,7,0,0
27,Kctech Co Ltd,0.1265620197620857,2115,8,0,2,6,4,0,0,27,0
28,SFA Engineering Corp,0.11757146927134968,1372,4,0,0,3,0,0,0,6,0
29,Gallant Precision Machining Co Ltd,0.11630240924287791,2844,4,0,1,0,0,2,0,3,1
30,Mycronic publ AB,0.11368961946429121,4448,4,0,0,2,0,11,0,1,0
31,RORZE CORPORATION,0.1075599743544599,2701,6,0,2,4,0,0,0,12,0
32,AT Technology Co Ltd,0.10699545973334952,6058,2,2,0,0,0,0,0,2,0
