,name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
0,Tennrich International Corp,0.6176406384684178,1711,2,0,0,2,0,4
1,NIPPO LTD.,0.37784580046902655,2167,3,1,5,0,0,0
2,Renesas Easton Co Ltd,0.2892661024834624,1877,3,0,4,0,0,0
3,Promaster Technology Corp.,0.2802564692994684,2810,4,5,1,0,0,2
4,Sakae Electronics Corporation,0.2795420754934138,3127,8,9,5,5,4,0
5,Forth Corporation PCL,0.24446292110711837,3147,6,1,5,0,1,0
6,ASEC International Corporation,0.23785806912469853,2435,4,3,1,0,0,1
7,Atech OEM Inc,0.2176292534911794,4745,14,0,0,39,23,16
8,Gold Tat Group International Ltd,0.2144102906789513,3609,6,2,14,0,0,0
9,"MITACHI CO., LTD",0.212515607635869,3840,6,4,6,0,4,0
10,Datronix Holdings Limited,0.21078457073718906,3661,5,7,0,0,0,2
11,TOMEN DEVICES CORPORATION,0.2040315927512199,1561,4,1,3,0,0,0
12,Beijing Zhongxun Sifang Scnc & Tech Co,0.2032721925517356,4574,2,1,0,1,2,3
13,SIIX Corp.,0.18236215155017999,3078,4,4,4,0,1,0
14,"Trust-Search Corp.,Ltd.",0.16694503949330292,4465,7,1,7,0,0,0
15,Chander Electronics Corp.,0.1596553307359665,3258,6,10,4,0,0,0
16,Laird PLC,0.1547013894717295,10569,5,0,0,3,0,19
17,Zippy Technology Corp,0.14687298488093736,1236,6,4,0,5,17,0
18,Koryo Electronics Co Ltd,0.14512719092889279,3212,7,12,7,0,1,0
19,Arita Prima Indonesia Tbk PT,0.1353436118972824,3480,2,0,0,0,0,2
20,Shenzhen Huakong Seg Co Ltd,0.13481675599591564,2891,4,3,2,0,0,0
21,Shenzhen Topeast Technology Co Ltd,0.1325741394736796,3074,5,3,3,1,8,0
22,Sentronic International Corp,0.12563347771362088,4167,3,4,3,0,0,0
23,"Richardson Electronics, Ltd.",0.12284538150568224,4731,3,1,0,4,17,4
24,Alltek Technology Corp.,0.12147803745039894,2773,4,0,0,0,21,3
25,Elematec Corporation,0.11828554309493979,2666,3,3,2,0,0,0
26,KANADEN CORPORATION,0.11573270097426053,2674,3,5,1,1,0,0
27,LITE-ON JAPAN LTD.,0.11028609489030942,4095,2,4,2,2,2,0
28,"TAKACHIHO KOHEKI CO., LTD.",0.10302480625901665,3849,4,2,2,0,2,0
29,Ruixin International Holdings Ltd,0.1003556740974281,3147,2,5,1,0,1,0
30,Ryoyo Electro Corp,0.09786424961473728,4621,4,1,3,0,0,0
31,"Universal Microelectronics Co., Ltd.",0.09782739173349639,2563,5,2,0,14,2,1
32,Malmbergs Elektriska AB (publ),0.09745654396009,2696,6,5,1,0,6,0
33,Vitec Holdings Co Ltd,0.09713615645333042,2350,8,11,2,0,0,0
34,Petrosetco Distribution Joint Stock Co,0.09642270943999412,3123,1,1,2,0,0,0
35,"Channel Well Technology Co., Ltd",0.09449234641627081,2372,9,0,0,28,10,2
36,"BULL WILL CO., LTD.",0.09110588442438212,3682,8,8,1,10,7,0
37,NICHIDENBO CORPORATION,0.08827166085583435,2489,9,5,0,0,6,0
38,Sungho Electronics Corp,0.0862550466376031,1922,4,2,1,8,1,0
39,Nichiden Corp,0.08468849632610408,4194,2,0,0,1,1,1
40,"SANSHIN ELECTRONICS CO., LTD.",0.08445193434272456,2210,5,11,0,0,4,0
41,"Howteh Technology Co., Ltd.",0.08240962136609171,2336,5,8,1,0,1,0
42,"Ryosan Company, Limited",0.07882893706341974,2329,7,16,1,5,0,0
43,"Tianjin Benefo Tejing Electric Co.,Ltd.",0.07806435932607404,3205,1,0,0,1,9,1
44,LG International Corp,0.07802365825331173,3626,3,2,2,0,0,0
45,Shinden Hightex Corp,0.07738749997786531,1346,5,6,0,0,0,0
46,"ZHONGYEDA ELECTRIC CO.,LTD.",0.0762207753074599,2465,2,3,0,0,6,0
47,TAIWAN OSTOR CORP.,0.07443366313459043,2913,4,7,0,3,0,0
48,SUN-WA TECHNOS CORPORATION,0.07353334066466236,2039,8,1,2,27,4,0
49,Surge Components Inc,0.07184293984890909,2896,6,6,0,4,10,0
