,name,score,document_length,url_count,electronic,interface 
0,Beijing ZXT Sftwre Scince & Tchly Co Ltd,0.510060305432063,1378,5,4,6
1,ifa systems AG,0.47222667720297995,3544,9,18,18
2,"Synopsys, Inc.",0.44497269230772246,13008,8,61,57
3,Hightech Payment Systems SA,0.40965399673494524,5543,9,14,17
4,Cecurity.com SA,0.28064946245507894,3894,6,10,8
5,"Techno Mathematical Co., Ltd.",0.26485616076644264,4545,6,7,8
6,Softing AG,0.21159651721068767,3124,5,13,6
7,Skkynet Cloud Systems Inc,0.18858491337868577,3529,4,3,6
8,Orion Health Group Ltd,0.18127499063285143,6867,6,5,14
9,Smart Information Technology Golbal,0.17136846396779826,13243,4,7,22
10,Bit Computer Co Ltd,0.15322797883707948,11990,2,28,12
11,Inspur Software Co Ltd,0.14804553951528965,6578,5,12,8
12,Digia Oyj,0.14596343990385952,4967,1,8,5
13,Zuken Elmic Inc,0.14104977558073484,2617,7,4,3
14,System Integrator Corp.,0.1383434256906065,4820,4,2,7
15,Tobe Soft Co Ltd,0.1349193185448979,2782,6,1,5
16,Chengdu Guangda Electronic Co Ltd,0.13327544494446492,4045,9,32,6
17,B-Scada Inc,0.1309263411364498,21088,7,7,57
18,Kambi Group PLC,0.13063454404834612,3749,4,0,6
19,Fabasoft AG,0.1258254915945356,2414,6,8,3
20,Omni Market Tide Ltd,0.12462731888714537,3037,2,0,3
21,EASY SOFTWARE AG,0.11894635765420455,10034,3,3,18
22,8K Miles Software Services Ltd,0.1144232766036157,1921,4,3,2
23,APEX Intl Financl Engg Res & Tech Co Ltd,0.11385077497002956,5857,3,9,5
24,CardioComm Solutions Inc,0.10972902917704802,5070,6,2,8
25,Insyde Software Corp.,0.10799876684862068,3674,2,2,4
26,Future Developer Technology Co Ltd,0.10486153811962887,6523,5,3,4
27,Sobal Corporation,0.10390902844013833,5428,3,4,4
28,Axway Software SA,0.10342317429197047,7672,7,2,8
29,Aplix IP Holdings Corp,0.09870732532110331,2547,5,12,3
30,Qwick Media Inc,0.09838079641723999,5054,4,0,4
31,SLYCE Inc,0.09726202745331264,5431,1,0,4
32,Opower Inc,0.09558195256320133,5286,4,0,5
33,Cadence Design Systems Inc,0.09507895388659282,20883,11,39,20
34,Ackroo Inc,0.08925671802762629,2821,1,0,2
35,Beijing Consmation Science & Tech Co Ltd,0.08811313641755546,4629,4,4,3
36,Lockbox Link Inc,0.08707392814581481,3092,3,3,2
37,GMO Pepabo Inc,0.08336705413796539,2545,2,3,2
38,"FueTrek Co., Ltd.",0.08007214912037898,2821,3,4,2
39,"FalconStor Software, Inc.",0.07915324799000706,6690,3,0,5
40,Jive Software Inc,0.07786864043748061,5652,4,0,7
