,name,score,document_length,url_count,display,led,oled,organic
0,Onano Industrial Corp,0.5278542293821656,3578,7,11,1,12,8
1,Microview Technology Corporation,0.21595799420553663,5454,5,14,17,18,0
2,Japan Display Inc,0.2062736898305479,6820,13,192,21,91,1
3,Seven Star Works Co Ltd,0.19847659852368316,5778,7,9,3,6,4
4,Chemtronics Co Ltd,0.19677187948639555,3174,6,5,4,1,3
5,"Iljin Display Co., Ltd.",0.17556219422023167,1371,8,30,15,7,0
6,Park & OPC Ltd,0.17494721486059586,6821,7,2,7,0,7
7,U-Tech Co Ltd,0.171346322396042,4916,6,11,4,0,4
8,LG Display Co Ltd. (ADR),0.14884876714132103,4772,7,96,4,26,3
9,"Irico Display Devices Co., Ltd.",0.13402861988301548,1994,6,56,2,5,5
10,Daejoo Electronic Materials Co Ltd,0.12972957178339747,2953,5,3,6,1,2
11,Daxin Materials Corp,0.12554220525576015,2492,7,23,6,6,1
12,"Star World Technology Co., Ltd.",0.12164007176512324,2547,3,11,0,2,2
13,"Excel Cell Electronic Co., Ltd.",0.1086984331559871,3558,5,1,4,28,0
14,"Shenzhen Textile (Holdings) Co., Ltd",0.10179455235937783,2676,5,12,0,2,2
15,DID Corporation,0.0855444945878352,2284,2,3,13,3,0
16,"ThinTech Materials Technology Co., Ltd.",0.08276079690660898,4434,7,7,3,0,2
17,PLA Co Ltd,0.07785067318979647,2311,2,1,2,0,1
18,"Tianma Microelectronics Co., Ltd.",0.07487381711772777,4763,8,79,10,15,1
19,"KURAMOTO CO., LTD.",0.07271574981510322,2302,4,2,2,0,1
20,BOE Technology Group Co. Ltd,0.06096376278210297,5360,8,79,5,7,5
21,Yeebo (International Holdings) Ltd,0.05574750845316391,3645,7,9,1,3,0
22,SKC Kolon PI Inc,0.05502656341615389,2491,6,6,4,0,1
23,Shuz Tung Machinery Industrial Co Ltd,0.04972558035395044,2097,4,2,3,1,0
24,Truly International Holdings Ltd.,0.04883006286808146,2675,8,16,2,3,0
25,Varitronix International Limited,0.03856544554575969,2835,7,39,5,4,0
26,YMC Co Ltd,0.037625845003878916,6341,14,1,15,0,5
27,LG Display Co Ltd,0.032330150734206184,8753,12,508,6,95,2
28,Zhejiang Firstar Panel Technology Co Ltd,0.03215815930451072,2998,8,9,1,2,0
29,Accupix Inc,0.02961282149339611,10219,9,68,14,6,2
30,"Wuhu Token Science Co.,LTD.",0.028038273622368094,2393,6,14,0,1,1
31,Jeng Shiang Precision Ind Co Ltd,0.023008105515078908,8655,11,33,26,2,3
32,"FINE TECHNIX CO.,LTD",0.020996122329552645,1200,3,2,19,1,0
33,"Nippon Electric Glass Co., Ltd.",0.020038912208718753,3006,7,15,4,1,1
34,"Entire Technology Co., Ltd",0.019959456437202438,3161,4,4,16,0,1
35,"AMPIRE CO., LTD",0.01892703966679285,4205,8,47,20,2,1
36,Samjin LND Co Ltd,0.017818140822175484,2673,7,6,34,1,1
37,Sintek Photronic Corp.,0.015147798352924678,2849,8,14,2,1,0
38,Innolux Corp,0.015025719910334332,4287,9,49,9,2,1
39,"Giantplus Technology Co., Ltd.",0.01474526805683248,3771,8,12,4,1,0
