,name,score,document_length,url_count,button,chemical fiber,cloth,fabric,knitted fabric,nylon,polyester,pu,pvc,textile
0,Bombay Rayon Fashions Limited,0.09150679600020722,4369,6,8,0,14,52,2,0,3,20,0,27
1,Yongsheng Advanced Materials Co Ltd,0.08081238554714527,2274,7,0,1,0,3,0,0,16,20,0,21
2,PCCS Group Berhad,0.05626390040723516,4022,6,0,0,3,4,4,0,0,26,0,11
3,Modern Sewing Co,0.05317005817752301,9179,10,39,0,9,29,0,0,1,68,0,2
4,DAIDOH LIMITED,0.02731176620301297,2210,7,0,0,25,14,0,0,0,11,1,9
5,Ever-Glory International Group Inc,0.0203058627862699,5179,8,2,0,6,7,0,0,0,30,0,2
6,Aaswa Trading And Exports Ltd,0.01787887406990605,4296,7,1,0,0,4,0,0,0,19,0,6
7,Taroko Textile Corporation,0.015472113595367943,3450,9,0,0,1,6,1,2,4,35,0,65
8,Sunrise Asian Ltd,0.012833215594840044,4660,5,1,0,0,2,0,0,1,14,0,21
9,"Zhejiang Orient Holdings Co., Ltd",0.011650564924689725,3224,5,0,0,6,4,0,1,1,25,0,13
10,"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.009417547002194385,3216,8,0,0,2,2,0,1,1,25,0,11
11,Leeds Group plc,0.007221122821360015,2704,8,0,0,14,13,0,0,0,11,0,12
12,Textile Garment Impt Expt and Prdctn JSC,0.005269445376643715,4833,7,0,0,72,8,0,1,4,23,0,87
13,"Jiangsu Sanyou Group Co., Ltd.",0.005046661735652925,1793,2,0,0,27,0,0,0,0,6,0,3
14,Varteks d.d.,0.004796208158724428,2028,5,0,0,9,3,0,0,0,13,0,5
15,Confectii Vaslui SA,0.004350359789308935,3343,7,0,0,31,13,0,0,0,26,0,3
16,SANYO SHOKAI LTD.,0.003999554312020752,4028,8,0,0,23,0,0,0,1,21,0,5
17,"YAGI & CO., LTD.",0.00282888272019189,1027,7,0,0,0,8,0,0,0,8,0,37
18,Prochnik SA,0.002491041972681273,4185,10,0,0,22,3,0,0,0,25,0,1
19,"KING Co., Ltd.",0.0024906426587412113,2995,6,0,0,5,5,0,0,0,24,0,8
20,Marumitsu Co Ltd,0.002403967026709474,2931,8,0,0,19,0,0,0,0,21,0,0
21,Vinatex Danang JSC,0.0021880361340737937,4906,9,0,0,5,1,0,0,2,24,0,52
22,"Shandong Hiking International Co., Ltd.",0.0017096504508710062,3338,9,0,0,3,3,0,0,0,15,0,13
23,GSI Creos Corporation,0.0016784728604634345,2621,7,0,0,3,4,0,0,0,9,0,30
24,Tan Mai General Wood JSC,0.0015856866489133588,3219,7,0,0,0,4,0,0,0,16,0,1
25,Renown Inc,0.0014280557246892027,3764,6,0,0,4,2,0,0,0,19,0,0
26,Standard Industries Limited,0.0012593239801016942,5800,7,0,0,2,4,0,0,2,95,0,12
27,"Takihyo Co., Ltd.",0.001163510532917815,3854,9,0,0,7,2,0,0,0,17,0,25
28,Jackson Investments Ltd,0.0009947215807812107,8380,13,1,0,1,8,0,0,0,110,0,15
29,Dagi Giyim Sanayi ve Ticaret AS,0.000994253730679262,2563,9,0,0,0,1,0,0,0,8,0,6
30,"Shanghai Shenda Co., Ltd",0.0008658789786832536,3363,9,0,0,1,12,0,0,0,26,0,61
31,Adolfo Dominguez SA,0.0007908055069234958,5217,9,0,0,27,0,0,0,0,44,0,2
32,"Orient International Enterprise, Ltd.",0.0007855279387418915,3485,8,0,0,1,4,0,0,0,22,0,20
33,Luen Thai Holdings Ltd,0.0006451645647743089,3055,6,0,0,3,0,0,0,0,16,0,16
34,"SANKYO SEIKO CO., LTD",0.0006380711489805528,3488,7,0,0,3,1,0,0,0,20,0,19
35,Newcity (Bangkok) Public Company Limited,0.000603960187397349,5780,7,0,0,19,0,0,0,0,179,1,6
36,Atsugi Co Ltd,0.000586609110487579,2161,6,0,0,2,0,0,0,0,24,0,7
37,Tristate Holdings Limited,0.0004669258956654331,3042,5,0,0,2,0,0,0,0,23,0,2
38,Hatzioannou Holdings S.A.,0.0004480576655130232,5936,10,0,0,7,4,0,0,0,43,0,6
39,Makoteks AD Skopje,0.0004332944167669132,2491,6,0,0,1,1,0,0,0,22,0,9
40,Quasar India Ltd,0.0003591666256990724,5515,9,0,0,0,13,0,0,0,94,0,8
41,"NJ Textiles Import & Export Corp.,Ltd.",0.0002591512657492951,4803,8,0,0,2,5,0,0,0,26,0,94
42,Shanghai Lansheng Corporation,0.00016790885898445697,2354,7,0,0,0,0,0,0,0,11,0,3
43,Gala Global Inc,0.00011779634134801654,6686,9,0,0,4,0,0,0,0,58,0,3
44,Wacoal Holdings Corporation (ADR),5.540242536832435e-05,34227,7,0,0,8,4,0,1,0,258,0,27
45,WACOAL HOLDINGS CORP.,5.119959230125233e-05,33708,5,0,0,6,4,0,1,0,260,0,28
46,Armeyski Holding AD Sofia,4.2269958949741024e-05,2972,8,0,0,0,0,0,0,0,13,0,0
47,Sinar OAO (P),7.054843606406023e-08,1028714,9,2,1,11,13,0,1,0,3799,0,11
