,name,score,document_length,url_count,dram,flash,led,memory,sram
0,Fidelix Co Ltd,2.633140289541733,3297,11,20,11,13,23,22
1,Winbond Electronics Corp.,1.6150139766013611,5309,9,181,126,12,67,20
2,Jeju Semiconductor Corp,1.0846483374795317,2264,5,6,24,0,14,17
3,Winpac Inc,0.9330424326858457,5212,8,6,17,8,14,14
4,"GSI Technology, Inc.",0.8746255591805692,3589,10,26,1,3,19,96
5,Elite Semiconductor Memory Tech. Inc.,0.8088445013557051,2137,8,10,7,2,53,4
6,Cypress Semiconductor Corporation,0.7537413347446825,9955,13,3,40,25,69,22
7,Spansion Inc.,0.6285263292422524,7333,13,5,97,27,88,9
8,Etron Technology Inc,0.6219031076783704,1411,6,34,20,2,19,1
9,Eon Silicon Solution Inc.,0.6097616986763259,2535,7,1,62,24,61,6
10,"A-DATA Technology Co., Ltd.",0.5945381352147093,4074,12,16,27,17,43,0
11,"Supreme Electronics Co., Ltd.",0.5003013248778455,2441,6,4,9,8,26,0
12,TOMEN DEVICES CORPORATION,0.48847584606215033,2336,5,6,6,1,16,3
13,Powerchip Technology Corp,0.4745672176173149,4049,7,36,31,5,55,0
14,Skymedi Corporation,0.46172630490394617,4223,9,0,22,16,40,5
15,Panram International Corp,0.4515871919217478,3637,12,30,21,4,30,0
16,UNIFOSA CORP.,0.44768551204197504,1325,7,7,9,1,28,0
17,Apacer Technology Inc,0.4236932295328605,6904,14,22,36,25,85,1
18,Rambus Inc.,0.4078075921473934,6102,8,47,0,31,52,5
19,AP Memory Technology Corp,0.40412414838869576,3164,9,15,0,1,95,19
20,Kingpak Technology Inc,0.3579801364084028,2363,7,7,7,3,11,0
21,"Hakuto Co., Ltd.",0.3573083228850278,1452,1,1,3,6,2,3
22,SK Hynix Inc,0.3559458916994465,6899,11,69,16,11,47,1
23,CoAsia Microelectronics Corp.,0.3538558595964836,5669,10,12,10,7,18,0
24,Phoenix Semiconductor Philippines Corp,0.34583720776547416,2850,8,3,5,4,21,0
25,Serial System Ltd,0.3452685170704474,3986,6,0,0,3,0,6
26,Zenitron Corp,0.3427076487292336,1042,6,0,3,4,5,0
27,"Micron Technology, Inc.",0.3355065052440484,4593,10,43,45,2,91,1
28,WPG Holdings Limited,0.33094930443965487,3165,8,0,6,18,16,3
29,Inotera Memories Inc,0.3301653553805707,2531,8,21,1,6,45,0
30,"Service & Quality Technology Co., Ltd",0.3289916043666269,1819,2,8,0,1,3,0
31,Honey Hope Honesty Enterprise Co Ltd,0.31350762085265665,5008,7,9,0,9,9,5
32,MoSys Inc.,0.3031756002705905,4620,8,2,1,8,32,7
33,United Microelectronics Corp (ADR),0.3006520651218703,5403,9,0,2,5,13,6
34,Nanya Technology Corporation,0.29603772545279783,2412,10,27,0,5,13,0
35,Renesas Easton Co Ltd,0.29232109563787534,1885,6,1,3,6,12,1
36,Integrated Device Technology Inc,0.2908127858008623,4492,8,0,3,9,25,5
37,Okins Electronics Co Ltd,0.290194819562301,1304,5,0,0,4,9,0
38,Wuhan P&S Information Technology Co Ltd,0.2889894317442657,2873,3,3,1,7,9,2
39,Walton Advanced Engineering Inc,0.2806773804499997,2893,7,8,3,1,12,0
40,Aptos Technology Inc.,0.28006335730406945,2793,6,8,5,2,4,0
41,Orient Semiconductor Electronics Ltd,0.2650857506994523,4300,7,9,5,4,7,1
42,Chipsip Technology Co Ltd,0.2634419184074253,3641,7,9,2,5,10,0
43,Formosa Sumco Technology Corp,0.25347247311037197,3631,8,16,2,6,7,0
44,SAMT Co Ltd,0.2512713878133409,3182,5,3,4,11,13,0
45,Barun Electronics Co Ltd,0.24746507416086863,1588,6,0,10,3,13,0
46,Microchip Technology Inc.,0.24469186453011224,19903,11,1,87,78,109,24
47,Zentel Electronics Corp.,0.2444001883793711,2071,13,47,0,8,5,0
48,Shinden Hightex Corp,0.24245603477140637,1353,5,1,3,1,6,0
49,LuxNet Corp,0.23717551942081458,1600,7,0,5,4,2,1
50,ARES GREEN TECHNOLOGY CORPORATION,0.23499385457353006,1976,2,8,0,3,0,0
51,Faraday Technology Corporation,0.23370031350815912,3178,7,0,6,2,27,3
52,Tongfang Guoxin Electronics Co Ltd,0.2223133416332109,3029,3,9,3,2,6,0
53,Higher Way Electronic Co Ltd,0.2210693366302294,3084,6,8,0,4,6,0
54,SK Hynix Inc (Parent),0.22066650157760828,7529,12,94,12,7,34,0
55,LIWANLI Innovation Co Ltd,0.21975225226357953,3102,5,2,4,5,10,0
56,King Core Electronics Inc.,0.21789608418589174,2405,2,8,0,2,0,0
57,"InnoChips Technology Co., Ltd.",0.21661632987198823,2119,4,0,1,3,3,1
58,Siltrontech Electronics Corporation,0.21559739939831024,4508,6,11,5,30,10,1
59,Chipbond Technology Corporation,0.21448437406452778,2030,1,8,0,1,0,0
60,Techwing Inc,0.21238487303877485,2868,5,2,3,2,12,0
61,Harmony Electronics Corp,0.21042004627159025,2018,1,8,0,1,0,0
62,eASIC Corp,0.21017141597241792,4908,8,2,1,4,4,6
63,Phison Electronics Corp.,0.20624075225535976,1927,7,0,43,4,20,0
64,"Alchip Technologies, Limitd",0.20564570454216924,4093,4,1,1,5,3,3
65,NICHIDENBO CORPORATION,0.20075801279904665,3156,11,9,6,5,0,0
66,MetaTech (AP) Inc.,0.19956221254490164,3725,4,8,6,2,2,0
67,"CHIP HOPE CO., LTD",0.19833104283094455,2303,4,0,2,1,8,0
68,"Transcend Information, Inc.",0.19732905638166026,3216,6,3,19,4,18,0
69,Atmel Corporation,0.19721803037018032,9355,7,1,39,44,66,4
70,"eMemory Technology, Inc.",0.1968043359834053,3319,7,0,18,12,69,0
71,Walsin Technology Corporation,0.19564035167441313,3084,5,3,2,20,4,3
72,Powertech Technology Inc.,0.19331214067629196,2617,6,2,1,5,14,0
73,"Universal Microwave Technology, Inc.",0.19175796627184666,2586,2,8,0,2,0,0
74,Professional Computer Technology Ltd,0.18843705869979963,2180,4,0,4,0,4,0
75,"WT Microelectronics Co., Ltd.",0.18686800578269394,2116,8,0,1,11,7,2
76,Goldenmars Technology Hldg Ltd,0.18622535751345667,3748,7,4,10,1,19,0
77,CX Technology Corp,0.18147653852096818,3063,2,8,0,2,0,0
78,"Prosperity Dielectrics Co., Ltd.",0.18065302288516585,3351,3,8,0,5,2,1
79,UKC Holdings Corp,0.17787976109840675,2229,4,1,0,6,5,0
80,Silitech Technology Corporation,0.17375117795165662,2812,2,8,0,2,0,0
81,Elite Advanced Laser Corporation,0.1734194823820526,2845,4,8,4,1,0,0
82,STS Semiconductor and Telecommunications,0.17271654739331802,2711,7,0,3,1,15,0
83,Intel Corporation,0.17116788659972518,30281,13,17,12,102,114,7
84,Advanced Microelectronic Products Inc.,0.16753645349229654,2240,1,8,0,1,0,0
85,"RDC Semiconductor Co.,Ltd",0.1648049892230156,2724,3,11,0,1,3,0
86,Eagle Mountain Corp,0.1616608936943381,5423,4,4,3,11,20,1
87,MARUBUN CORPORATION,0.16038027259058377,2559,5,0,1,4,6,0
88,"Macronix International Co., Ltd.",0.16034295977457655,5269,11,8,134,8,42,0
89,ASEC International Corporation,0.1596391241037066,2496,5,8,0,6,1,0
