,name,score,document_length,url_count,broadband,catv,component,converter,data center,ftth,optoelectronic,sensing,telecom,transceiver,transmitter
0,Lightron Fiber Optic Devices Inc,0.8558525470311356,4021,7,7,5,9,4,6,9,0,0,6,2,6
1,Exar Corporation,0.36411542955702586,3560,8,0,0,6,0,2,0,2,3,7,2,3
2,LuxNet Corp,0.36208206180968266,1596,6,0,0,9,1,0,1,0,0,0,1,2
3,"Japan Radio Co., Ltd.",0.34654029902866695,2257,4,1,0,6,3,0,0,3,0,1,4,0
4,Shunsin Technology Holdings Ltd,0.34617806874895146,3414,6,0,0,3,0,0,0,0,3,0,10,0
5,Hangzhou CNCR-IT Co Ltd,0.34508768304664533,3491,10,0,1,11,7,0,3,0,0,7,5,4
6,NeoPhotonics Corp,0.34100222936978697,2357,7,0,0,17,0,1,0,4,0,7,9,4
7,Screen Service Broadcasting Technologies,0.3253246647981902,2479,8,0,0,1,0,0,0,0,0,8,0,32
8,Amigo Technology Inc,0.30803659242026127,1895,7,15,0,0,0,0,0,0,0,2,0,0
9,"Fujian Sunnada Communication Co.,Ltd",0.3074074643580039,1902,4,2,0,0,0,0,0,0,0,6,2,2
10,TranSystem Inc.,0.30499593358714,3530,4,0,0,1,9,0,0,0,0,4,8,5
11,"FOCI Fiber Optic Communications, Inc.",0.2787411862651013,2526,8,4,0,10,1,0,2,0,0,2,2,0
12,Coretek Opto Corporation,0.2750885979871541,2216,7,1,0,2,0,0,0,0,1,3,27,0
13,PCL Technologies Inc,0.25387250395979694,3887,6,0,0,6,1,0,1,1,0,4,16,0
14,Elite Advanced Laser Corporation,0.24282184285305278,2672,4,0,2,2,0,0,0,6,0,0,0,0
15,Filtronic Plc,0.23721535926106638,1941,9,44,0,10,0,0,0,0,0,7,9,0
16,Wave Electronics Co Ltd,0.23257410692407565,4729,7,0,0,3,4,0,0,0,0,6,6,0
17,EZconn Corp,0.20107880770988507,2701,6,1,1,6,0,0,0,0,0,1,2,0
18,APAC Opto Electronics Inc.,0.19264901828472125,2255,9,0,0,18,0,0,0,0,0,5,41,1
19,Hitachi Kokusai Electric Inc,0.18972636045087868,1818,4,0,1,0,0,0,0,0,0,0,0,4
20,Finisar Corporation,0.18531355429788712,7223,13,2,0,58,0,27,0,8,19,3,117,3
21,Uchi Technologies Bhd,0.18019269418365544,5022,7,0,0,3,0,0,0,10,2,0,0,0
22,Energous Corp,0.17781861885024633,5134,6,0,0,1,2,0,0,0,0,0,0,40
23,Prime Electronics & Satellitics Inc,0.17271019028085746,3139,5,2,2,3,3,0,0,0,0,9,1,0
24,"Silicon Image, Inc.",0.16730642996237724,8421,11,1,0,2,9,9,0,0,0,1,3,34
25,Marvell Technology Group Ltd.,0.16522878006114286,11030,12,13,0,7,0,25,0,0,1,10,30,0
26,IC Plus Corp,0.16313204004633788,3233,10,2,0,2,14,0,0,0,0,20,33,0
27,Axcen Photonics Corp,0.15753983148032194,2153,10,0,0,2,1,0,0,0,0,1,32,0
28,Tonna Electronique SA,0.15084235460133108,3504,9,0,2,0,7,0,0,0,0,20,0,5
29,OB Telecom Electronics Co Ltd,0.14426082939686857,2905,8,0,0,0,24,0,0,0,0,51,7,14
30,Oe Solutions Co  Ltd,0.14279904409478358,4527,11,5,0,0,1,0,0,8,0,14,81,0
31,Jorjin Technologies Inc,0.1343704818287364,2698,8,0,0,10,0,0,0,0,2,0,1,0
32,Gamma Nu Inc,0.13310150778345473,4699,2,0,0,1,4,0,0,0,0,0,4,0
33,"Everlight Electronics Co., Ltd.",0.13020196944860263,2988,7,0,0,13,0,0,0,18,0,0,0,2
34,Broadcom Corporation,0.12966175373853267,14223,14,24,1,19,2,10,0,2,2,19,6,2
35,ZINWELL CORPORATION,0.1272995713656459,5475,10,16,16,1,34,0,0,0,0,0,0,0
36,Princeton Technology Corporation,0.12588219385106503,5445,8,6,0,2,18,0,0,0,0,0,6,13
37,Silicom Ltd.,0.1255903376966376,3181,7,0,0,2,11,14,0,0,0,0,0,0
38,"Jochu Technology Co., Ltd.",0.12054726822859695,3029,4,0,0,12,0,1,0,8,0,0,0,0
39,Advanced Optoelectronic Technology Inc,0.12012279175304795,2535,9,0,0,1,0,0,0,42,0,0,0,0
40,Gigastorage Corporation,0.11648350713852292,2309,5,0,0,0,1,0,0,5,0,0,0,0
41,SHF Communication Technologies AG,0.11466725119619905,1576,3,3,0,8,1,0,0,0,0,0,0,0
42,Sequans Communications SA ADR,0.11396427078487403,9671,8,13,0,0,1,0,0,0,0,1,4,0
43,Hauman Technologies Corp,0.11379505674381063,2478,3,0,0,2,0,0,0,6,0,3,0,0
44,Advanced Wireless Semiconductor Company,0.11259137185160636,4351,4,1,0,5,2,1,0,0,2,3,0,0
45,"Unity Opto Technology Co., Ltd.",0.10855673995624456,3173,5,1,0,7,0,0,0,2,0,3,0,2
46,Silicon Motion Technology Corp. (ADR),0.09963110025598577,6335,4,0,0,0,0,0,0,0,0,1,4,0
47,Taiwan Surface Mounting Tech. Corp.,0.09791451930501376,3455,6,0,0,2,1,0,0,7,0,1,0,0
48,"Electronic Systems Technology, Inc.",0.09481978737256459,5007,6,0,0,6,1,0,0,0,0,0,3,0
49,UR Holding SpA,0.0943073780247231,3714,5,0,0,9,10,0,0,1,0,2,2,0
50,UKC Holdings Corp,0.09154536092370234,2220,6,0,0,13,0,1,0,0,1,4,0,0
51,MegaChips Corporation,0.08973222140937624,4207,2,5,0,1,4,0,0,0,0,1,0,0
52,Comintel Corporation Berhad,0.08840178464846045,6082,8,4,0,8,0,1,0,0,0,10,0,2
53,Dongxu Optoelectronic Technology Co Ltd,0.08544977417061428,3079,7,0,0,5,0,0,0,57,0,0,0,0
54,Connection Technology Systems Inc,0.08517211402329852,5981,13,7,15,0,113,0,6,0,0,4,7,0
55,Mro-Tek Limited,0.08448686523533817,3033,7,1,0,0,8,1,0,0,0,11,0,0
56,Intersil Corp,0.08159721195723128,4993,6,0,0,13,14,0,0,13,0,0,2,0
57,"Shenzhen O-film Tech Co., Ltd.",0.08031611954131256,1350,4,0,0,4,0,0,0,3,0,0,0,0
58,Higher Way Electronic Co Ltd,0.08006785250099381,3068,6,0,0,6,1,0,0,5,0,1,0,0
59,Jiangxi Lianchuang Optoelec.Sc&Tech.,0.08005060898241183,3842,6,0,0,14,1,0,0,32,0,3,0,0
60,Abico FS Co Ltd,0.07884997653303215,4219,6,0,0,9,2,0,0,5,0,2,0,0
61,"TOPCO Scientific Co., Ltd.",0.0761172988112998,3041,6,0,0,6,0,0,0,5,0,0,0,0
62,Fiberhome Telecommunication Tech.Co.Ltd,0.07536533084806563,3535,8,8,2,0,0,2,1,7,0,74,3,2
63,Zhejiang Crystal Optech Co Ltd,0.0747958385262096,3649,7,0,0,13,1,0,0,8,0,4,0,0
64,ACARD Technology Corp.,0.07251424039335964,3935,6,0,0,9,10,0,0,0,0,0,0,1
65,"Micropac Industries, Inc.",0.07148719611979049,3812,8,0,0,18,0,0,0,13,0,0,0,1
66,Parade Technologies Ltd,0.07098762218781467,5803,8,0,0,3,29,1,0,0,0,0,0,17
67,AUK Corp,0.06849025630835807,4841,10,0,0,15,0,0,0,12,0,8,8,0
68,Gefran S.p.A.,0.06771438061253539,5309,11,0,0,18,8,0,0,0,0,0,0,5
69,Pulse Electronics Corp,0.06436755864345607,3037,7,2,1,25,2,0,0,3,0,19,2,0
70,Opec Electronics Corp,0.06361555584260174,3674,1,0,0,0,0,0,0,0,1,0,1,0
71,UniVision Engineering Limited,0.06243569368062901,4736,4,0,0,5,0,0,0,0,0,4,0,2
72,"ParkerVision, Inc.",0.06225050846108285,5517,3,0,0,2,0,0,0,0,0,0,2,1
73,"Para Light Electronics Co., Ltd",0.061539843586662125,5445,5,0,0,9,0,0,0,6,0,1,0,0
74,CTS Corporation,0.05812379972750779,3330,5,1,0,30,0,0,0,4,4,0,1,0
75,"Hangzhou Silan Microelectronics Co., Ltd",0.05759668434747609,4672,6,0,0,6,2,0,0,0,0,5,0,4
76,"Hakuto Co., Ltd.",0.05752088204108138,1549,7,0,0,27,3,0,0,0,2,0,1,0
77,Shengyi Technology Co Ltd,0.05738184074410283,3126,6,0,0,3,0,0,0,0,0,5,1,0
78,Ace Technologies Corp.,0.057282335224633225,3424,6,1,1,14,0,0,0,0,0,7,1,0
79,Feedback Technology Corp,0.05503817328542182,5062,6,0,0,5,2,0,0,4,0,2,0,0
80,"AME, Inc.",0.051476038684976924,1569,1,0,0,0,4,0,0,0,0,0,0,0
81,STG International Ltd.,0.05068569560222436,3666,5,0,0,9,6,0,0,1,0,1,0,0
82,Forward Electronics Co Ltd,0.05067335276448853,3639,7,0,0,16,0,0,0,9,0,3,0,0
83,Meyer Burger Technology AG,0.049794057303281375,2635,2,0,0,0,0,0,0,3,0,1,0,0
84,S Connect Co Ltd,0.049527735646056156,3503,5,0,0,4,8,0,0,0,0,1,0,0
85,Ledman Optoelectronic Co Ltd,0.04820983786585666,4372,9,0,0,19,0,0,0,52,0,4,0,0
