,name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
0,Beijing Cpc Science and Technolgy Co Ltd,0.36184588176911625,1212,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0
1,Cube System Inc,0.23758399171917494,3835,10,2,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,3,16,0,16,0,17,11
2,AF AB,0.23051769892443622,940,4,1,0,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,3,0,4,0
3,Prochem SA,0.19547005610334645,1545,6,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,1,2,0,0,8,6,0
4,Comp SA,0.16034330418432782,4194,8,3,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,6,8,0,5,0,3,0
5,Macdonald Dettwiler & Associates Ltd,0.15039717347621082,4575,9,0,0,0,0,0,0,0,0,0,2,21,0,0,1,15,0,0,15,0,5,0,2,0
6,United Integrated Services Co Ltd,0.1390350836801604,2865,6,0,0,0,3,0,8,0,0,0,0,9,0,0,0,0,0,0,6,0,5,0,2,0
7,PC Systems S.A.,0.1365216860754061,3366,8,0,0,0,6,0,0,2,0,0,0,11,0,0,2,6,0,7,17,0,15,0,15,0
8,Oricom Inc,0.12554221213579264,7598,13,30,0,0,1,0,0,8,0,0,0,5,0,0,0,2,0,11,4,0,0,0,12,0
9,Nexus AG,0.12412915579263667,1861,6,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,1,0,11,9,2,0
10,CMC Corp,0.11769134855076517,1471,8,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,4,8,0,9,0,3,0
11,Gemini Corporation,0.11481562851706631,3100,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,10,0,1,0,7,0
12,General Industries PLC,0.10711071739460913,2144,5,0,0,0,0,0,0,2,1,1,1,21,0,0,0,0,0,0,9,0,1,1,2,0
13,TSS Inc,0.09598619821347493,3781,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,5,6,0,2,0,13,0
14,Beijing Zhonghaijiyuan Dgtl Tech Dvp Co,0.09580579425765534,425,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
15,AGS Corp,0.09528299681985246,2880,10,2,0,0,4,0,0,0,0,0,1,17,0,0,0,0,0,2,6,0,2,1,5,0
16,Creston plc,0.09423308211489397,2849,5,10,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,0,4,0,4,0
17,United Electronics Co Ltd,0.08868948217626357,3152,8,0,0,0,4,0,0,5,0,0,0,19,0,0,0,0,0,14,18,0,12,0,2,0
18,Otsuka Information Technology Corp.,0.08647011287502801,2475,8,0,0,0,3,0,8,0,0,0,0,13,0,0,0,0,0,0,6,0,22,0,4,0
19,One-2-One SA,0.0731760812292333,5765,6,3,0,0,1,0,1,2,0,0,1,22,0,0,0,2,0,2,8,0,4,0,5,0
20,Estore Corp,0.0715711221973615,2817,8,2,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,2,2,0,3,0,1,0
21,Nippon Office Systems Limited,0.07138848454127757,2233,5,0,0,0,4,0,0,1,0,0,0,11,0,0,0,0,0,4,3,0,11,0,2,0
22,Yehey! Corp,0.06868266270268081,3333,8,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,4,8,0,3,0,2,0
23,NTT Data Corp,0.06818907011921742,5088,7,0,0,0,13,0,0,0,2,0,3,4,0,0,0,5,0,0,7,0,17,0,9,0
24,Clipper Logistics PLC,0.06612603305651046,3786,12,0,0,0,0,0,0,2,0,0,1,20,0,0,0,0,0,11,12,0,0,0,6,0
25,Cartesian Inc,0.06104653971994781,3376,8,0,0,0,0,0,0,3,0,2,5,22,0,0,0,0,0,0,6,0,0,0,6,0
26,Beijing Boer Communication Tech Co Ltd,0.06097993352926588,4877,8,0,0,0,1,1,0,0,0,0,2,12,0,0,2,0,0,0,1,0,3,0,5,0
27,MSI Medical SA,0.056015813199948875,3671,8,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,13,0,3,10,15,0
28,Mercuries Data Systems Ltd,0.05311411442437272,3871,9,0,0,0,0,0,8,1,0,0,0,38,0,0,0,0,0,3,6,0,11,0,5,0
29,United Inc,0.051851933337600874,4801,8,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,1,3,5,0
30,IT Competence Group NV,0.04866537187380866,4850,9,0,0,0,14,0,0,1,0,0,2,25,0,0,5,0,0,2,27,0,7,0,11,0
31,Pinnacle Technology Group PLC,0.04848495923933885,2924,8,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,4,7,20,0
32,VSE Corporation,0.047864745889732975,4030,10,0,0,0,20,0,0,0,0,0,0,18,0,0,0,0,0,9,9,0,3,1,6,0
33,"NARI Technology Development Co., Ltd.",0.04739018724557887,3246,7,0,0,0,9,0,0,1,0,0,0,30,0,0,4,0,0,0,15,0,5,0,6,0
34,Beng Kuang Marine Limited,0.04639184814582679,2825,8,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,7,4,0,0,0,9,0
