,name,score,document_length,url_count,coffee,drink,food,juice,water
0,Pinar Su Sanayi ve Ticaret A.S.,0.7215599297683102,2868,7,14,30,12,14,22
1,Lotte Chilsung Beverage Co Ltd,0.50672556332321,2660,7,15,44,3,19,23
2,Coca-Cola Amatil Ltd,0.4867032298495761,5192,11,20,32,20,6,20
3,Hokkaido Coca Cola Bottling Co Ltd,0.45294742416310657,2420,6,7,19,10,7,8
4,PC Splash Water Public Company Ltd,0.4148347250485947,2681,9,23,17,8,2,60
5,MOJO Organics Inc,0.4018584909798505,2551,8,6,3,7,16,17
6,SAPPE PCL,0.3686701457747777,5235,12,45,127,12,57,7
7,"DyDo DRINCO, INC.",0.36175557109206385,4281,9,28,32,10,5,5
8,Staatl.Mineralbrunnen AG Bad Brueckenau,0.35058797027410277,3496,7,7,21,6,7,26
9,Les Toques Blanches du Monde SARL,0.34872214033657123,11728,6,19,36,94,25,26
10,Kofola SA,0.2760036510074142,6378,8,11,49,12,11,15
11,Organizacion Cultiba SAB de CV,0.26388127975916004,4173,6,7,25,8,7,17
12,Cott Corporation (USA),0.2627041642302014,4824,11,16,81,4,16,35
13,Oman Refreshment Company,0.24678149765319482,4434,9,3,63,47,25,30
14,Les Eaux Minerales d'Oulmes SA,0.20293535224180473,5174,9,7,31,33,9,24
15,Dubai Refreshments PJSC,0.19488894580045318,2283,6,3,45,8,8,12
16,RG Brands AO,0.17256957613041443,4260,9,1,72,22,209,12
17,National Beverage Corp.,0.17102389118212455,7094,11,7,68,8,35,43
18,Uni-President China Holdings Ltd.,0.16631186108283685,4091,8,5,21,38,11,7
19,Gulfa Mineral Water & Processing Ind Co.,0.15955647639374634,3737,9,3,10,19,6,73
20,Monster Beverage Corp,0.15257283158891524,9194,12,11,133,16,51,11
21,"ITO EN, LTD.",0.15012089350499083,4776,11,17,45,6,4,9
22,Emirates Refreshments PSC,0.14847700530999453,2523,8,3,17,6,3,27
23,Nestle SA,0.14681156007509477,11645,16,42,28,166,0,116
24,Dongsuh,0.14359778719981253,8506,11,154,7,90,1,5
25,Thanh Ha Production and Import Exprt JSC,0.14098179236060715,2278,7,8,0,5,0,0
26,National Mineral Water Company SAOG,0.13524129632673113,19819,9,13,42,89,14,307
27,"Oceanic Beverage Co., Inc",0.12765380087053263,3625,7,0,11,9,10,9
28,CUROHOLDINGS Co Ltd,0.12427171946160072,3339,9,25,1,12,0,1
29,Jammin Java Corp,0.12234634072807729,4508,9,148,17,7,0,1
30,Coca-Cola Bottling Co. Consolidated,0.11446129853738014,4436,7,4,12,2,6,14
31,Dhofar Beverage & Food Stuff Co SAOG,0.11166805177861465,3513,8,3,33,108,14,22
32,Hey-Song Corp,0.10979370908193693,4310,7,10,101,6,11,4
33,Coca Cola HBC AG,0.09385809811720369,5086,8,4,37,2,12,16
34,Embotelladora Andina SA,0.09335217014431749,5530,6,0,40,6,16,22
35,Embotelladora Andina SA (ADR),0.09285514095837846,4575,5,0,14,5,9,8
36,"S. ISHIMITSU & CO., LTD.",0.0865598221260035,3833,9,70,3,81,0,1
37,A & P Andreou & Paraskevaids Entrprs PCL,0.0813923827781291,3623,7,0,19,19,11,10
38,"Fomento Economico Mexicano, SAB de CV",0.0803370325970071,4032,6,1,9,8,4,11
39,Coca-Cola Enterprises Inc,0.07610003891794137,7761,11,3,58,8,11,39
40,Societe de Fbrctn ds Bs de Tns SA,0.07332367129099496,8474,9,4,18,25,6,24
41,Refresco Gerber NV,0.06757572098409212,4954,10,0,54,5,22,8
42,Tri Banyan Tirta Tbk PT,0.06729770092622037,2286,6,0,4,6,0,20
43,Suntory Beverage & Food Ltd,0.06335338804885936,6236,10,14,31,105,0,47
44,"Tait Marketing & Distribution Co., Ltd.",0.06334523605823758,2632,9,3,10,11,0,2
45,Chuong Duong Beverages JSC,0.05944392443902379,5095,7,3,19,9,0,19
46,"Coca-Cola FEMSA, S.A.B. de C.V. (ADR)",0.05780907141071316,5553,5,1,14,8,6,5
47,"KAGOME CO., LTD.",0.057466380426476685,2963,6,0,11,24,14,0
48,Kristal Kola ve Mesrubat Sanayi Tic. AS,0.05657321202494205,2474,7,0,31,2,3,14
