,name,score,document_length,url_count,ac power source,converter,discontinued product,electronic,instrument,power ,safety test,solutions,test,test system
0,Good Will Instrument Co Ltd,0.47343381187034905,2841,5,7,0,4,21,33,39,9,0,35,0
1,Tokyo Keiki Inc,0.2584663445066389,2587,12,0,0,9,8,2,21,0,0,2,0
2,Koh Young Technology INC.,0.25630427162472597,1506,6,0,0,0,6,0,2,2,0,6,0
3,"Giga-tronics, Incorporated",0.2150096608783615,1692,11,0,0,0,14,3,5,0,6,22,9
4,Ono Sokki Co Ltd,0.20141493761192458,2424,6,0,6,0,1,3,0,0,0,6,4
5,Chroma Ate Inc.,0.1726337939730335,2262,9,3,0,0,31,12,31,7,2,126,16
6,Crucialtec Co Ltd,0.1710535448079209,2115,7,0,1,0,12,8,2,3,0,2,0
7,Horiba Ltd,0.15047771624817205,3785,13,0,0,0,9,36,3,0,2,24,31
8,S Connect Co Ltd,0.1450798753583982,1827,6,0,8,0,3,1,11,0,2,7,0
9,Hangzhou Everfine Photo-E-Info Co Ltd,0.12809439783311055,2620,7,0,1,0,7,14,6,0,0,20,9
10,ACARD Technology Corp.,0.1147921837634251,3945,7,0,10,0,14,2,0,2,0,1,0
11,NF CORPORATION,0.1145303268454791,2494,12,8,0,0,15,21,75,0,0,36,0
12,"TAKAMISAWA CYBERNETICS COMPANY, LTD.",0.10709598718824423,1921,7,0,2,0,4,3,2,0,3,11,0
13,Miris Holding AB,0.09177921262375605,2086,6,0,1,0,2,6,0,0,2,1,0
14,Signality System Engineering Co Ltd,0.07626597493276181,5142,6,0,0,0,11,1,6,0,4,42,20
15,Orbotech Ltd,0.07593111689349567,6099,10,0,0,0,69,3,8,0,33,3,18
16,UR Holding SpA,0.07569311272333805,3257,7,0,10,0,16,2,9,0,2,6,0
17,"Grand-Tek Technology Co., Ltd.",0.07451777009924992,1730,4,0,0,0,4,1,1,0,2,2,0
18,APLISENS S.A.,0.07374030653448034,1361,5,0,3,0,6,11,5,0,0,2,0
19,"AMPIRE CO., LTD",0.0700840568401408,4215,6,0,2,0,11,0,3,0,4,3,0
20,GoerTek Inc.,0.0667085222285462,3238,7,0,1,0,22,0,4,0,12,3,0
21,"Daktronics, Inc.",0.0604188051192054,5368,8,0,0,3,14,0,5,0,0,10,0
22,Toko Inc,0.05726698970253645,3633,10,0,3,0,44,2,22,0,16,8,0
23,Norsat International Inc (USA),0.05685075064671678,4796,5,0,14,0,0,0,4,0,1,6,0
24,Wireless Telecom Group Inc,0.05622232237863223,5360,11,0,0,4,14,16,34,0,5,31,1
25,Aehr Test Systems,0.05504739121006442,5618,10,0,0,0,10,3,7,0,0,157,160
26,Sumida Corporation,0.0549537490128984,1555,7,0,4,0,15,1,40,0,4,3,0
27,SAN-EL Muhendislik Elektrik Taahhut San,0.05333683861799419,1603,5,0,2,0,0,4,9,0,0,7,0
28,SANTEC CORPORATION,0.050116904164040764,2320,6,0,0,0,9,12,4,0,0,11,2
29,AT Semicon Co Ltd,0.045414010662213615,2692,5,0,10,1,6,1,41,0,0,20,0
30,TESEC Corporation,0.043101807559047,2344,13,0,0,0,1,2,12,0,0,130,46
31,Wiisol Co Ltd,0.04256974937036635,2257,6,0,1,0,11,1,1,0,2,3,0
32,Beijing IRTOUCH Systems Co Ltd,0.04245510036054841,5017,6,0,0,0,10,1,2,0,4,3,0
33,"Teradyne, Inc.",0.04224722610820336,5505,13,0,9,0,31,41,23,0,2,316,54
34,EIWA CORPORATION,0.04220116450147979,2389,5,0,3,0,3,8,2,0,0,14,0
35,King Core Electronics Inc.,0.04115107214182949,2394,9,0,0,0,32,0,10,2,0,0,0
36,Seronics Co Ltd,0.040945028374012316,1648,6,0,2,0,11,1,0,0,0,4,0
37,Pentamaster Corporation Berhad,0.04058188690161841,3002,8,0,0,0,7,5,0,0,2,9,0
38,STG International Ltd.,0.03887217214394695,3678,10,0,6,0,17,1,23,0,2,4,0
39,FineTek Co Ltd,0.037673236372544355,4326,12,0,1,0,3,20,3,2,0,3,0
40,Korea Display System Co Ltd,0.03726669909263357,2896,6,0,1,0,4,1,1,0,1,7,0
41,Ask SA,0.03612000397068783,2632,6,0,0,0,8,0,5,0,1,3,0
42,Ste Indust. d'Appareillage et Mat Elect,0.0355412666778917,6369,7,0,10,0,11,4,4,0,1,4,0
43,PS Tec Co Ltd,0.034891091640097946,4294,6,0,4,0,8,2,9,0,0,7,0
44,Alent PLC,0.03486165012276362,3739,8,0,0,0,33,0,5,0,10,1,0
45,Giken Sakata S Ltd,0.03330107224180404,3766,8,0,1,0,15,1,0,1,0,1,0
46,Vtron Technologies Ltd,0.03301249949849132,4273,6,0,0,2,15,0,21,0,0,13,0
47,Beijing SDL Technology Co Ltd,0.032717510921814685,2130,8,0,1,0,2,7,6,0,0,3,0
48,Nanjing Sciyon Automation Group Co Ltd,0.03251025362787729,3685,8,0,3,0,0,13,8,0,1,6,0
49,Gerard Perrier Industrie SA,0.03094242193717189,2699,6,0,2,0,13,6,6,0,0,9,0
50,Strongunion Technology Co Ltd,0.030636204551543818,4510,5,0,3,0,5,1,6,0,0,4,0
51,Gefran S.p.A.,0.02969726966680619,5842,11,0,8,0,4,9,18,0,0,11,0
52,Thinking Electronic Industrial Co Ltd,0.029433274961669045,1624,3,0,2,0,20,0,8,0,0,0,0
53,"Shenzhen Haoningda Meters Co., LTD.",0.029191736102258534,2090,5,0,0,0,10,7,3,0,1,1,0
54,Qualitau Ltd.,0.02888013346653499,2535,11,0,0,0,8,2,2,0,0,52,5
55,FEI Company,0.028752099190638442,2956,6,0,0,0,3,7,0,0,1,6,0
56,Asia Vital Components Co Ltd,0.027853547219115916,4019,8,0,2,0,4,0,4,0,0,5,0
