,name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
0,"ThinTech Materials Technology Co., Ltd.",0.9447319648154026,4453,10,2,2,11,45,23,39,9
1,SCI Engineered Materials Inc,0.7077391734635147,3399,9,0,2,2,16,19,36,24
2,Advanced Nano Products Co Ltd,0.6298652958238997,3121,9,0,12,28,4,15,31,4
3,Solar Applied Materials Technology Corp,0.4332924197672279,2298,7,0,3,2,33,6,12,10
4,MK Electron Co Ltd,0.28135775537787383,2796,5,0,0,10,0,3,4,0
5,Buwon Precision Sciences Co Ltd,0.2589346645694764,3417,7,0,1,24,0,9,6,0
6,Ushine Photonics Corp.,0.1840416466416599,2636,7,0,0,28,0,6,1,4
7,Onano Industrial Corp,0.1347456970258355,3576,7,0,0,7,0,0,0,7
8,"Star World Technology Co., Ltd.",0.10896798216632983,2895,6,0,3,4,0,0,2,4
9,Green Energy Technology Inc.,0.1066399821202888,3564,3,0,2,2,0,0,1,6
10,Tah Kong Chemical Industrial Corp,0.08490712558223121,2367,4,0,0,5,0,0,0,3
11,"IRICO Group Electronics Co., Ltd.",0.07904525333809737,3154,4,0,0,2,0,0,1,3
12,Zhejiang Crystal Optech Co Ltd,0.06990718696168086,3424,8,0,1,8,1,0,0,4
13,Hansol Technics Co Ltd,0.06844161895965589,3035,6,0,0,9,0,0,2,4
14,"e-Litecom Co., Ltd.",0.06699844031378642,2510,6,0,0,10,0,0,1,3
15,Inzi Display Co Ltd,0.06429870642687176,2875,7,0,4,12,0,0,2,4
16,E Ink Holdings Inc,0.06334293833562649,3848,5,0,5,5,0,0,2,5
17,Global Mixed-Mode Technology Inc.,0.061640198365325194,2499,5,0,0,6,0,0,0,2
18,Taeyang Electronics Co Ltd,0.06092677932349981,3218,8,0,2,11,4,1,5,0
19,Thin Film Electronics ASA,0.05972501663975059,6026,6,0,0,3,1,0,0,35
20,Hi-Light Tek Co Ltd,0.05811920227104844,2068,5,0,1,7,0,0,3,2
21,International Display Solutions Co Ltd,0.05715107417536633,2612,5,0,0,3,0,0,2,2
22,Unitel High Technology Corporation,0.05426198594886442,4049,8,0,1,5,4,0,3,3
23,"Sejin T.S Co., Ltd.",0.05312728788716676,2829,6,0,0,11,0,0,1,3
24,Inrad Optics Inc,0.049213093134154694,3037,7,0,2,4,18,0,1,5
25,Niko Semiconductor Co Ltd,0.04860660872557292,3594,5,0,0,6,2,0,1,2
26,Raydium Semiconductor Corporation,0.04752991183772393,4720,8,0,0,14,1,0,2,6
27,"FORCE MOS TECHNOLOGY CO., LTD.",0.046377979875732264,2997,7,0,0,7,4,0,2,2
28,YOUNYI Information Communication,0.04433196331694269,2865,7,0,0,12,0,0,1,3
29,"Wuhu Token Science Co.,LTD.",0.044275948957948896,2101,7,0,3,25,8,0,2,4
30,"Apollo Solar Energy, Inc.",0.040777157911732115,3532,10,0,1,11,23,0,1,7
31,"Giantplus Technology Co., Ltd.",0.0404100262320221,3766,8,0,0,15,0,0,2,4
32,FocalTech Systems Co Ltd,0.03885603038339787,3287,7,0,0,6,2,0,1,2
33,Jeng Shiang Precision Ind Co Ltd,0.03783829638683864,8731,7,0,0,10,3,1,0,4
34,"Fine DNC Co., Ltd.",0.03756098945538333,4110,6,0,5,11,8,0,1,3
35,CoAsia Microelectronics Corp.,0.036973156809922685,5670,8,0,3,10,2,0,1,3
36,Avatec Co Ltd,0.03482147372633329,2360,6,0,1,10,1,0,2,2
37,Shuz Tung Machinery Industrial Co Ltd,0.03380863480108463,2091,4,0,0,0,4,0,1,1
38,BOE Technology Group Co. Ltd,0.03334575633102903,4382,6,0,2,8,1,0,1,4
39,Rec Silicon ASA,0.03321181834313156,1841,4,0,4,0,1,0,0,1
40,BOTHHAND ENTERPRISE INC.,0.033061613164556025,4634,5,0,3,7,0,0,0,2
41,"Shenzhen Laibao Hi-Tech Co., Ltd.",0.03162559808149758,2690,8,0,0,15,0,0,1,3
42,Varitronix International Limited,0.03011800894827209,3371,4,0,4,5,0,0,0,1
43,Fitipower Integrated Technology Inc.,0.030083963569180326,2762,6,0,0,5,1,0,2,1
44,Info-Tek Corporation,0.029445494516121412,3119,7,0,3,6,0,0,1,1
45,Green World Hotels Co Ltd,0.029116180293646293,4213,8,0,0,17,0,1,2,0
46,"Jochu Technology Co., Ltd.",0.027637397718914956,3580,9,0,1,9,20,0,3,3
47,"OmniVision Technologies, Inc.",0.026814455671123474,3641,6,0,1,2,3,0,3,1
48,EFUN Technology Co Ltd,0.02665479722394154,3572,6,0,4,28,1,1,2,1
49,"FINE TECHNIX CO.,LTD",0.022665975690188463,1342,3,0,1,16,5,0,0,1
50,Hancom GMD Inc,0.022300272909347565,5020,7,0,9,10,7,0,1,2
51,"Solitron Devices, Inc.",0.022243073210871656,3856,6,0,2,3,3,0,0,1
52,Hicel Co Ltd,0.022088913754365877,3000,6,0,6,9,0,0,0,1
53,Mosel Vitelic Inc.,0.021862835050612688,4129,8,0,3,12,1,0,3,2
54,Xantia Corp,0.020607099080721183,8896,6,0,0,5,0,0,3,3
55,"Zhejiang Nanyang Technology Co.,Ltd.",0.01966821178454422,1940,6,0,0,24,5,0,0,2
56,S&S Tech Corp,0.01880056113750382,3255,7,0,1,18,5,0,0,2
57,"Ascent Solar Technologies, Inc.",0.01686568274780451,4420,4,0,0,1,0,0,3,1
58,LG Display Co Ltd. (ADR),0.015369105632373056,4774,5,0,0,16,0,0,5,2
59,TCL Display Technology Holdings Ltd,0.013597902387319255,6723,3,0,5,4,1,0,1,1
60,Mustang Industrial Corp,0.012595598763603558,6022,7,0,1,7,19,0,2,2
61,Twinwill Optronics Inc,0.012034486134832583,5242,8,0,4,17,3,0,4,2
62,"SHINKO ELECTRIC INDUSTRIES CO., LTD.",0.011937503531819962,2085,9,0,9,0,7,0,0,0
63,AU Optronics Corp (ADR),0.011937467856161036,11045,13,0,2,17,0,0,14,4
64,Ding He Mining Holdings Ltd,0.011633478943023377,3036,6,0,10,6,8,0,0,0
65,TANAKA CHEMICAL CORPORATION,0.011409701516425855,2571,5,0,10,7,6,0,1,0
66,Super Dragon Technology Co. Ltd.,0.011273207885670869,3352,8,0,12,4,20,0,4,0
67,IXYS Corporation,0.010957972578031192,4884,7,0,5,14,6,0,0,1
68,Microtips Technology Inc.,0.01084492472511042,11303,5,0,5,30,2,0,0,7
69,Swelect Energy Systems Ltd,0.01039806239131227,3919,9,0,19,3,0,0,2,1
70,Micro Base Technology Corp,0.010322984774292793,2502,4,0,3,3,4,0,1,0
71,Tongda Group Holdings Ltd.,0.010262004553684268,3538,7,0,17,2,12,0,3,0
72,Intermolecular Inc,0.010245521983090056,8334,3,0,5,2,0,0,4,1
73,"Hanchang Industry Co., Ltd.",0.010233451961798931,2253,5,0,3,5,6,0,1,0
74,AA Group Holdings Ltd,0.01014460610731715,2536,6,0,5,3,1,0,1,0
75,"Tianjin Benefo Tejing Electric Co.,Ltd.",0.010054571554343063,3184,6,0,4,4,5,0,2,0
76,ELE-CON Technology Co Ltd,0.009844066718622044,2706,6,0,4,6,4,0,2,0
77,AU Optronics Corp,0.009546868772315786,4432,5,0,2,12,0,0,1,1
78,Tronox Ltd,0.009291322336686711,4474,7,0,24,5,6,0,7,0
