,name,score,document_length,url_count,bicycle,bike,process
0,Vietnam Manufacturing and Export Limited,0.17383920264718536,2779,7,0,25,38
1,Sanyang Motor Co Ltd,0.1057649623739248,5861,9,4,13,10
2,Tandem Group plc,0.09331445399965156,4176,7,25,7,6
3,Merida Industry Co Ltd,0.08856426693988877,9184,11,53,166,8
4,HL Corp. (Shenzhen),0.05762230995737443,3679,10,22,44,2
5,SHIMANO INC.,0.04948320090255115,6760,7,53,58,3
6,Ideal Bike Corporation,0.04838718727404122,3542,9,68,112,0
7,Atlas Cycles (Haryana) Ltd,0.047897180276913524,1923,7,12,25,0
8,Zhonglu Co Ltd,0.04022376719285915,3529,7,16,2,3
9,National Metallic and Bicycles Indus,0.03929377037493672,5364,8,105,113,0
10,"Samchuly Bicycle Co., Ltd.",0.03786574930944177,4036,9,107,52,0
11,Bicicletas Monark SA,0.03754296674595981,2181,8,16,13,0
12,"Lee Chi Enterprises Co., Ltd.",0.036905064959991074,3397,7,13,0,3
13,Alton Sports Co Ltd,0.03540038669866039,3830,7,90,39,0
14,Ste Euro Cycles SA,0.03537863290875283,33413,10,273,771,11
15,Joy Industrial Co Ltd,0.033589918322889246,3769,7,20,27,1
16,China Jialing Industrial Co Ltd (Group),0.0335399718638428,5720,9,31,50,2
17,Giant Manufacturing Co Ltd,0.030520079002250004,7014,12,75,68,1
18,"Jinshan Development & Cons. Co., Ltd.",0.030278523005938585,2924,4,27,7,1
19,ZAP,0.02997646567455863,5417,2,0,0,3
20,"Chongqing Jianshe Motorcycle Co., Ltd",0.028540949009728835,4738,6,2,3,4
21,Amanasu Techno Holdings Corp,0.02758366494113573,7218,3,0,0,13
22,Accell Group N.V.,0.024246212798457362,2813,10,16,20,0
23,Pihsiang Machinery MFG Co Ltd,0.023817735475181793,3626,4,5,0,1
24,KR Motors Co Ltd,0.014472133971972567,2883,3,0,5,0
25,Sun Race Sturmey-Archer Inc.,0.013447391373337636,5508,6,18,12,1
26,Hero Motocorp Ltd,0.012041771631112303,9307,10,0,34,5
27,"Yamaha Motor Co., Ltd.",0.011502817231753917,5131,4,7,23,0
28,China Bicycle Co Holdings Ltd,0.009769262677678674,1916,7,48,0,0
