,name,score,document_length,url_count,computer,cooling,desktop,heat pipe,led,module,peripheral,server,thermal
0,Asia Vital Components Co Ltd,1.2453125217005558,3104,8,12,7,0,6,14,6,2,3,15
1,Ban Leong Technologies  Ltd,0.373821068768528,2146,11,1,7,7,0,3,0,1,0,17
2,ADDA CORP,0.28971104342309767,3973,10,4,27,0,0,5,6,0,0,19
3,technotrans AG,0.2787996386713703,3377,9,1,21,0,0,12,0,3,0,0
4,Versarien PLC,0.22496514853456132,1794,4,0,0,0,0,4,0,0,0,6
5,Viatron Technologies Inc,0.20228988441998302,2560,4,0,0,0,0,5,0,0,0,7
6,Sun.King Power Electronics Group Ltd,0.17935992824519653,3980,7,1,7,0,0,4,11,0,0,0
7,Silitech Technology Corporation,0.15677839344264882,3258,8,17,5,4,0,9,15,3,0,0
8,Shengyi Technology Co Ltd,0.15441793599058742,3121,7,5,0,0,0,1,0,0,0,7
9,Hengli Petrochemical Co Ltd,0.14586104232003208,4223,6,1,3,0,0,5,0,0,0,0
10,Global Standard Technology Co Ltd,0.14385694024092616,2482,8,0,0,0,0,9,0,0,0,13
11,"Jhen Vei Electronic Co., Ltd.",0.14315391312126285,1673,3,4,1,0,0,2,0,2,1,0
12,Tamagawa Holdings Co Ltd,0.13826927674209685,2137,4,0,0,0,0,0,3,0,0,4
13,SINGULUS TECHNOLOGIES  AG,0.1292556198977861,2876,7,2,0,0,0,9,0,0,3,7
14,PC Direct,0.12830737366285824,2804,4,16,2,7,0,7,0,2,11,0
15,AIA Engineering Ltd,0.12680130502396683,3110,6,0,0,0,0,3,0,0,0,6
16,Ferrotec Corporation,0.1205628363166524,2912,11,0,8,0,0,3,36,0,0,26
17,SOLUETA Co Ltd,0.11635581907476894,2750,7,1,0,0,0,12,0,0,0,16
18,"KAWATA MFG. CO., LTD.",0.11598877273077168,2653,5,1,1,0,0,1,0,0,0,3
19,"Soaring Technology Co., Ltd.",0.11371932768428869,3421,8,6,0,1,0,2,0,3,0,4
