,name,score,document_length,url_count,cleaning product,health drink,health food,health supplement,skin care,supplement
0,Industri Jamu dan Farmasi Sd Mncl Tbk PT,0.3158966556051341,4616,5,0,5,0,0,2,6
1,Real Nutriceutical Group Ltd,0.30255127265578313,2538,7,0,10,5,0,0,25
2,Glory Biotech Co Ltd,0.30040363394676867,1993,4,0,0,7,0,0,1
3,Tien Liang Biotech Co Ltd,0.28135902258804113,4824,4,2,0,7,0,0,0
4,TCI Co Ltd,0.20684746046751015,2327,5,0,0,5,2,1,6
5,"Ildong Pharmaceutical Co., Ltd.",0.15940117934970294,4218,5,0,0,9,0,0,0
6,"Korean Drug Co., Ltd.",0.15783133055389098,1718,4,0,0,4,0,0,0
7,Wooridul Pharmaceutical Ltd,0.13843636293151923,4347,6,0,0,7,0,0,5
8,"Daehan New Pharm Co., Ltd.",0.1278634072480062,3359,5,0,0,1,1,4,4
9,"SHAKLEE GLOBAL GROUP,INC.",0.11445419879489772,3087,3,0,0,3,0,2,2
10,Kalbe Farma Tbk PT,0.11274035952164115,2943,5,0,1,0,0,1,5
11,Nanjing Sinolife United Co Ltd,0.1103451729772433,3414,8,0,0,15,0,2,15
12,Vitaco Holdings Ltd,0.10908135777846806,3982,7,0,0,15,4,0,21
13,Kyung Nam Pharm Co Ltd,0.09578941148196654,6196,5,0,0,5,1,0,1
14,Bioalpha Holdings Bhd,0.09372413434156485,3993,7,0,0,0,17,0,1
15,NatureWise Biotech & Medicals Corp,0.09347783749689623,4908,4,0,0,4,1,0,6
16,Celestial Biolabs Limited,0.09296998710530911,4089,1,0,1,0,0,0,0
17,RM Group Holdings Ltd,0.0923749808214947,3709,6,0,0,2,8,0,11
18,Vita Life Sciences Limited,0.09100846098795831,1974,5,0,0,2,0,0,7
19,Shanxi C&Y Pharmaceutical Group Co Ltd,0.08942201389726795,3109,4,0,0,4,0,0,0
20,Rui Kang Pharmaceutical Group Invest Ltd,0.08138766139790483,3536,4,0,0,0,5,0,0
21,Wai Yuen Tong Medicine Holdings Limited,0.0799450783479878,6748,7,0,0,17,1,3,5
22,Zeria Pharmaceutical Co Ltd,0.07822803612423179,2860,4,0,0,3,0,0,2
23,Yuyu Pharma Inc,0.07542102288986274,1811,4,0,0,0,2,0,2
24,Vitality Products Inc,0.074159800681873,6656,10,0,0,21,6,0,19
25,Jerusalem Pharmaceuticals Co Ltd,0.07385179973827698,3506,2,0,0,0,0,4,3
26,KOREA UNITED PHARM INC,0.07325184437548328,2012,2,0,0,2,0,0,0
27,Syngen Biotech Co Ltd,0.07076443527595226,3945,4,0,0,3,2,0,10
28,"Imagenetix, Inc.",0.06814241754469785,3441,8,0,0,0,1,6,12
29,DaehanPharmaceutical,0.06618293207032742,4141,8,0,0,0,1,2,6
30,"Shanghai Jiaoda Onlly Co., Ltd",0.06206768810004254,3570,6,0,0,2,1,0,5
31,Nutritional Holdings Ltd,0.06138851002969655,5002,8,1,0,0,0,0,9
32,Daewon Pharmaceutical Co Ltd,0.06077097919756366,2789,4,0,0,2,0,0,3
33,GlaxoSmithKline Pakistan Limited,0.06057111622183164,4287,3,0,0,1,0,2,4
34,Jiangzhong Pharmaceutical Co Ltd,0.05671192717966785,3277,1,0,0,2,0,0,1
35,Lescarden Inc.,0.055355194236480984,5055,9,0,0,1,0,25,20
36,China YCT International Group Inc.,0.05202914031009791,5178,5,0,0,1,2,2,9
37,Croda International Plc,0.049669984170483274,4365,5,0,0,0,0,3,4
