,name,score,document_length,url_count,analog,card,card personalization,certificate,consulting,test,training
0,Nippon RAD Inc.,0.16822744558691444,2197,3,2,0,0,0,7,1,0
1,Kudelski SA,0.13147630536304775,2003,5,1,3,0,0,3,3,2
2,Institut Igh dd,0.12369546187756565,2952,6,0,1,0,16,6,9,0
3,Nixu Oyj,0.10915563070745854,2549,4,0,1,0,11,11,2,0
4,SOCIETE MAGHREBINE DE MONTIQUE,0.10592176375991635,5778,8,0,36,2,1,13,9,16
5,Visiativ SA,0.0950532048681913,3197,3,0,0,0,4,3,1,0
6,Triis Inc,0.09329818459003557,3763,6,0,0,0,21,0,21,6
7,United Integrated Services Co Ltd,0.07659756439589603,3217,3,1,0,0,0,3,2,0
8,AF AB,0.07115533067178807,754,3,0,3,0,0,3,3,0
9,Genpact Limited,0.06590432212918272,6603,8,0,34,0,11,12,4,5
10,MOLD-TEK Technologies Limited,0.05955686142668803,3991,5,2,1,0,1,0,15,4
11,Jiangsu Province Comm P & D Inste Ltd Co,0.057165839494136166,8616,4,0,3,0,10,0,7,1
12,Top Resource Conservation Engineering,0.055868547698484546,5003,5,0,6,0,2,0,6,4
13,Danlaw Technologies India Limited,0.04910159317186969,3798,6,2,2,0,0,4,18,1
14,Wison Engineering Services Co Ltd,0.04694293746526346,6278,5,0,0,0,14,10,0,4
15,Medical Marijuana Inc,0.046551576516207636,8946,12,3,4,0,4,3,19,0
16,"JASTEC CO., LTD.",0.042731610699597654,3171,6,0,1,0,3,2,8,1
17,Novabase SGPS SA,0.04107457020219417,5032,7,0,6,0,1,3,2,2
18,Technvision Ventures Ltd,0.0410433081565536,4925,10,2,1,0,2,4,21,0
19,Goldstone Technologies Ltd.,0.03938333508034029,7887,8,2,2,0,4,11,21,2
20,Fidelity National Information Services,0.03734035547775216,9492,7,0,80,6,0,21,84,0
21,Tech-Value SpA,0.03590365906569988,1783,4,0,0,0,1,4,5,1
22,Edu Fin Inv JSC,0.03415005530320758,5348,8,0,72,0,15,0,9,0
23,Sondotecnica Engenharia De Solos SA,0.0338570265610721,2957,5,0,7,0,0,3,3,0
24,Datalex plc,0.03292509470950676,1886,4,0,0,0,1,1,5,1
25,Serma Technologies SA,0.03251357423241257,5636,11,1,5,0,4,21,34,23
26,Kamalakshi Finace Corporation Ltd,0.0314770304816877,6080,6,0,1,0,2,2,5,0
27,Fabasoft AG,0.03001085597659326,1981,4,0,0,0,1,0,6,0
28,Wisec Global Ltd,0.02741988573335518,5238,8,0,1,0,5,3,18,3
29,Cartesian Inc,0.0273436915177804,3364,7,0,6,0,0,0,6,0
30,EVRY ASA,0.02730740898929117,3365,6,0,26,0,0,3,3,0
31,RealDolmen NV,0.02658078223121512,3076,4,0,0,0,1,5,0,1
32,"Guomai Technologies, Inc.",0.02636620346100007,2109,5,0,0,0,1,8,3,2
33,Wise Group AB,0.026024053279284982,3430,4,0,2,0,1,2,3,0
34,Mistras Group Inc,0.025691070838500012,5437,12,4,0,0,2,3,48,14
35,Primeserv Group Limited,0.02551330512473918,3773,9,0,2,0,5,13,2,49
36,AGS Corp,0.024899828423252838,2781,6,0,2,0,0,4,5,4
37,Borneo Industrial Fishery Corp Inc,0.024560094198719074,7910,4,0,0,0,2,6,3,0
38,Asseco South Eastern Europe SA,0.022664808590943587,4262,6,0,8,0,0,6,10,2
39,Softfront,0.022433010986188207,2734,4,0,2,0,0,3,7,2
40,Amaru Inc.,0.022419694892812564,7538,7,0,17,0,0,4,2,0
41,Emakina Group SA,0.022321800541539726,2875,4,0,0,0,1,0,3,0
42,JUST PLANNING INC.,0.021949583391049243,3017,4,0,0,0,1,1,2,1
43,Prochem SA,0.021759521214239613,2944,4,0,2,0,0,4,6,11
44,Tecnocom Telecomunicaciones y Energia SA,0.021624167491049465,3260,4,0,6,0,0,14,4,4
45,CMC Limited,0.020602696659258266,2112,5,0,2,0,0,7,6,3
46,DTS Corp,0.019424667848076792,9014,12,5,3,0,0,3,59,38
47,Info Drive Software Ltd,0.019240477090035582,4766,6,0,1,0,3,6,13,1
48,Inspired Energy PLC,0.01896370222134286,3743,7,0,4,0,0,0,6,0
49,FCS Software Solutions Limited,0.018386325417756234,4546,7,0,2,0,2,11,16,4
50,EFactor Group Corp,0.018385438186546588,5981,7,0,3,0,1,8,4,2
51,High Co SA,0.018191506302288715,3604,7,0,3,0,1,2,14,0
52,Vama Industries Ltd,0.017845350915391207,4390,7,0,1,0,3,4,17,0
53,SMRT Holdings Bhd,0.017483298224763452,2758,5,0,0,0,0,13,3,24
54,Infotel SA,0.01737515773816966,3522,8,0,0,0,1,8,7,3
55,Dynacons Systems & Solutions Ltd,0.017249971513730714,5216,9,0,2,0,3,7,18,0
56,Trex Acquisition Corp,0.0167782819778863,3876,6,0,4,0,0,6,7,1
57,Hwa Create Co Ltd,0.016467505574359487,3109,6,0,0,0,2,0,17,2
58,Indra Sistemas SA,0.01641473253319045,3287,4,0,3,0,0,6,10,2
59,Cybertech Systems and Software Ltd,0.01616306219692568,6476,8,0,0,0,3,2,16,4
60,TSS Inc,0.0159564426591501,4085,5,0,5,0,0,0,14,18
61,A.L.D. Advanced Logistics Developments,0.014903392302494574,1989,6,0,0,0,0,8,10,8
62,KTCS Corp,0.014887720557568623,3878,8,0,2,0,0,14,6,49
63,Eficom-Sinersio SA,0.014592760932838797,4315,6,0,1,0,0,8,3,5
64,Information & Networking Technology JSC,0.014503343062911307,4956,6,0,1,0,1,5,5,0
65,Neos Corp,0.014417751993073952,4621,8,0,2,0,1,3,14,1
66,AG dd,0.014334336914926448,3295,3,0,0,0,0,0,9,9
67,Shanghai DragonNet Technology Co Ltd,0.014296175578768208,2744,5,0,0,0,0,5,4,6
68,DGA SA,0.01409298181289931,5315,5,0,3,0,0,1,3,0
69,Sunyard System Engineering Company Ltd.,0.014042269678437412,4750,8,0,9,0,0,16,8,0
70,Vinacontrol Group Corp,0.013989177873423027,3559,8,0,0,0,2,4,20,4
71,Performance Technologies SA,0.013797599492407444,2737,6,0,0,0,0,9,4,13
72,3i Infotech Ltd,0.01375961465620412,7014,9,0,15,0,0,12,22,4
73,Vidavo SA,0.013410179671948432,2960,6,0,0,0,0,0,3,13
74,AMERICATOWNE Inc,0.013360034960411035,8015,10,0,0,0,2,6,10,4
75,YGSOFT INC.,0.0133287499147603,2060,4,0,0,0,0,5,3,3
76,GaiaX Co Ltd,0.01328838284690294,2143,8,0,0,0,1,2,12,0
77,New Relic Inc,0.013242911036248726,6388,5,0,5,0,0,0,1,0
78,Sigmaxyz Inc,0.013135040734536129,3540,7,0,3,0,0,13,4,1
79,"Minori Solutions Co.,Ltd.",0.012985186248652086,3326,6,0,2,0,0,7,5,1
80,plenum AG,0.012829026469614431,6922,7,0,15,0,0,17,2,0
81,Talex SA,0.012782390311087148,3223,6,0,0,0,0,9,6,7
82,Connectyx Techlgs Hldgs Grp Inc,0.01277483580162119,3409,7,0,2,0,0,8,2,0
83,EPCO Co Ltd,0.012762399041264241,2313,5,0,1,0,0,6,2,0
84,CCR Logistics Systems AG,0.012760650294753312,3392,6,0,0,0,0,7,6,18
85,Youji Corporation,0.01227193257580793,2273,4,0,0,0,0,3,1,3
86,Zalaris ASA,0.011528818114196246,3016,8,0,0,0,3,34,5,0
87,TriNet Group Inc,0.011519960492545861,5126,6,0,2,0,0,4,4,3
88,"Infinite Group, Inc.",0.011327480254238766,2459,6,0,0,0,0,2,7,4
89,CN Dragon Corp,0.011248221477685073,2781,6,0,0,0,0,7,6,4
90,Aurum Soft Systems Ltd,0.011211633829748432,6066,8,0,1,0,2,4,17,2
91,Norcon Plc.,0.011194341996400278,3483,6,0,1,0,0,3,6,2
92,Science Group PLC,0.010935810750769564,2322,4,0,0,0,0,6,5,3
93,RIB Software AG,0.01091300282626332,4256,7,0,0,0,0,3,2,10
94,Cicero Inc,0.010642295249605502,3298,5,0,0,0,0,0,4,11
95,Vendator AB,0.010468818979324406,2812,3,0,1,0,0,1,3,1
96,KPIT Technologies Ltd,0.010032494825618868,7859,11,1,1,0,0,19,19,5
97,Beijing SPC Environment Prtcn Tech CoLtd,0.009918420041280093,3640,2,0,0,0,0,0,7,18
98,IB Maroc.com,0.009909093680150978,2207,7,0,0,0,0,16,2,5
99,Engility Holdings Inc,0.009875165637332312,5908,10,0,0,0,1,14,12,23
100,MCT Danismanlik AS,0.009746803826273902,3569,6,0,1,0,0,21,2,13
101,Beijing Snsoft Technology Co Ltd,0.009669685323392093,3805,5,0,2,0,0,3,1,0
102,JGC Corp,0.009539728328842041,4017,6,0,0,0,1,0,11,1
103,Workforce Holdings Limited,0.009473771505838408,3602,8,0,0,0,0,15,2,31
104,VICOM Limited,0.009324034937665971,7711,12,1,5,0,0,10,49,4
105,China Education Resources Inc.,0.00923008262176043,3354,8,0,0,0,0,0,2,26
106,GP Strategies Corp,0.009204673851925133,5804,10,0,0,0,3,21,4,64
107,Iress Ltd,0.009160188095124838,3938,5,0,0,0,0,6,1,4
108,Ital TBS SpA,0.00906370282414648,2013,4,0,0,0,0,0,2,3
109,"Information Services Int'l -Dentsu, Ltd.",0.009040216983551261,1412,1,0,0,0,0,0,1,2
110,American Business Services Inc,0.00899627610098361,2980,5,0,1,0,0,3,1,1
111,"OmniComm Systems, Inc.",0.008894652433529488,6275,10,0,3,0,0,15,11,14
112,SilverSun Technologies Inc,0.008603112812646625,5151,5,0,0,0,0,11,3,10
113,Tianjin Tenio Archtr and Eng Co Ltd,0.008483082127700946,6103,4,0,1,0,0,5,3,2
114,Kycom Holdings Co Ltd,0.0083271366720767,3909,5,0,0,0,0,8,3,3
115,Hualien Media Intl Co Ltd,0.008314200314013693,9103,5,0,0,0,1,0,6,1
116,Tech Mahindra Ltd,0.00828845060504941,7068,9,1,5,0,0,20,32,0
117,Shanghai Yanhua Smartech Group Co Ltd,0.008227613164547369,3171,6,0,1,0,0,11,3,2
118,Mindteck India Ltd,0.007929327990775625,4806,8,0,0,0,1,11,18,5
119,Semcon AB,0.007724089526701672,5513,11,0,2,0,0,2,19,25
120,Fuchun Communications Co Ltd,0.007534053305424259,2178,3,0,1,0,0,1,1,0
121,Itway SpA,0.007505929397805798,4992,6,0,0,0,0,2,6,6
122,NEC Networks & System Integration Corp,0.007476189246220983,4767,5,0,3,0,0,6,10,0
123,Melstar Information Technologies Ltd,0.0074274951270067915,5285,6,0,1,0,1,7,11,0
124,Telnet Holding,0.0073630818741934195,6635,9,0,1,0,1,17,10,7
125,VSE Corporation,0.0073463842104088935,4014,10,0,0,0,0,20,6,11
126,Maruwa Unyu Kikan Co Ltd,0.00734185325576777,5133,7,0,2,0,0,7,5,0
127,Enea AB,0.007268469975100706,3417,6,0,1,0,0,2,10,3
128,"The Hackett Group, Inc.",0.007223048309071417,5625,9,0,1,0,1,26,7,10
129,Odesia Group Inc,0.007182611646275612,2578,4,0,0,0,0,4,3,2
130,Tata Consultancy Services Limited,0.006961871293150609,7021,10,1,1,0,0,21,12,1
131,Virinchi Technologies Ltd,0.006792397553286445,6906,11,0,5,0,0,23,21,5
132,EFESO Consulting,0.006787150754006997,906,2,0,0,0,0,16,1,0
133,Begbies Traynor Group plc,0.006627691530878751,4743,8,0,1,0,0,9,4,3
134,Nucleus Software Exports Ltd.,0.006521838657770206,8113,8,0,6,0,0,10,23,6
135,Mattersight Corp,0.006268756324511673,5562,8,0,0,0,0,5,9,5
136,Totvs SA,0.006183711682407352,1554,2,0,0,0,0,8,2,0
137,Aftek Ltd,0.006162041305688546,2830,6,0,2,0,0,0,16,0
138,Bamboo Capital JSC,0.006101925917065334,4954,7,0,3,0,0,13,11,0
139,"CDS Co., Ltd.",0.006025484460176775,4625,6,0,0,0,0,4,7,3
140,transtec AG,0.005974994033270882,3194,6,0,0,0,0,2,4,2
141,Tai Shing International (Holdings) Ltd.,0.005960139917514053,4105,3,0,0,0,0,3,7,3
142,Dagang Nexchange Bhd,0.00592569462144136,8325,10,0,0,0,2,4,20,0
143,Cybercom Group AB,0.005920668223909381,4677,9,0,1,0,0,8,18,7
144,Beijing Guchngrt Sci and Tech Co Ltd,0.005880010131455521,2932,5,0,0,0,0,1,8,3
145,Dohwa Engineering Co Ltd,0.005874439144745233,2983,5,0,0,0,0,10,4,2
146,WS Atkins PLC,0.005824587770124112,5068,7,0,1,0,0,6,8,2
147,NJS Co Ltd,0.005795256560216211,6114,8,0,0,0,0,16,7,9
148,Datalex plc (ADR),0.005760920640242802,2794,5,0,0,0,0,5,4,1
149,"PFSweb, Inc.",0.005751038222955392,8248,8,0,2,0,0,15,5,5
150,Asia Corporate Development PCL,0.005692584947441267,2850,2,0,1,0,0,0,3,1
151,Itera ASA,0.005515986703814854,3332,5,0,0,0,1,24,3,1
152,"ExlService Holdings, Inc.",0.005506176809933811,4360,7,0,1,0,0,9,5,1
153,Press Ganey Holdings Inc,0.005464204483810445,5433,10,0,1,0,1,23,5,2
154,Zylog Systems Ltd.,0.005445485748947974,3624,6,0,2,0,0,14,12,0
155,Tefen Industrial Eng. Mgt.&Sys. Analysis,0.005379549155857522,2990,4,0,1,0,0,10,5,0
156,Secunet Security Networks AG,0.005341605195728385,2652,5,0,0,0,0,7,15,4
157,Hexaware Technologies Limited,0.00532141935385457,4948,6,0,0,0,0,5,17,8
158,Technodex Bhd,0.005299862762267897,7463,9,0,2,0,0,14,27,12
159,iDimension Consolidated Bhd,0.005281029918524332,5460,10,0,1,0,0,4,7,1
160,"Cyber Com Co., Ltd.",0.005262354787747266,2566,5,0,0,0,0,2,9,2
161,Japan Asia Group Ltd,0.005228866784575774,4699,4,0,0,0,0,7,3,2
162,Qualitech PCL,0.00520347506475438,2412,6,0,0,0,1,0,25,1
163,NIIT Technologies Ltd.,0.0051690948287129,5577,8,0,0,0,1,4,38,21
164,Petrovietnam Power Engineering Con JSC,0.005168014462754583,4581,9,0,0,0,0,15,5,6
165,Progressive Impact Corporation Bhd,0.0051429019710548035,2601,4,0,0,0,0,7,11,2
166,Teledyne Technologies Incorporated,0.0051166058290672235,4976,7,0,1,0,1,0,14,1
167,Swisslog Holding Ltd,0.005114206765599039,6611,12,0,0,0,0,9,1,15
168,Koyo International Ltd,0.005085547142539321,3107,4,0,0,0,0,1,1,2
169,"CTI Engineering Co., Ltd.",0.005032597803927131,4645,7,0,2,0,0,14,10,1
170,Acando AB,0.0049809813548115575,1862,7,0,0,0,0,20,7,1
171,IFCA MSC Bhd,0.004809160874065494,3376,7,0,0,0,0,4,8,2
172,CardioGenics Holdings Inc,0.004779819938969906,7596,14,0,254,0,2,0,97,0
173,"Willdan Group, Inc.",0.004705143834610185,4592,6,0,0,0,0,22,1,9
174,Axcelasia Inc,0.004700931036980717,4372,10,0,0,0,0,17,8,5
175,Root9b Technologies Inc,0.004698139600344594,12416,9,0,0,0,0,5,11,33
176,NS Solutions Corp,0.004459070605975372,1955,3,0,0,0,0,3,0,1
177,Infosys Ltd ADR,0.004424071287462229,12137,12,0,3,0,1,27,16,6
178,Socialwire Co Ltd,0.004386660112880837,4374,8,0,1,0,0,7,7,0
179,MVV Holding publ AB,0.0043735989190681465,33221,5,0,62,0,11,10,29,1
180,Infosys Ltd,0.004269431639049483,15367,11,0,6,0,1,43,13,5
181,Bastogi SpA,0.004144954562273375,3440,2,0,1,0,0,0,10,0
182,"CBIZ, Inc.",0.004015363239394805,8227,12,0,11,0,0,104,38,11
183,MITCON Consultancy & Engineering Svs Ltd,0.003972996173614917,7788,9,0,0,0,0,67,11,85
184,SEVEN PRINCIPLES AG,0.003925323208325626,2021,6,0,0,0,0,10,3,0
185,Bureau Veritas SA,0.003873661665528383,9874,13,0,1,0,3,20,84,26
186,North Loong Technology Beijing Co Ltd,0.0038340071947470028,2021,2,0,0,0,0,0,2,1
187,IR Japan Holdings Ltd,0.003760916439914068,3221,8,0,1,0,0,13,10,0
188,Train Travel Holdings Inc,0.0037215056658781334,5729,7,0,0,0,0,12,5,3
189,KBC Advanced Technologies Plc,0.0036960302923213107,9108,13,0,1,0,0,40,8,21
190,"Navigant Consulting, Inc.",0.003635560003468292,3073,7,0,2,0,0,31,4,0
191,Multipolar Technology Tbk PT,0.0036328567789287716,2698,7,0,0,0,0,13,3,1
192,Computer Engineering & Consulting Ltd,0.003576110835622429,3069,9,0,3,0,0,48,4,0
193,Mirae ING Co Ltd,0.0035455664279403915,1975,7,0,0,0,0,7,6,0
194,AXISCADES Engineering Technologies Ltd,0.003543234869109653,6691,7,1,1,0,0,0,44,2
195,Wipro Limited (ADR),0.003448731857974848,9400,12,0,8,0,0,36,24,0
196,Yatai Duhui Beijing Urban P & B GDRI,0.0033952093979452602,12241,5,0,3,0,2,6,7,1
197,Gexeed Co Ltd,0.003319536578800174,3395,6,0,0,0,0,17,5,1
198,Power Engineering Consulting JSC 1,0.003180927824233272,3478,7,0,0,0,0,37,5,4
199,"CROSS CAT CO., LTD.",0.0031223191862506773,3264,7,0,0,0,0,19,9,2
200,Clearstar Inc,0.0030257729400178044,2178,6,0,1,0,0,1,15,0
201,ERI Holdings KK,0.003016068906392607,4958,5,0,1,0,0,1,10,0
202,SQS Software Quality Systems AG,0.0029593444204748104,2684,6,0,0,0,0,16,42,6
203,Pharma Bio Serv Inc,0.0029466362937328166,5952,8,0,0,0,0,36,13,7
204,"Syntel, Inc.",0.0029131948290683947,5607,10,0,1,0,0,7,31,6
205,Multiconsult ASA,0.0028094403544187577,2854,10,0,0,0,0,15,9,0
206,Blue Calypso Inc,0.002807087237118186,3099,2,0,0,0,0,1,0,1
