name,score,document_length,url_count,analog,analyze,frequency counter,gauge,measurement,power supply,spectrum analyzer,test
Euro Tech Holdings Co. Ltd.,0.794397062798321,6381,10,1,47,0,2,1,0,0,35
Naito & Co Ltd,0.4884850200294436,1619,4,0,0,0,10,7,0,0,1
"NIHON DENKEI CO., LTD.",0.22150658405688564,2699,9,0,5,1,0,1,2,0,38
MARUBUN CORPORATION,0.15596443917452157,2563,6,6,1,0,0,8,0,0,10
SUN-WA TECHNOS CORPORATION,0.13616879920375158,2045,8,0,0,0,0,0,27,0,6
Yleiselektroniikka Oyj,0.12794075833905288,3580,5,0,0,1,1,2,2,1,25
WPG Holdings Limited,0.0670406135081718,3409,4,2,1,0,0,0,6,0,7
"Kyokuto Boeki Kaisha, Ltd.",0.06524209675616573,4491,9,0,2,0,2,4,0,0,6
"TOMITA CO., LTD.",0.04526035271449039,4660,2,0,0,0,4,1,0,0,9
"Answer Technology Co., Ltd.",0.04368990110017695,4621,7,9,0,0,0,0,0,0,11
TRUSCO NAKAYAMA CORPORATION,0.040830241170994326,4243,4,0,0,0,2,9,1,0,2
"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.03863638581659392,3948,5,0,1,0,0,3,1,0,4
Tomen Electronics Corp,0.03613393936705932,4581,7,12,0,0,0,1,2,0,2
MISUMI Group Inc.,0.03006065259805067,3788,4,0,0,0,0,10,1,0,3
SEIKA CORPORATION,0.02903070559259303,2500,3,0,0,0,0,10,0,0,3
Chander Electronics Corp.,0.023747106771837747,2273,6,3,0,0,0,0,0,0,9
"Makus, Inc.",0.023224368041307956,4947,7,5,0,0,0,0,0,0,20
Spirox Corporation,0.022769715125547655,3178,4,3,0,0,0,2,0,0,57
"TAKACHIHO KOHEKI CO., LTD.",0.02219516586870728,3537,5,6,0,0,0,0,0,0,1
LITE-ON JAPAN LTD.,0.02061877638321015,3148,6,3,0,0,0,0,2,0,4
"WT Microelectronics Co., Ltd.",0.015749610061639743,2104,3,3,0,0,0,0,0,0,1
"VITEC CO., LTD.",0.009113640462454902,2231,5,0,0,0,0,5,0,0,1
Electrocomponents plc,0.008925597358035843,6304,8,0,0,0,0,4,2,0,10
"Howteh Technology Co., Ltd.",0.005762274865151433,3357,5,2,0,0,0,0,0,0,4
"TESSCO Technologies, Inc.",0.004868876519676459,2164,5,0,0,0,0,0,2,0,8
Nichiden Corp,0.00449640232136642,4418,3,0,0,0,0,1,1,0,4
ASEC International Corporation,0.004387113147299498,3363,5,1,0,0,0,0,0,0,8
Solomon Technology Corporation,0.0041769452511760475,3292,4,1,0,0,0,0,0,0,3
"HAGIWARA ELECTRIC CO., LTD.",0.0031946643566917792,2156,1,1,0,0,0,0,0,0,1
Flowtech Fluidpower PLC,0.002569229641409549,3666,6,0,0,0,0,0,1,0,10
AIKO CORPORATION,0.002411936000628299,2746,5,0,0,0,0,1,0,0,4
OSAKA KOHKI CO LTD,0.001680251845117332,1878,2,0,0,0,0,2,0,0,1
YKT CORPORATION,0.0014399370796649611,2461,1,0,0,0,0,1,0,0,1
RADA Electronic Ind. Ltd.,0.0014395050281151007,5076,7,0,0,0,0,2,0,0,5
"Uematsu Shokai Co., Ltd.",0.0009417155920534876,4083,3,0,0,0,0,2,0,0,1
"Trust-Search Corp.,Ltd.",1.2221133585794198e-05,4300,6,0,0,0,0,0,0,0,11
"SUGIMOTO& CO., LTD.",1.1319607579593168e-05,2337,3,0,0,0,0,0,0,0,5
Leeport (Holdings) Limited,1.1307004355546382e-05,4335,3,0,0,0,0,0,0,0,9
"Toshin Group Co., Ltd.",7.313894219059078e-06,3259,4,0,0,0,0,0,0,0,4
"ZHONGYEDA ELECTRIC CO.,LTD.",6.850765093063415e-06,2466,3,0,0,0,0,0,0,0,3
Rexel SA,1.033866705370572e-06,2917,1,0,0,0,0,0,0,0,1
