name,score,document_length,url_count,access control,automatic door,door,door closer,hardware,key management,lock,padlocks,safes,security door
Safestyle UK PLC,0.755536523462978,3860,10,0,0,97,0,1,0,2,0,113,1
Ace Hardware Indonesia Tbk PT,0.5227194116215659,8147,11,0,0,62,0,96,0,27,24,8,0
Agta Record AG,0.3419505266233317,5334,8,3,15,46,0,2,0,4,0,0,3
Sanwa Holdings Corp,0.12744395002265516,3439,7,1,14,98,0,0,0,0,0,0,0
Nergeco SA,0.07149833870020504,3337,10,1,2,65,1,0,0,1,0,0,0
Hardware and Lumber Limited,0.05972945965450176,4907,14,0,0,7,0,110,0,0,0,0,0
RONA Inc.,0.05678036811235227,24443,14,0,0,377,1,117,0,57,0,0,0
"PGT, Inc.",0.05522202020497089,5868,17,0,0,166,0,3,0,2,0,6,0
Saudi Company for Hardware,0.03413808878319224,4355,8,0,0,9,0,55,0,2,0,0,0
Daiken Co Ltd,0.03241855962098529,4118,10,0,0,14,2,10,0,2,0,0,0
Chuan Huat Resources Bhd,0.026677726365664286,4477,7,0,0,3,0,33,0,1,0,0,0
"Lowe's Companies, Inc.",0.026023815517392884,17842,9,0,0,10,0,84,0,21,0,0,0
Nice S.p.A.,0.025956706942095967,4618,8,0,0,29,0,0,0,2,0,4,0
Bunka Shutter Co Ltd,0.024352646916043854,3536,10,0,1,57,0,0,0,2,0,1,0
Toyo Shutter Co Ltd,0.023214883342712028,3948,8,0,0,38,0,11,0,3,0,0,0
"Guangdong Mingzhu Group Co., Ltd.",0.01944771697904146,3489,5,0,0,0,0,5,1,6,0,0,0
E. Bon Holdings Ltd,0.019200210350256618,3615,7,0,0,1,0,14,0,6,0,0,0
"ALMETAX MANUFACTURING CO., LTD.",0.01829001996080505,4451,8,0,0,17,0,0,1,6,0,0,0
Metcash Limited,0.017637171545680872,3163,4,0,0,0,0,43,0,0,0,0,0
Ensor Holdings plc,0.014555095483215706,7057,7,3,0,21,0,0,0,2,0,0,0
Yawal SA,0.0117710411618244,3162,9,0,1,44,0,0,0,0,0,0,0
Bernabe Cote D'Ivoire SA,0.011040526791986994,2591,4,0,0,0,0,10,0,3,0,0,0
"Test Rite International Co., Ltd.",0.010422217046565884,2600,5,0,0,2,0,7,0,3,0,0,0
Nichiden Corp,0.010073352947810357,4074,5,0,0,0,0,1,0,23,0,0,0
Societe Tunisie Profiles Aluminium SA,0.009579730353397795,4289,6,0,0,11,0,0,0,1,0,2,0
"Builders FirstSource, Inc.",0.0067204055208977456,3050,6,0,0,15,0,3,0,0,0,0,0
Beijing JIAYU Door Window & Curtain Wall,0.00641407160205453,2504,11,0,0,80,0,0,0,0,0,0,0
DCM Holdings Co Ltd,0.004794958037508651,3812,6,0,0,3,0,7,0,0,0,0,0
Lumax International Corp. Ltd.,0.004516030010003836,1091,2,0,0,0,0,6,0,0,0,0,0
LOTTE Himart Co Ltd,0.0037807911209314046,3812,6,0,0,0,0,6,0,1,0,0,0
Installux SA,0.003584917857685769,4709,6,0,0,10,0,0,0,3,0,0,0
Bricorama SA,0.003248979196459012,2578,6,0,0,0,0,5,0,2,0,0,0
Jilin Chengcheng Group Co Ltd,0.002894072358552842,3693,5,0,0,1,0,5,0,0,0,0,0
Komeri Co Ltd,0.002725055393696939,4553,7,0,0,0,0,9,0,0,0,0,0
Vogiatzoglou Systems SA,0.0026376672840754244,4846,9,0,0,2,0,0,0,10,0,0,0
InnoTec TSS AG,0.002632087538682993,2908,5,0,0,26,0,0,0,0,0,0,0
Clas Ohlson AB,0.0026078885632522474,2955,5,0,0,0,0,7,0,0,0,0,0
MERCOR SA,0.0025162293125179087,2666,3,0,0,8,0,0,0,1,0,0,0
"SUNDAY CO., LTD.",0.0018640954491230453,3911,5,0,0,8,0,2,0,1,0,0,0
Arcland Sakamoto Co Ltd,0.0016973654182170343,3669,4,0,0,0,0,5,0,0,0,0,0
"KIMURA CO., LTD.",0.0016357410613246502,2594,2,0,0,6,0,1,0,0,0,0,0
Fujisash Co Ltd,0.0014529003460270152,3298,4,0,0,15,0,0,0,0,0,0,0
Kingfisher plc,0.001436668418320988,2950,4,0,0,1,0,2,0,1,0,0,0
Kombassan Holding AS,0.0011661300116880108,1026,1,0,0,1,0,0,0,2,0,0,0
Compact Metal Industries Ltd,0.0008789453024579528,7780,5,0,0,10,0,0,0,2,0,0,0
"China Wire & Cable Co., Ltd.",0.00048799128981627694,5026,3,0,0,8,0,0,0,0,0,0,0
LIXIL Group Corp,0.0003986263650261778,5989,3,0,0,9,0,0,0,0,0,0,0
Byggmax Group AB,0.0003227816315923834,3194,3,0,0,4,0,0,0,0,0,0,0
General Commercial & Industrial S.A.,0.00016274432666411808,4176,1,0,0,0,0,0,0,1,0,0,0
"SANGETSU CO., LTD.",7.509781996436385e-05,1748,1,0,0,1,0,0,0,0,0,0,0
