name,score,document_length,url_count,automobile,bus,city bus,coach,hybrid
"Zhengzhou Yutong Bus Co., Ltd.",0.515475110724009,6421,11,3,357,38,58,4
"Yangzhou Yaxing Motor Coach Co.,Ltd",0.45919316343512906,5075,10,19,168,10,122,2
"Zhongtong Bus & Holding Co., Ltd",0.4488485833712794,4788,14,2,378,32,61,6
New Flyer Industries Inc.,0.2690938178590348,9886,13,1,371,5,119,37
"Anhui Ankai Automobile Co., Ltd",0.2666220380457833,4615,9,98,255,11,57,1
Man SE,0.18964028142816955,6643,10,7,127,9,28,1
Ford Motor Company,0.1251854646368737,14793,7,31,102,1,21,80
Lanka Ashok Leyland Plc,0.11927420954174882,7058,8,3,150,4,10,14
Marcopolo SA,0.11162631457271628,5288,9,2,188,4,25,1
Toyota Motor Corp,0.11068226712871694,17348,10,43,53,0,2,147
"Xiamen King Long Motor Group Co., Ltd.",0.10044094732425854,4246,8,6,70,3,25,0
RAC Electric Vehicles Inc,0.09002348169944444,2969,10,6,37,4,1,0
Hyundai Motor Co,0.08937252347455536,14624,11,29,51,0,3,67
"HINO MOTORS, LTD.",0.08580840352481754,8226,8,16,86,1,3,28
Daimler AG,0.0828696713068394,15027,10,30,111,1,10,34
Honda Motor Co Ltd,0.07607776179351311,13686,9,58,67,0,0,72
Compagnie Plastic Omnium SA,0.06397168028519944,4659,8,6,20,0,0,22
AMO ZIL PAO,0.05910119071003935,9932,10,27,85,0,25,3
General Motors Company,0.05777781145405614,39235,12,123,176,0,81,35
Ashok Leyland Ltd,0.05477112713939051,9009,8,10,118,1,1,16
Kia Motors Corporation,0.052976436913068116,11665,12,47,43,0,3,30
Tata Motors Limited,0.046786967071376764,11833,10,30,156,3,20,3
"Liaoning SG Automotive Group Co., Ltd.",0.04604613641416296,4425,8,24,72,2,4,2
Blue Bird Corp,0.0429392140048482,10654,11,1,476,3,30,1
Otokar Otomotiv ve Savunma Sanayi AS,0.03887235235644017,2810,5,2,33,3,0,0
Navistar International Corp,0.034668875999131724,10521,9,2,110,0,13,13
"DAIHATSU MOTOR CO., LTD.",0.03282336242087621,8158,11,29,62,0,0,18
Peugeot SA,0.03278574531526281,9921,6,53,35,0,0,22
Anadolu Isuzu Otomotiv Sanayii v Tcrt AS,0.03238463681538142,4304,7,4,90,0,15,0
Hino Pak Motors Ltd.,0.03159915865353352,4857,11,1,75,2,4,0
Automobile Corp Of Goa Ltd,0.02857775831737036,4803,7,95,54,0,4,0
"Faw Car Co., Ltd.",0.027910567778263926,5966,4,49,51,0,12,2
Pininfarina SpA,0.027570338029656413,19026,9,14,29,0,20,11
Pavlovskiy avtobus OAO (P),0.02729359388086116,2985,5,3,75,2,0,0
Tan Chong Motor Holdings Berhad,0.025178102613689062,8055,8,21,39,0,5,4
