name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
MJL Bangladesh Ltd,0.6830948837018825,4648,11,27,9,48,20,0,83,0,107
Castrol India Limited,0.47281743433214685,2927,8,16,1,27,10,0,45,1,72
Jiangsu Gaoke Petrochemical Co Ltd,0.24040996597180508,2079,6,5,0,11,9,3,2,0,83
Gulf Oil Lubricants India Ltd,0.23171704265437107,4943,10,37,1,14,28,0,123,1,232
Tide Water Oil India Ltd,0.22444004441516804,4214,10,11,0,12,14,5,21,0,183
GP Petroleums Ltd,0.21339262794455288,6103,10,15,0,9,25,5,61,0,85
MoresCo Corp,0.19144755016662954,6705,12,26,0,5,1,0,108,2,186
"Idemitsu Kosan Co., Ltd.",0.13261095876494836,6961,10,12,0,17,6,5,42,0,358
KenolKobil Ltd,0.12665713949744958,4067,13,65,0,2,3,3,37,0,39
Atlantik Petrol Urnlr Tcrt ve SAS,0.0991918330099328,3979,8,19,0,0,1,3,8,0,35
S Oil Corp,0.07961595401731636,6315,12,11,0,7,7,3,52,0,378
Hydrodec Group plc,0.07884672452804235,2322,9,11,0,0,1,2,4,0,104
Neftemaslozavod OAO (P),0.047463815643717655,4606,8,14,0,2,3,1,4,0,42
Ghana Oil Company Limited,0.047249466305184784,4913,13,24,1,14,2,0,24,0,249
Rafinerija ulja a.d. Modrica,0.04607871716350277,7413,15,12,0,81,27,1,33,0,327
Shell Pakistan Limited,0.036865156350691625,11271,12,43,1,24,5,0,53,0,221
Eterna Plc,0.025044713734267927,2400,8,13,0,25,5,0,25,0,74
Fuchs Petrolub SE,0.011941291721462228,2882,10,4,0,15,8,0,45,0,37
Jordan Petroleum Refinery Company Ltd.,0.01155473590720228,3590,8,7,0,18,11,0,15,0,98
Lanka IOC Limited,0.009756940192606414,8403,15,40,0,28,23,0,48,0,208
Conoil Plc,0.009221330738426039,4134,13,19,0,17,15,0,19,0,192
Additives and Petroleum Products JSC,0.008322795927196272,2972,8,9,0,9,8,0,4,0,51
Total Petroleum Ghana,0.008286538900387245,3782,10,59,0,17,1,0,39,0,23
Chevron Corporation,0.008130290289409153,14020,10,46,0,39,25,0,58,0,350
Bharat Petroleum Corp Ltd,0.006839793196903175,12829,12,78,0,17,77,0,112,0,110
"Phoenix Petroleum Philippines, Inc.",0.006705790375178978,4728,8,28,0,10,16,0,21,0,57
Mobil Oil Nigeria plc,0.006154085903652971,3391,10,16,0,8,3,0,13,0,84
Neste Oyj,0.005724832257885828,4545,13,19,0,11,3,0,16,0,129
MT Gas JSC,0.005444162420980883,1854,5,10,0,4,3,0,1,0,7
Petronas Dagangan Berhad,0.005278757050399229,13504,15,199,0,25,23,0,81,0,222
N1 Hf,0.005169839796992767,2714,9,17,0,4,10,0,4,0,14
World Fuel Services Corp,0.005132779095603857,4755,9,35,0,13,6,0,8,0,14
Siam Pan Group Public Company Limited,0.004429360356994138,1866,10,0,0,6,0,0,29,0,22
