name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
C&C Group Plc,0.8862216433938549,5327,14,32,51,152,5,29,52
Chapel Down Group PLC,0.1743254115362454,5005,8,3,40,8,1,8,140
Marston's PLC,0.15076733194535147,15813,12,8,277,14,13,1,10
African Distillers Ltd,0.14675811275340536,2873,9,7,8,8,0,24,25
Bodegas Bilbainas SA,0.13771519258223835,7733,10,22,5,6,4,32,179
Laurent-Perrier SA,0.13592340096196118,7844,14,34,13,14,0,21,194
Kook Soon Dang Co Ltd,0.1331971151519706,5342,16,31,4,10,2,12,135
Vinedos Emiliana SA,0.11760505174878641,3972,14,58,3,4,1,11,119
Abrau-Durso PAO,0.11539799291644544,6590,15,19,8,7,0,18,211
Majestic Wine PLC,0.09934799068472619,5628,8,8,15,6,2,14,190
Bodegas Riojanas SA,0.07813694542649384,4287,8,10,2,4,0,19,82
"Fuller, Smith & Turner plc",0.06789978626279156,4122,6,2,91,0,2,4,7
Latvijas balzams AS,0.06246503980351112,1736,9,30,0,3,0,1,7
Greene King plc,0.05901507614484067,5428,12,1,130,0,2,6,2
Vina Concha y Toro SA,0.05616803603739573,5295,8,3,3,2,3,6,110
Associated Alcohol and Breweries Ltd,0.052768675080654574,4852,8,130,0,0,0,10,3
13 Jul Plantaze ad Podgorica,0.050390381670597985,3456,7,6,6,0,1,5,76
Ceylon Beverage Holdings PLC,0.042843435838670195,4853,7,16,22,0,1,9,7
Lamdong Foodstuffs JSC,0.042607091406509257,2684,9,4,4,0,2,6,86
Vinzavod AD,0.03745647701095127,3465,10,21,0,0,0,6,122
Badel 1862 dd,0.03536802939941551,3184,7,26,0,0,2,18,57
Zhejiang GuYueLongShan Shaoxing Wine Co.,0.03448772763364166,4225,10,3,1,0,0,7,152
Thang Long Wine JSC,0.03428382845901681,3929,10,16,4,0,1,0,127
Yantai Changyu Pioneer Wine Company Ltd,0.034197855517456945,3900,6,3,0,0,0,5,173
Andrew Peller Ltd.,0.03389595379455662,3072,9,0,0,1,0,4,196
Radico Khaitan Limited,0.030184007016027393,5584,8,19,3,0,2,21,10
Tilaknagar Industries Ltd,0.028862366264103455,4247,9,15,0,0,5,11,3
Ginebra San Miguel Inc,0.02756111953988541,8475,15,42,17,0,1,10,7
Crimson Wine Group Ltd,0.0250976910546024,4646,12,1,0,0,0,3,177
Emperador Inc,0.02451976900133221,5034,9,15,2,0,1,22,6
Vina San Pedro Tarapaca SA,0.02449160586687551,3897,7,5,0,0,2,1,111
Spritzer Bhd,0.02333097170045886,4120,8,3,0,0,22,0,1
J Boutaris & Son Holding S.A.,0.018825000015809286,3499,7,1,15,0,0,0,51
Vranken-Pommery Monopole SA,0.018747172572613074,3906,7,21,3,0,0,5,31
China Tontine Wines Group Limited,0.017125398781185606,3737,8,3,0,0,0,0,122
Rocky Mountain Liquor Inc,0.01697979308298895,1951,6,0,6,0,0,6,6
Young & Co.'s Brewery plc,0.016724480075733444,4808,4,3,18,0,1,2,3
Voda Vrnjci ad Vrnjacka Banja,0.01485988688311875,3330,2,19,3,0,0,3,3
