name,score,document_length,url_count,apparels,cloth,fabric,fiber,hat,textile,wear
Momai Apparels Ltd,0.7409115141276474,3373,7,6,2,0,0,15,9,36
Jiangsu Holly Corporation,0.2744694818798754,4610,8,0,8,20,10,3,21,15
Textile Garment Impt Expt and Prdctn JSC,0.23228919998806352,5126,8,0,75,8,10,0,88,18
Ashapura Intimates Fashion Ltd,0.19361450929962123,6487,12,2,21,5,0,18,11,124
Pan-Pacific Co Ltd,0.1867305172234016,3894,7,0,11,1,7,4,3,24
Taroko Textile Corporation,0.18076638683436005,2586,8,0,3,9,3,4,65,0
Bombay Rayon Fashions Limited,0.16176138678963262,4358,6,0,14,54,3,2,27,3
GSI Creos Corporation,0.15975284474370058,2626,6,0,3,4,4,0,30,19
DAIDOH LIMITED,0.14090350091516318,2055,5,0,23,14,3,0,8,2
"YAGI & CO., LTD.",0.13902052728304046,1804,9,0,0,8,5,2,44,0
Codes Combine Co Ltd,0.1351858482428285,3349,7,2,10,0,0,1,2,9
Atsugi Co Ltd,0.11872410968112174,2285,6,0,2,0,4,1,7,5
Anshu's Clothing Ltd,0.1079155459139564,4875,9,1,108,1,0,5,7,25
"TSUKAMOTO CORPORATION CO., LTD.",0.10439757484339372,2308,7,0,52,0,4,2,1,6
Divinus Fabrics Ltd,0.10171484245647237,5790,10,0,0,161,0,14,4,0
Prochnik SA,0.1007811008868906,4165,8,0,22,3,3,1,1,9
Renown Inc,0.08699369479982745,3748,9,0,4,2,9,2,0,0
"CRYMSON Co., Ltd.",0.07668364644339051,2604,8,1,10,0,0,0,1,2
Sunrise Asian Ltd,0.060557657914217,4656,6,0,0,2,4,5,21,0
Wolford AG,0.057518873464117465,2945,8,0,3,3,1,3,4,38
Yamano Holdings Corp,0.05390544173275495,2692,6,1,19,1,0,0,0,0
Tiemco Limited,0.05166626054220216,2808,7,0,34,0,3,0,1,1
Croe Inc,0.045881652244329295,3509,5,0,4,12,1,2,1,4
"Shandong Hiking International Co., Ltd.",0.04271104968152704,2968,9,0,3,3,1,3,13,1
Tekstilpromet dd,0.03807477657796871,3335,8,0,27,13,0,0,44,19
Haha Generation Corp,0.03765143646817749,9254,6,0,60,8,3,0,0,7
"KING Co., Ltd.",0.036113698318344684,5286,8,0,39,5,2,0,8,8
Hatzioannou Holdings S.A.,0.03368304109316242,6065,9,0,7,4,0,99,6,21
Indian Terrain Fashions Ltd,0.0310635992635236,7166,12,0,16,3,0,18,8,120
PCCS Group Berhad,0.03007498448523904,4382,8,0,3,8,0,18,11,4
Leeds Group plc,0.028496372619054827,2869,6,0,14,11,0,1,13,3
Fila Korea Ltd,0.026525501383091718,8305,16,0,25,2,1,10,3,65
Gildan Activewear Inc (USA),0.024236285762385682,5768,7,0,5,2,0,4,18,182
Aaswa Trading And Exports Ltd,0.023958757862304777,4274,5,0,0,4,1,3,6,0
SDIC Essence Holdings Co Ltd,0.02347380323471054,3763,5,0,1,0,2,1,13,0
"JLM Couture, Inc.",0.0214291712133929,4578,6,0,3,3,1,4,2,6
"NJ Textiles Import & Export Corp.,Ltd.",0.021330366136795058,5546,9,0,2,7,0,1,103,3
China Ting Group Holdings Limited,0.02095321270489073,6966,9,0,16,13,0,4,14,27
Mizia 96 AD,0.020731726332953882,3492,7,0,15,3,0,12,3,5
LS Networks Corporation Limited,0.02051526967700992,3161,4,0,12,0,1,1,0,8
Zhejiang Busen Garments Co Ltd,0.02036090582367408,2786,3,0,6,13,0,0,1,4
Arman Holdings Ltd,0.01950671749848085,5778,7,0,0,21,0,14,12,0
"F&F Co., Ltd",0.019478361735410787,3064,7,0,2,0,1,4,0,6
Cross Plus Inc,0.018509956175606725,1998,4,0,14,1,1,1,0,1
"Zhejiang Orient Holdings Co., Ltd",0.018333161712291084,5145,8,0,10,7,0,6,18,22
Quasar India Ltd,0.018044625624744327,4461,7,0,0,13,0,14,8,0
"Sinoer Men's Wear Co., Ltd.",0.016857590029118255,2629,7,0,8,2,0,0,6,72
"Shanghai Shenda Co., Ltd",0.016306392315846668,3892,8,0,1,11,0,0,55,0
"ONWARD HOLDINGS Co., Ltd.",0.016103333091704416,5381,5,0,8,0,1,1,4,14
Delta Galil Industries Ltd.,0.015949363266512796,4547,6,0,6,8,0,2,7,40
Liaoning Shidai Wanheng Co Ltd,0.015434079026201768,5181,8,0,16,5,0,4,5,25
"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.01533989910169486,2974,8,0,2,2,1,0,14,5
Gokaldas Exports Ltd.,0.014995462182608079,5486,7,0,7,1,0,14,6,20
Monte Carlo Fashions Ltd,0.01474055381207636,4727,8,0,8,2,0,15,10,20
Ralph Lauren Corp,0.013966203521243501,8440,7,0,38,8,0,8,1,67
Vinatex Danang JSC,0.013960634479029699,4889,8,0,5,1,0,3,52,4
"Youngor Group Co., Ltd.",0.013660895015242706,3905,8,0,18,5,0,0,10,9
I.C.C. International Public Company Ltd.,0.01356628691432393,4175,11,0,1,5,0,5,0,67
Guangdong Boxin Invstng & Holdings CoLtd,0.013457958166595972,4529,4,0,0,0,2,1,1,1
China Fordoo Holdings Ltd,0.013280352594271752,3326,8,0,2,4,0,3,3,17
Smalto SA,0.01256840249091333,7803,7,0,43,7,0,6,2,57
Hugo Boss AG,0.012337231960441127,6667,6,0,12,2,1,0,3,41
Cravatex Ltd,0.011800325314811202,5405,7,0,3,1,0,15,1,12
"MOONBAT Co., Ltd.",0.011436141065439368,2423,4,0,18,5,0,4,0,3
Al Arafa for Investment & Consultancies,0.011412306968409424,4370,7,0,6,3,0,2,10,25
Modern Sewing Co,0.011319830241550758,8885,8,0,11,28,0,3,2,0
WonpungMulsan,0.010850582478683306,7078,5,0,14,9,1,2,4,6
Jackson Investments Ltd,0.010738637692557469,8290,8,0,1,8,0,17,15,0
Standard Industries Limited,0.010170322589001414,5720,8,0,2,4,0,17,12,0
Ever-Glory International Group Inc,0.009496887942498505,5195,7,0,6,7,0,2,2,23
Shinwon Corp,0.009475092180794242,4253,4,0,2,4,0,1,7,12
"Takihyo Co., Ltd.",0.009414255310792024,3134,8,0,7,2,0,2,25,9
"Orient International Enterprise, Ltd.",0.008987837504989193,2830,7,0,0,4,0,2,15,5
"SANKYO SEIKO CO., LTD",0.008554008073005081,3474,6,0,3,1,0,1,19,7
