name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
Atech OEM Inc,0.5128850315203635,4745,14,0,0,39,23,16
Wuhan P&S Information Technology Co Ltd,0.23195195343345598,2471,5,29,0,1,17,1
Sakae Electronics Corporation,0.23121878096247608,3127,8,9,5,5,4,0
"Cincon Electronics Co.,Ltd.",0.19325450599332583,2827,10,3,0,39,26,0
"Richardson Electronics, Ltd.",0.1833594401764793,4731,3,1,0,4,17,4
Laird PLC,0.1765130794363568,10569,5,0,0,3,0,19
Zippy Technology Corp,0.17186030063676938,1236,6,4,0,5,17,0
Cosel Co Ltd,0.16108454652923532,3084,11,0,0,96,9,0
Alltek Technology Corp.,0.15847884178626356,2773,4,0,0,0,21,3
SUN-WA TECHNOS CORPORATION,0.14701373158643866,2039,8,1,2,27,4,0
Koryo Electronics Co Ltd,0.14648539854758486,3212,7,12,7,0,1,0
"Channel Well Technology Co., Ltd",0.14289882679009885,2372,9,0,0,28,10,2
Shijiazhuang Tonhe Electrncs Techs CoLtd,0.1337438361071839,3140,6,0,0,26,13,1
SOLYTECH ENTERPRISE CORPORATION,0.12698834249573632,1460,9,0,0,42,3,0
"BESTEC POWER ELECTRONICS CO., LTD",0.12525030046371935,2552,6,0,0,32,23,0
OMRON Corporation,0.12384022224149978,6406,8,6,0,19,53,0
"MITACHI CO., LTD",0.11956853999098858,3840,6,4,6,0,4,0
"Origin Electric Co., Ltd",0.11753893015582068,3371,7,6,0,33,7,0
Shenzhen Topeast Technology Co Ltd,0.11208142475728665,3074,5,3,3,1,8,0
Leader Electronics Inc.,0.10803482115386297,4165,7,0,0,53,21,0
"Dee Van Enterprise Co., Ltd.",0.10419095975935991,3268,6,2,0,52,3,0
Shunde Samyang Co Ltd,0.10325005990250577,2321,5,0,0,38,8,0
"ENG ELECTRIC CO., LTD.",0.10289494906695999,2129,6,2,0,31,13,0
"BULL WILL CO., LTD.",0.10186927614809999,3682,8,8,1,10,7,0
P-Duke Technology Co Ltd,0.09899767599322222,3069,12,0,0,73,5,0
"Ryosan Company, Limited",0.098173055566435,2329,7,16,1,5,0,0
"Allis Electric Co., Ltd.",0.09506930904859308,5043,11,0,0,17,73,0
Tennrich International Corp,0.09171347185377664,1711,2,0,0,2,0,4
Chicony Power Technology Co Ltd,0.08829615797587008,5289,12,5,0,38,7,0
Gold Tat Group International Ltd,0.08597647606496386,3609,6,2,14,0,0,0
Fuji Electric Co Ltd,0.08501292319064584,3399,10,0,0,13,15,1
Chander Electronics Corp.,0.08499683543092512,3258,6,10,4,0,0,0
NIPPO LTD.,0.08415949670745895,2167,3,1,5,0,0,0
AcBel Polytech Inc.,0.08137526122060754,3046,7,4,0,48,0,0
TAMURA CORPORATION,0.08114084972208695,3907,13,18,0,7,21,0
Sino-American Electronic Co Ltd,0.07803508656406456,2589,10,1,0,15,12,0
Forth Corporation PCL,0.07474950707104772,3147,6,1,5,0,1,0
"Beijing Dynamic Power Co., Ltd.",0.07237515895341366,3081,6,0,0,34,9,0
SIIX Corp.,0.07235507602974077,3078,4,4,4,0,1,0
"Teikoku Tsushin Kogyo Co., Ltd.",0.07102088856049872,2763,8,6,2,0,28,0
ASEC International Corporation,0.07063909972619836,2435,4,3,1,0,0,1
S.A.S. Dragon Holdings Limited,0.06732919544602814,4321,7,15,1,5,1,0
"Ehwa Technologies Information Co., Ltd.",0.06722232953994908,2363,7,3,0,16,4,0
Promaster Technology Corp.,0.06361860497814807,2810,4,5,1,0,0,2
"Universal Microelectronics Co., Ltd.",0.06288411988230726,2563,5,2,0,14,2,1
Dongyang E&P Inc,0.06251477690243074,2172,5,0,0,13,10,0
Sea Sonic Electronics Co Limited,0.06126079459748992,3184,9,0,0,27,5,0
Beijing Zhongxun Sifang Scnc & Tech Co,0.06036778459551554,4574,2,1,0,1,2,3
FDK Corp,0.05936256594722043,3942,9,9,1,7,5,0
Surge Components Inc,0.05717920426342196,2896,6,6,0,4,10,0
"Chuo Seisakusho, Ltd.",0.055146123754736924,2522,10,3,0,24,0,0
East Group Co Ltd,0.05378449319700292,3892,7,0,0,35,5,0
Malmbergs Elektriska AB (publ),0.05345917685244139,2696,6,5,1,0,6,0
ENERMAX TECHNOLOGY CORPORATION,0.0527511052900376,6357,11,0,0,43,11,0
Willas-Array Electronics (Holdings) Ltd,0.0521167581075505,2285,6,13,0,1,1,0
Shanghai Laimu Electronics Co Ltd,0.05187129581724142,3242,6,6,0,0,25,0
"SANSHIN ELECTRONICS CO., LTD.",0.04968191263884115,2210,5,11,0,0,4,0
Gamatronic Electronic Industries Ltd.,0.0494210994058825,4843,9,0,0,39,4,0
Sungho Electronics Corp,0.048672793349702516,1922,4,2,1,8,1,0
"Tianjin Benefo Tejing Electric Co.,Ltd.",0.04659383144462757,3205,1,0,0,1,9,1
TOMEN DEVICES CORPORATION,0.04544498347486989,1561,4,1,3,0,0,0
"Trust-Search Corp.,Ltd.",0.043708187605648055,4465,7,1,7,0,0,0
Renesas Easton Co Ltd,0.04295312985582514,1877,3,0,4,0,0,0
"Howteh Technology Co., Ltd.",0.04261173150526105,2336,5,8,1,0,1,0
"Delta Electronics, Inc.",0.0404150228929327,6527,7,5,0,31,5,0
Amalgamated Electronic Corp.,0.04025656104987207,10889,7,0,0,11,0,4
"Shindengen Electric Mfg. Co., Ltd.",0.03977710766495346,5654,14,0,0,36,5,0
Sentronic International Corp,0.037310635682109246,4167,3,4,3,0,0,0
Antec Inc,0.03673763589996209,2954,11,0,0,64,0,0
Lien Chang Electronic Enterprise Co. Ltd,0.03551760561795428,2542,4,0,0,13,3,0
KANADEN CORPORATION,0.03538762570065287,2674,3,5,1,1,0,0
Datronix Holdings Limited,0.035288230743680225,3661,5,7,0,0,0,2
Edom Technology Co Ltd,0.03466912429220355,2773,4,12,1,0,0,0
Topower Co Ltd,0.034198340890447446,4667,8,0,0,27,5,0
Tokai Electronics Co Ltd,0.03406104523971741,6076,9,16,2,2,16,0
FSP Technology Inc,0.03360531192664113,2813,8,0,0,39,0,0
NICHIDENBO CORPORATION,0.032549582646843545,2489,9,5,0,0,6,0
China Titans Energy Technology Group Co,0.03093169257523084,3906,4,0,0,15,6,0
Ruixin International Holdings Ltd,0.03068578718029165,3147,2,5,1,0,1,0
Delta Electronics Thailand PCL,0.02958864758178695,4564,8,2,0,25,3,0
Vitec Holdings Co Ltd,0.02831755870847842,2350,8,11,2,0,0,0
Solid State PLC,0.027208011240888674,3344,7,10,0,0,3,0
Shenzhen Auto Electric Pwr Plnt Co Ltd,0.02622560647136655,2545,5,0,0,11,3,0
TAIWAN OSTOR CORP.,0.026161878997685187,2913,4,7,0,3,0,0
Ahoku Electronic Co,0.02582188286365379,2719,6,2,0,9,3,0
BOS Better OnLine Sol (USA),0.025470860905057402,3581,6,14,1,0,0,0
PNESolution Co Ltd,0.025129226850770757,2626,6,0,0,26,0,0
Premier Farnell plc,0.025027923439181962,4947,7,11,0,2,3,0
"ZHONGYEDA ELECTRIC CO.,LTD.",0.02308004423241586,2465,2,3,0,0,6,0
Ryoyo Electro Corp,0.02179779683406743,4621,4,1,3,0,0,0
Friwo AG,0.020088434531517964,2147,7,0,0,19,0,0
Shenzhen Huakong Seg Co Ltd,0.020018943033135804,2891,4,3,2,0,0,0
Ideal Power Inc,0.019483174540416176,2691,5,0,0,1,13,0
Phihong Technology Co Ltd,0.019271065679942197,5160,9,2,0,34,2,0
Mobicon Group Limited,0.01912146641723935,3682,8,9,1,0,0,0
Nichiden Corp,0.01886309499501943,4194,2,0,0,1,1,1
3W Power SA,0.017750813986976633,7331,6,1,0,14,4,0
Elematec Corporation,0.017564222869543518,2666,3,3,2,0,0,0
"Sansha Electric Manufacturing Co., Ltd.",0.017408674874776923,2743,6,0,0,13,2,0
CUI Global Inc,0.016993324890383337,16979,6,3,0,5,35,0
"CyberPower Systems, Inc.",0.01646233693396853,11324,7,0,0,14,16,0
LITE-ON JAPAN LTD.,0.016376384631469707,4095,2,4,2,2,2,0
