name,score,document_length,url_count,automobile,car,lease,rental
"ICHINEN HOLDINGS CO., LTD.",0.6551972606932089,3351,7,15,25,15,5
AJ Rent A Car Co Ltd,0.367391291014988,6551,8,9,224,56,78
United International Transportation Co.,0.3336089464121233,4020,7,5,65,11,37
Hertz Global Holdings Inc,0.26258067046265415,11418,13,6,229,52,155
Avis Budget Group Inc.,0.22966886496424158,5521,13,1,214,21,145
Hertz Corp,0.17552655953672505,6084,5,0,212,3,123
Mida Leasing Public Company Limited,0.16766839373109343,3326,7,6,13,15,2
RedcapTour Co Ltd,0.1633447248478007,4077,7,3,31,6,10
Thitikorn Public Company Limited,0.1382798183399568,1847,4,4,5,2,0
Localiza Rent a Car SA,0.12513137350915485,3307,8,0,108,18,45
Krungthai Car Rent & Lease PCL,0.12099078331576177,3015,8,2,67,36,10
Warisan TC Holdings Berhad,0.11963850860917684,7353,14,1,83,24,49
Sixt SE,0.11530217198522484,8434,8,1,172,19,86
Sixt Leasing AG,0.09706055463112924,6438,7,1,123,14,44
"TRUST CO., LTD.",0.0852714300517612,4090,6,3,12,7,0
AutoHellas S.A.,0.08447703744157117,1881,6,0,37,13,17
Adi Sarana Armada Tbk PT,0.07932316133331463,3109,8,0,35,3,23
CAR Inc,0.055590178626359496,6161,14,2,262,9,9
Companhia de Locacao das Americas,0.052193673098892945,1913,7,0,25,3,9
Europcar Groupe SA,0.0403189518606442,4500,9,0,156,40,16
Premier Enterprise PCL,0.03218581213871276,4914,7,1,9,12,6
Ucar SA,0.02836413530591731,3540,7,0,86,8,7
Empresas Tattersall SA,0.02190306908059802,4051,8,0,33,8,7
Citra Maharlika Nusantara Corpora Tbk PT,0.00979850195045762,4415,6,0,6,19,4
Yunnan Tourism Co Ltd,0.007824222467042528,4576,8,0,9,11,3
Prime Car Management SA,0.007575516995428774,4522,9,0,95,36,2
Kardan Yazamut 2011 Ltd,0.004287309474429614,3235,7,0,27,5,1
Comprehensive Leasing Co PSC,0.0019939376840819503,2992,5,0,5,34,0
Phatra Leasing Public Company Limited,0.0008720899281640053,3769,8,0,9,25,0
Escorts Finance Ltd,0.0006509132839027957,6177,9,0,14,13,0
ADA SA,0.00039380351461320125,2685,6,0,15,0,0
Beyaz Filo Oto Kiralama AS,0.00035099479842413294,594,3,0,4,0,0
