name,score,document_length,url_count,automotive,circuit protection,connectors,diodes,electronic material,encoders,magnetic product,passive,position sensor,potentiometers,resistive product,resistor,semiconductor component,surge protective device,switches
AVX Corporation,0.7977044522220992,4916,9,28,9,11,14,0,0,0,13,0,0,12,41,0,0,4
CTS Corporation,0.2964048562627443,3320,8,7,3,1,0,0,10,0,1,5,0,0,31,0,0,1
"Tokyo Cosmos Electric Co., Ltd.",0.21936426390745245,2406,10,20,0,0,2,0,18,0,1,2,0,0,18,0,0,1
Japan Resistor Mfg Co Ltd,0.20049596615828041,2171,12,2,0,0,0,0,0,0,0,1,10,0,117,0,0,0
KOA CORPORATION,0.19400323694342964,6936,7,23,8,0,0,0,0,0,9,0,0,0,326,0,0,0
Daejoo Electronic Materials Co Ltd,0.169722115759324,2916,9,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0
"Ta-I Technology Co., Ltd",0.14984990868833645,6100,8,9,4,0,0,0,0,1,2,0,0,0,509,0,0,0
Yageo Corporation,0.13038554713700365,3998,12,40,2,1,0,0,0,0,15,0,0,0,98,0,0,1
"Asia Electronic Material Co., Ltd.",0.11119454476651633,1806,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
Viking Tech Corporation,0.10790491122936242,13268,13,63,0,0,0,0,0,0,21,0,0,0,960,0,0,0
Walsin Technology Corporation,0.10364945969283608,3098,11,5,3,2,0,0,0,0,21,0,0,0,25,0,0,2
Hokuriku Electric Industry Co Ltd,0.09866180111087756,4418,9,5,0,1,0,0,0,0,0,0,0,0,173,0,0,1
Nepes Corp,0.09256190320958746,2707,9,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"Ty-ohm Electronic Works Co., Ltd.",0.08102328979900646,3639,11,0,0,0,0,0,0,0,5,0,0,0,161,0,0,0
Guangdong Fenghua Adv. Tech. (Hldg) Co,0.07180160358271967,4021,8,1,0,0,3,6,0,0,2,0,0,0,28,0,0,0
KEMET Corporation,0.06649196852151,5661,11,31,9,1,0,0,0,0,7,0,0,0,6,0,0,1
"Samsung Electro-Mechanics Co., Ltd.",0.04390932610552498,6978,6,10,1,1,0,0,0,0,16,0,0,0,25,0,0,1
"TDG Holding  Co., Ltd.",0.04142273753305337,2964,5,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0
